TEAM_ABBREVIATION,TEAM_NAME,VS_PLAYER_NAME,COURT_STATUS,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK
PHI,Philadelphia 76ers,"Bamba, Mo",On,57,30,27,0.526,740.3516666666667,592,1368,0.433,197,570,0.346,239,307,0.779,178,484,662,374,196.0,129,103,82,318,271,1620,-47.0,6,8,23,20,10,11,10,26,9,10,21,12,11,19,10,10,10,11,18,10,10,17,18,11,11,27
PHI,Philadelphia 76ers,"Batum, Nicolas",On,57,34,23,0.596,1475.4783333333332,1295,2714,0.477,386,1044,0.37,593,700,0.847,331,976,1307,831,359.0,246,203,170,607,544,3569,177.0,6,5,22,10,5,5,5,10,5,5,11,5,5,7,5,5,5,4,24,5,4,24,24,6,5,5
PHI,Philadelphia 76ers,"Bazley, Darius",On,3,0,3,0.0,9.783333333333333,9,15,0.6,3,6,0.5,2,2,1.0,1,4,5,7,3.0,0,1,1,2,3,23,-1.0,22,28,7,28,25,25,26,2,25,26,1,26,26,1,26,26,26,25,4,24,24,3,3,26,25,17
PHI,Philadelphia 76ers,"Beverley, Patrick",On,47,27,20,0.574,919.0466666666666,748,1683,0.444,182,577,0.315,425,516,0.824,229,615,844,410,232.0,166,112,107,419,399,2103,-15.0,8,9,21,15,8,8,8,22,10,9,24,8,8,13,7,8,8,9,21,8,8,20,22,8,8,24
PHI,Philadelphia 76ers,"Council IV, Ricky",On,32,15,17,0.469,288.64,253,536,0.472,70,191,0.366,119,169,0.704,67,191,258,157,78.0,51,34,46,104,137,695,12.0,14,18,20,27,19,19,19,12,19,19,13,19,19,24,19,18,18,19,10,19,18,11,10,19,19,12
PHI,Philadelphia 76ers,"Covington, Robert",On,26,18,8,0.692,419.12833333333333,347,750,0.463,101,270,0.374,179,207,0.865,103,285,388,205,120.0,87,45,56,184,157,974,59.0,18,14,9,4,16,16,16,17,15,16,8,16,18,4,16,16,16,16,13,16,16,12,13,17,16,7
PHI,Philadelphia 76ers,"Dowtin Jr., Jeff",On,12,7,5,0.583,142.01666666666668,123,268,0.459,42,109,0.385,36,52,0.692,39,92,131,83,38.0,26,20,26,48,44,324,21.0,21,21,8,14,20,20,20,18,20,20,4,21,21,26,20,20,20,20,9,20,20,9,9,20,20,10
PHI,Philadelphia 76ers,"Embiid, Joel",On,39,31,8,0.795,1309.3716666666667,1145,2378,0.481,321,871,0.369,683,797,0.857,268,944,1212,741,322.0,227,151,147,509,563,3294,267.0,9,6,9,3,6,6,6,9,6,6,12,4,4,6,6,6,6,6,23,6,6,23,23,4,6,2
PHI,Philadelphia 76ers,"Green, Danny",On,2,1,1,0.5,18.45,18,35,0.514,4,13,0.308,7,10,0.7,3,13,16,13,6.0,2,1,3,8,7,47,0.0,24,23,3,22,23,23,23,4,23,23,26,23,23,25,23,23,23,23,5,23,24,6,6,23,23,16
PHI,Philadelphia 76ers,"Harris, Tobias",On,70,41,29,0.586,2367.78,2064,4420,0.467,609,1632,0.373,973,1151,0.845,539,1610,2149,1224,563.0,398,312,308,960,896,5710,224.0,2,3,27,13,2,2,2,15,2,2,9,2,2,9,2,2,2,2,27,2,2,27,27,2,2,3
PHI,Philadelphia 76ers,"Hield, Buddy",On,32,17,15,0.531,824.15,687,1572,0.437,222,631,0.352,223,269,0.829,205,539,744,431,201.0,129,104,119,329,241,1819,-27.0,14,15,16,18,9,9,9,25,8,8,19,13,14,11,9,9,9,8,19,10,9,21,19,12,9,26
PHI,Philadelphia 76ers,"House Jr., Danuel",On,34,21,13,0.618,509.055,418,934,0.448,91,289,0.315,257,305,0.843,120,344,464,222,130.0,109,47,63,244,234,1184,20.0,13,13,13,8,15,15,15,19,16,15,25,11,12,10,15,15,15,15,14,12,15,14,14,14,15,11
PHI,Philadelphia 76ers,"Korkmaz, Furkan",On,35,22,13,0.629,299.9266666666667,261,537,0.486,72,202,0.356,167,212,0.788,71,183,254,158,95.0,66,28,29,136,153,761,45.0,12,11,13,7,18,18,18,7,18,18,16,18,17,18,18,19,19,18,11,18,19,10,11,18,18,8
PHI,Philadelphia 76ers,"Lofton Jr., Kenneth",On,2,1,1,0.5,8.816666666666666,5,16,0.313,1,7,0.143,6,6,1.0,2,5,7,3,6.0,0,1,2,4,4,17,-14.0,24,23,3,22,26,26,25,27,26,25,27,24,25,1,25,25,25,26,5,24,24,5,4,25,26,23
PHI,Philadelphia 76ers,"Lowry, Kyle",On,23,11,12,0.478,652.7033333333334,515,1160,0.444,182,511,0.356,222,270,0.822,129,429,558,329,170.0,96,76,68,264,241,1434,-11.0,19,19,12,26,12,13,13,23,10,11,17,14,13,15,14,12,13,12,17,14,12,15,16,12,13,22
PHI,Philadelphia 76ers,"Martin, KJ",On,58,31,27,0.534,715.1283333333333,618,1312,0.471,173,487,0.355,269,358,0.751,169,440,609,375,206.0,140,85,103,330,277,1678,-3.0,5,6,23,17,11,10,11,13,12,12,18,10,9,21,11,11,11,10,20,9,11,19,20,9,10,18
PHI,Philadelphia 76ers,"Maxey, Tyrese",On,70,43,27,0.614,2625.806666666667,2326,4909,0.474,680,1817,0.374,1058,1249,0.847,565,1738,2303,1385,609.0,440,344,316,1104,987,6390,303.0,2,2,23,9,1,1,1,11,1,1,7,1,1,8,1,1,1,1,28,1,1,28,28,1,1,1
PHI,Philadelphia 76ers,"Melton, De'Anthony",On,38,25,13,0.658,1023.3316666666667,930,1924,0.483,280,731,0.383,492,570,0.863,228,682,910,566,246.0,189,134,125,395,420,2632,218.0,10,10,13,6,7,7,7,8,7,7,5,7,7,5,8,7,7,7,22,7,7,22,21,7,7,4
PHI,Philadelphia 76ers,"Morris Sr., Marcus",On,37,22,15,0.595,636.8216666666667,528,1181,0.447,140,422,0.332,288,349,0.825,154,411,565,280,148.0,103,64,74,304,274,1484,-9.0,11,11,16,11,13,12,12,20,14,14,23,9,10,12,13,13,12,14,15,13,14,16,17,10,12,21
PHI,Philadelphia 76ers,"Oubre Jr., Kelly",On,68,40,28,0.588,2055.32,1782,3851,0.463,501,1399,0.358,771,958,0.805,456,1352,1808,1041,485.0,363,255,288,902,763,4836,-25.0,4,4,26,12,3,3,3,16,3,3,15,3,3,16,3,3,3,3,26,3,3,26,26,3,3,25
PHI,Philadelphia 76ers,"Payne, Cameron",On,31,16,15,0.516,602.3716666666667,500,1134,0.441,171,462,0.37,189,238,0.794,155,390,545,321,158.0,96,76,88,253,193,1360,3.0,17,17,16,21,14,14,14,24,13,13,10,15,15,17,12,14,14,13,16,14,12,18,15,15,14,13
PHI,Philadelphia 76ers,"Petrusev, Filip",On,1,1,0,1.0,2.683333333333333,3,4,0.75,1,2,0.5,1,2,0.5,0,4,4,2,1.0,0,1,0,0,1,8,3.0,27,23,1,1,27,27,27,1,26,27,1,27,26,27,27,26,27,27,1,24,24,1,1,27,27,13
PHI,Philadelphia 76ers,"Reed, Paul",On,82,47,35,0.573,1589.5016666666668,1408,2995,0.47,397,1054,0.377,532,647,0.822,395,1006,1401,775,386.0,294,203,224,683,550,3745,96.0,1,1,28,16,4,4,4,14,4,4,6,6,6,14,4,4,4,5,25,4,4,25,25,5,4,6
PHI,Philadelphia 76ers,"Smart, Javonte",On,1,1,0,1.0,0.6666666666666666,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,1.0,0,0,0,0,0,0,-3.0,27,23,1,1,28,28,28,28,28,28,28,28,28,28,27,28,28,28,1,24,28,1,1,28,28,18
PHI,Philadelphia 76ers,"Smith, Terquavion",On,16,8,8,0.5,84.49666666666667,80,162,0.494,25,73,0.342,40,54,0.741,20,51,71,51,32.0,23,6,6,33,38,225,-7.0,20,20,9,22,21,21,21,6,21,21,22,20,20,23,21,22,21,21,8,21,22,7,8,21,21,20
PHI,Philadelphia 76ers,"Springer, Jaden",On,32,17,15,0.531,377.365,298,667,0.447,83,240,0.346,177,229,0.773,94,230,324,176,105.0,79,39,56,168,165,856,-66.0,14,15,16,18,17,17,17,21,17,17,20,17,16,20,17,17,17,17,12,17,17,12,12,16,17,28
PHI,Philadelphia 76ers,"Tucker, P.J.",On,3,2,1,0.667,66.34166666666667,54,105,0.514,22,44,0.5,31,35,0.886,6,53,59,36,22.0,11,13,7,26,28,161,28.0,22,22,3,5,22,22,22,4,22,22,1,22,22,3,22,21,22,22,7,22,21,8,7,22,22,9
