TEAM_ABBREVIATION,TEAM_NAME,VS_PLAYER_NAME,COURT_STATUS,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK
PHX,Phoenix Suns,"Allen, Grayson",On,75,45,30,0.6,2513.3,2276,4516,0.504,693,1731,0.4,982,1211,0.811,501,1768,2269,1467,744.0,372,294,239,936,1028,6227,262.0,2,2,20,11,2,2,2,4,2,2,3,2,2,9,3,2,2,2,21,2,2,21,21,2,2,4
PHX,Phoenix Suns,"Azubuike, Udoka",On,16,12,4,0.75,112.82833333333333,94,195,0.482,20,66,0.303,45,70,0.643,28,77,105,41,34.0,12,20,18,46,48,253,-48.0,18,17,4,1,17,17,17,9,17,17,18,17,17,20,18,17,17,18,6,18,17,6,6,17,17,20
PHX,Phoenix Suns,"Bates-Diop, Keita",On,39,23,16,0.59,597.0,477,1013,0.471,137,377,0.363,272,342,0.795,128,401,529,307,183.0,86,93,66,225,260,1363,-42.0,12,11,12,15,10,10,10,12,10,10,9,10,10,15,11,10,11,10,13,10,10,14,13,10,10,19
PHX,Phoenix Suns,"Beal, Bradley",On,53,33,20,0.623,1766.7333333333333,1607,3171,0.507,472,1183,0.399,591,740,0.799,350,1216,1566,1035,547.0,282,191,167,636,640,4277,107.0,8,8,15,7,6,6,6,2,6,6,4,6,6,14,6,6,6,6,17,6,6,17,17,6,6,7
PHX,Phoenix Suns,"Bol, Bol",On,43,28,15,0.651,469.0283333333333,407,851,0.478,100,297,0.337,161,199,0.809,119,357,476,256,148.0,60,70,42,173,178,1075,13.0,10,9,10,3,12,12,12,10,12,13,14,14,14,10,12,12,12,12,10,15,13,9,9,13,12,9
PHX,Phoenix Suns,"Booker, Devin",On,68,43,25,0.632,2446.6566666666668,2222,4427,0.502,667,1684,0.396,979,1205,0.812,502,1725,2227,1426,716.0,369,285,196,919,1006,6090,316.0,5,4,17,4,3,3,3,5,3,3,6,3,3,8,2,3,3,3,20,3,3,20,20,3,3,2
PHX,Phoenix Suns,"Durant, Kevin",On,75,44,31,0.587,2790.6366666666668,2527,5009,0.504,743,1866,0.398,1091,1333,0.818,568,1985,2553,1631,874.0,438,329,261,1008,1137,6888,291.0,2,3,21,17,1,1,1,3,1,1,5,1,1,5,1,1,1,1,22,1,1,22,22,1,1,3
PHX,Phoenix Suns,"Eubanks, Drew",On,75,42,33,0.56,1168.705,950,2048,0.464,263,755,0.348,461,548,0.841,246,786,1032,580,378.0,170,165,109,429,483,2624,-106.0,2,5,22,20,7,7,7,14,7,7,12,7,8,2,7,7,7,7,16,7,7,15,16,7,7,22
PHX,Phoenix Suns,"Goodwin, Jordan",On,40,23,17,0.575,558.5266666666666,445,984,0.452,100,341,0.293,241,296,0.814,145,399,544,274,176.0,82,85,58,216,248,1231,-22.0,11,11,13,19,11,11,11,18,12,11,21,11,11,7,10,11,10,11,12,11,11,12,12,11,11,16
PHX,Phoenix Suns,"Gordon, Eric",On,68,41,27,0.603,1892.63,1658,3326,0.498,496,1309,0.379,763,927,0.823,359,1329,1688,1052,597.0,299,254,168,735,799,4575,131.0,5,6,18,10,5,5,5,6,5,5,8,4,5,4,5,5,5,5,18,5,4,18,18,5,5,6
