TEAM_ABBREVIATION,TEAM_NAME,VS_PLAYER_NAME,COURT_STATUS,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK
POR,Portland Trail Blazers,"Ayton, Deandre",On,55,14,41,0.255,1783.4983333333332,1475,3250,0.454,371,1058,0.351,550,667,0.825,439,1159,1598,878,569.0,280,153,227,661,608,3871,-318.0,7,8,16,8,2,2,3,1,6,6,8,5,5,3,4,1,2,1,20,3,3,18,18,5,3,18
POR,Portland Trail Blazers,"Badji, Ibou",On,22,5,17,0.227,225.81833333333333,161,396,0.407,42,135,0.311,85,115,0.739,52,143,195,83,83.0,25,33,27,109,89,449,-90.0,15,15,7,14,17,17,17,18,18,18,17,17,17,16,18,17,18,18,6,18,16,5,6,17,17,9
POR,Portland Trail Blazers,"Banton, Dalano",On,30,6,24,0.2,875.7533333333333,697,1614,0.432,199,610,0.326,254,338,0.751,243,559,802,428,293.0,127,78,121,355,310,1847,-242.0,14,13,9,15,12,12,12,14,12,12,14,12,12,13,12,12,12,12,11,12,12,11,11,12,12,16
POR,Portland Trail Blazers,"Bouyea, Jamaree",On,6,0,6,0.0,57.21666666666667,36,108,0.333,12,45,0.267,14,19,0.737,18,32,50,26,24.0,10,4,9,19,22,98,-22.0,20,22,3,22,20,20,20,21,20,20,20,21,21,17,20,21,20,20,3,21,20,3,1,20,20,3
POR,Portland Trail Blazers,"Brogdon, Malcolm",On,39,15,24,0.385,1120.8166666666666,930,2050,0.454,280,742,0.377,436,528,0.826,267,720,987,532,332.0,172,115,140,460,431,2576,-81.0,10,7,9,1,10,10,10,2,10,10,1,8,9,2,10,10,10,10,13,11,8,12,12,10,10,7
POR,Portland Trail Blazers,"Brown, Moses",On,22,4,18,0.182,199.97833333333332,156,378,0.413,50,141,0.355,76,113,0.673,66,134,200,95,65.0,26,17,34,68,86,438,-59.0,15,16,8,17,18,18,18,17,17,17,5,18,18,21,17,18,17,17,5,17,18,6,5,18,18,6
POR,Portland Trail Blazers,"Camara, Toumani",On,70,19,51,0.271,1739.32,1413,3246,0.435,418,1205,0.347,592,753,0.786,499,1120,1619,834,571.0,291,149,241,731,648,3836,-189.0,2,1,20,7,4,4,4,8,2,2,10,3,3,10,1,3,1,3,22,1,5,22,20,3,4,14
POR,Portland Trail Blazers,"Grant, Jerami",On,54,17,37,0.315,1830.1866666666667,1486,3313,0.449,415,1149,0.361,657,807,0.814,406,1126,1532,855,556.0,274,176,232,757,690,4044,-351.0,8,5,15,3,1,1,1,4,3,3,3,1,1,4,5,2,3,2,19,4,1,20,22,1,1,21
POR,Portland Trail Blazers,"Hagans, Ashton",On,19,3,16,0.158,315.57166666666666,250,575,0.435,62,199,0.312,108,147,0.735,90,194,284,148,103.0,47,35,53,155,123,670,-4.0,18,17,6,19,16,16,16,9,16,16,16,15,15,19,16,16,16,16,7,16,15,8,9,15,16,2
POR,Portland Trail Blazers,"Henderson, Scoot",On,62,18,44,0.29,1765.3933333333334,1427,3284,0.435,433,1213,0.357,589,730,0.807,450,1067,1517,821,569.0,273,147,240,756,673,3876,-495.0,5,2,17,4,3,3,2,10,1,1,4,4,4,5,3,4,4,4,20,5,6,21,21,2,2,22
