TEAM_ABBREVIATION,TEAM_NAME,VS_PLAYER_NAME,COURT_STATUS,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK
SAC,Sacramento Kings,"Barnes, Harrison",On,82,46,36,0.561,2380.87,2124,4481,0.474,680,1888,0.36,771,1021,0.755,503,1645,2148,1393,622.0,384,166,221,935,882,5699,-80.0,1,1,19,13,4,4,4,12,4,4,10,4,4,4,4,4,4,4,17,4,5,17,17,4,4,20
SAC,Sacramento Kings,"Duarte, Chris",On,59,35,24,0.593,719.5183333333333,617,1333,0.463,208,583,0.357,200,284,0.704,180,482,662,384,209.0,114,58,72,301,267,1642,-67.0,8,8,10,5,10,10,10,16,10,10,11,10,10,16,10,10,10,10,11,10,10,11,11,10,10,19
SAC,Sacramento Kings,"Edwards, Kessler",On,54,32,22,0.593,274.7416666666667,213,497,0.429,66,212,0.311,81,116,0.698,75,179,254,137,82.0,49,24,23,108,101,573,-45.0,11,11,9,6,14,14,14,18,14,14,17,14,14,17,14,14,14,14,7,13,15,7,7,14,14,17
SAC,Sacramento Kings,"Ellis, Keon",On,57,33,24,0.579,978.485,844,1808,0.467,310,816,0.38,308,399,0.772,231,677,908,591,257.0,163,103,95,389,355,2306,93.0,10,9,10,8,9,9,9,15,8,9,4,9,9,3,9,9,9,9,12,8,8,13,12,9,9,5
SAC,Sacramento Kings,"Ford, Jordan",On,6,2,4,0.333,21.816666666666666,21,39,0.538,9,21,0.429,7,8,0.875,4,14,18,11,3.0,2,3,2,4,5,58,14.0,18,19,3,20,19,18,19,2,17,19,1,18,19,1,19,19,19,18,2,19,18,3,2,19,18,8
SAC,Sacramento Kings,"Fox, De'Aaron",On,74,42,32,0.568,2658.7633333333333,2430,5088,0.478,813,2186,0.372,893,1191,0.75,603,1840,2443,1526,695.0,429,235,262,1081,1043,6566,233.0,4,4,17,12,2,2,2,9,2,2,7,2,2,6,2,2,2,3,18,3,1,19,19,2,2,1
SAC,Sacramento Kings,"Huerter, Kevin",On,64,37,27,0.578,1562.2266666666667,1451,2938,0.494,475,1275,0.373,485,651,0.745,292,1068,1360,983,392.0,254,126,127,634,567,3862,75.0,7,7,14,9,6,6,6,3,6,6,6,6,6,9,6,6,6,6,15,6,6,15,15,6,6,6
SAC,Sacramento Kings,"Jones, Colby",On,30,15,15,0.5,191.73666666666668,154,366,0.421,47,149,0.315,63,79,0.797,67,133,200,93,54.0,32,26,19,83,65,418,9.0,15,15,6,17,15,15,15,19,15,15,16,15,15,2,15,15,15,15,6,15,14,6,6,15,15,10
SAC,Sacramento Kings,"Jones, Mason",On,5,3,2,0.6,27.683333333333334,20,54,0.37,6,23,0.261,4,9,0.444,12,19,31,11,10.0,8,3,4,14,8,50,-7.0,19,18,2,4,18,19,18,20,18,18,18,19,18,19,18,18,18,18,3,16,18,5,3,18,19,15
SAC,Sacramento Kings,"Len, Alex",On,48,24,24,0.5,444.245,402,848,0.474,152,395,0.385,137,183,0.749,111,318,429,253,115.0,72,54,47,199,154,1093,142.0,12,13,10,17,12,12,12,11,12,12,2,12,12,7,11,12,12,12,9,11,11,10,9,12,12,3
SAC,Sacramento Kings,"Lyles, Trey",On,58,33,25,0.569,1158.2183333333332,1049,2164,0.485,371,968,0.383,393,534,0.736,268,815,1083,665,322.0,148,117,118,489,478,2862,179.0,9,9,13,11,7,7,7,5,7,7,3,7,7,12,7,7,7,7,14,9,7,14,14,7,7,2
SAC,Sacramento Kings,"McGee, JaVale",On,46,28,18,0.609,339.3616666666667,303,645,0.47,95,275,0.345,115,163,0.706,86,236,322,190,114.0,49,44,23,161,129,816,7.0,13,12,7,3,13,13,13,13,13,13,13,13,13,15,13,13,13,13,8,13,13,7,8,13,13,11
SAC,Sacramento Kings,"Mitchell, Davion",On,72,41,31,0.569,1101.1,942,2006,0.47,304,893,0.34,332,449,0.739,236,746,982,639,307.0,170,82,72,456,402,2520,-45.0,5,6,16,10,8,8,8,14,9,8,14,8,8,11,8,8,8,8,13,7,9,11,13,8,8,17
SAC,Sacramento Kings,"Monk, Malik",On,72,42,30,0.583,1872.3066666666666,1670,3506,0.476,526,1488,0.353,715,951,0.752,420,1257,1677,1070,530.0,262,170,191,826,792,4581,10.0,5,4,15,7,5,5,5,10,5,5,12,5,5,5,5,5,5,5,16,5,4,16,16,5,5,9
SAC,Sacramento Kings,"Murray, Keegan",On,77,43,34,0.558,2588.5666666666666,2341,4879,0.48,774,2058,0.376,790,1064,0.742,575,1766,2341,1549,695.0,440,213,250,1023,945,6246,138.0,3,3,18,15,3,3,3,8,3,3,5,3,3,10,3,3,3,2,18,2,3,18,18,3,3,4
SAC,Sacramento Kings,"Petrusev, Filip",On,2,1,1,0.5,6.626666666666667,6,10,0.6,1,4,0.25,1,3,0.333,0,5,5,6,2.0,0,0,0,2,4,14,3.0,20,20,1,17,20,20,20,1,20,20,19,20,20,20,20,20,20,20,1,20,20,1,1,20,20,12
SAC,Sacramento Kings,"Sabonis, Domantas",On,82,46,36,0.561,2928.0216666666665,2647,5502,0.481,861,2330,0.37,904,1209,0.748,636,2001,2637,1771,786.0,477,222,281,1162,1102,7059,69.0,1,1,19,13,1,1,1,7,1,1,9,1,1,8,1,1,1,1,20,1,2,20,20,1,1,7
SAC,Sacramento Kings,"Slawson, Jalen",On,12,8,4,0.667,36.975,32,65,0.492,6,25,0.24,9,15,0.6,14,21,35,21,14.0,3,4,0,21,12,79,-6.0,16,16,3,1,17,17,17,4,18,17,20,17,17,18,17,17,17,17,4,18,17,1,4,17,17,14
SAC,Sacramento Kings,"Toscano-Anderson, Juan",On,11,7,4,0.636,52.663333333333334,40,93,0.43,13,40,0.325,16,22,0.727,18,44,62,28,22.0,6,10,3,26,20,109,-9.0,17,17,3,2,16,16,16,17,16,16,15,16,16,14,16,16,16,16,5,17,16,4,5,16,16,16
SAC,Sacramento Kings,"Vezenkov, Sasha",On,42,22,20,0.524,511.0733333333333,459,953,0.482,173,466,0.371,146,199,0.734,109,329,438,299,159.0,63,50,40,246,189,1237,2.0,14,14,8,16,11,11,11,6,11,11,8,11,11,13,12,11,11,11,10,12,12,9,10,11,11,13
