TEAM_ABBREVIATION,TEAM_NAME,VS_PLAYER_NAME,COURT_STATUS,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK
SAS,San Antonio Spurs,"Barlow, Dominick",On,33,7,26,0.212,419.54,373,811,0.46,112,301,0.372,148,186,0.796,108,270,378,238,97.0,66,44,51,158,152,1006,-32.0,13,14,8,19,13,13,13,11,13,13,5,12,13,4,12,13,13,13,7,12,13,8,9,13,13,9
SAS,San Antonio Spurs,"Bassey, Charles",On,19,3,16,0.158,205.275,183,402,0.455,60,157,0.382,52,67,0.776,50,134,184,121,70.0,32,28,20,82,71,478,-46.0,15,16,7,20,15,15,15,17,15,15,4,15,15,10,15,15,15,15,6,15,15,6,6,15,15,10
SAS,San Antonio Spurs,"Bouyea, Jamaree",On,3,2,1,0.667,37.68333333333333,34,68,0.5,12,28,0.429,9,12,0.75,7,30,37,22,10.0,4,4,2,11,7,89,7.0,18,18,1,2,19,19,19,3,19,19,2,19,19,17,18,18,18,19,3,18,18,2,2,20,19,5
SAS,San Antonio Spurs,"Branham, Malaki",On,75,18,57,0.24,1594.3266666666666,1368,2997,0.456,432,1203,0.359,486,627,0.775,342,1098,1440,974,524.0,208,211,165,554,576,3654,-373.0,2,6,20,16,6,6,6,15,6,6,6,6,6,11,6,6,6,6,15,7,7,15,14,6,6,19
SAS,San Antonio Spurs,"Champagnie, Julian",On,74,19,55,0.257,1467.875,1275,2734,0.466,405,1128,0.359,483,605,0.798,321,1032,1353,934,460.0,238,228,137,468,529,3438,-141.0,3,2,16,12,8,8,8,7,7,7,7,7,7,3,8,8,8,7,13,6,6,13,12,7,7,11
SAS,San Antonio Spurs,"Cissoko, Sidy",On,12,5,7,0.417,140.91833333333332,121,261,0.464,39,121,0.322,45,55,0.818,28,116,144,86,48.0,25,14,13,49,43,326,25.0,16,15,5,5,16,16,16,8,16,16,18,16,16,2,16,16,16,16,5,16,16,5,5,16,16,2
SAS,San Antonio Spurs,"Collins, Zach",On,69,19,50,0.275,1525.7283333333332,1290,2833,0.455,366,1070,0.342,463,598,0.774,322,1074,1396,907,506.0,193,143,146,597,522,3409,-393.0,7,2,12,8,7,7,7,16,8,8,12,8,8,12,7,7,7,8,14,8,9,14,15,8,8,20
SAS,San Antonio Spurs,"Diakite, Mamadi",On,3,2,1,0.667,15.95,12,27,0.444,3,11,0.273,6,9,0.667,3,12,15,7,3.0,2,2,1,5,8,33,5.0,18,18,1,2,20,20,20,19,20,20,20,20,20,20,20,20,20,20,1,20,19,1,1,19,20,7
SAS,San Antonio Spurs,"Duke Jr., David",On,4,3,1,0.75,51.35,48,93,0.516,16,38,0.421,16,22,0.727,9,39,48,35,16.0,6,5,4,21,17,128,6.0,17,16,1,1,17,17,17,2,17,17,3,17,17,19,17,17,17,17,4,17,17,4,4,17,17,6
SAS,San Antonio Spurs,"Graham, Devonte'",On,23,8,15,0.348,312.92333333333335,262,571,0.459,93,260,0.358,105,137,0.766,68,225,293,182,98.0,41,40,26,107,125,722,23.0,14,13,6,6,14,14,14,12,14,14,8,14,14,15,14,14,14,14,8,14,14,7,7,14,14,3
