TEAM_ABBREVIATION,TEAM_NAME,VS_PLAYER_NAME,COURT_STATUS,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK
TOR,Toronto Raptors,"Achiuwa, Precious",On,25,8,17,0.32,436.885,370,819,0.452,115,339,0.339,149,200,0.745,114,287,401,255,123.0,69,42,41,158,163,1004,-53.0,19,13,11,12,17,17,17,18,16,17,13,17,17,20,16,17,17,17,13,18,17,10,13,17,17,14
TOR,Toronto Raptors,"Agbaji, Ochai",On,27,6,21,0.222,638.225,545,1178,0.463,155,463,0.335,233,292,0.798,131,410,541,364,197.0,106,54,79,254,252,1478,-129.0,15,15,16,20,13,13,13,14,13,13,14,13,13,6,14,13,13,13,18,13,14,18,18,13,13,20
TOR,Toronto Raptors,"Anunoby, OG",On,27,11,16,0.407,900.225,827,1674,0.494,215,603,0.357,289,395,0.732,203,619,822,577,260.0,142,88,107,344,336,2158,37.0,15,11,10,4,9,9,9,3,9,9,10,9,9,26,9,9,9,9,21,10,9,21,21,9,9,1
TOR,Toronto Raptors,"Barnes, Scottie",On,60,22,38,0.367,2094.2483333333334,1883,3949,0.477,504,1415,0.356,698,925,0.755,490,1404,1894,1286,573.0,329,231,242,775,781,4968,-144.0,2,2,27,8,1,1,1,9,2,1,11,1,1,18,1,1,1,1,30,1,1,30,30,1,1,22
TOR,Toronto Raptors,"Barrett, RJ",On,32,11,21,0.344,1071.625,974,2008,0.485,253,709,0.357,379,509,0.745,222,724,946,639,275.0,164,107,136,394,412,2580,-136.0,12,11,16,10,8,8,8,7,8,8,9,8,8,21,8,8,8,8,23,8,7,23,23,8,8,21
TOR,Toronto Raptors,"Boucher, Chris",On,50,16,34,0.32,704.8833333333333,630,1323,0.476,183,531,0.345,246,331,0.743,192,469,661,415,188.0,112,70,71,283,288,1689,28.0,5,6,26,12,12,12,12,10,10,11,12,12,12,22,10,11,11,12,17,12,11,16,19,12,12,2
TOR,Toronto Raptors,"Brown, Bruce",On,34,7,27,0.206,884.7883333333333,749,1619,0.463,183,572,0.32,288,366,0.787,186,558,744,529,272.0,147,85,119,365,299,1969,-311.0,10,14,22,22,10,10,10,15,10,10,20,10,10,11,11,10,10,10,22,9,10,22,22,10,10,29
TOR,Toronto Raptors,"Carton, D.J.",On,4,2,2,0.5,35.53333333333333,23,62,0.371,5,26,0.192,15,16,0.938,6,21,27,14,13.0,5,6,4,17,12,66,-31.0,26,23,4,2,27,27,27,27,27,27,29,27,27,2,27,27,27,27,4,27,27,4,4,27,27,12
TOR,Toronto Raptors,"Dick, Gradey",On,60,18,42,0.3,1267.6683333333333,1064,2374,0.448,300,927,0.324,403,526,0.766,304,792,1096,720,407.0,210,91,158,496,480,2831,-378.0,2,4,29,15,6,7,6,21,6,4,18,7,7,14,5,7,7,7,27,4,8,27,26,6,7,30
TOR,Toronto Raptors,"Flynn, Malachi",On,31,12,19,0.387,474.26166666666666,392,904,0.434,124,381,0.325,165,218,0.757,145,299,444,271,140.0,84,50,47,184,178,1073,-67.0,13,8,13,6,16,16,16,23,14,15,17,16,16,16,12,16,16,14,14,15,16,13,15,16,16,16
TOR,Toronto Raptors,"Freeman-Liberty, Javon",On,22,3,19,0.136,403.03833333333336,334,744,0.449,87,279,0.312,123,154,0.799,96,233,329,205,145.0,75,36,61,158,147,878,-159.0,21,22,13,25,18,18,18,20,20,18,24,18,19,5,18,19,18,20,15,17,19,15,13,18,18,24
TOR,Toronto Raptors,"Gueye, Mouhamadou",On,11,0,11,0.0,119.94166666666666,73,204,0.358,18,72,0.25,40,54,0.741,23,76,99,43,46.0,23,22,24,34,46,204,-80.0,23,26,9,26,24,25,24,28,25,24,28,24,24,24,24,25,24,24,8,24,21,9,6,24,25,19
TOR,Toronto Raptors,"Harper Jr., Ron",On,1,1,0,1.0,3.65,3,5,0.6,2,2,1.0,0,0,0.0,0,2,2,3,3.0,0,1,0,6,0,8,-9.0,28,25,1,1,28,28,29,1,28,30,1,29,29,29,30,29,29,28,3,29,28,1,3,29,29,7
TOR,Toronto Raptors,"Lewis Jr., Kira",On,1,0,1,0.0,1.55,0,3,0.0,0,3,0.0,0,0,0.0,1,0,1,0,1.0,0,0,0,1,0,0,-4.0,28,26,2,26,30,30,30,30,30,28,30,29,29,29,29,30,30,30,1,29,29,1,1,29,30,6
TOR,Toronto Raptors,"McDaniels, Jalen",On,50,12,38,0.24,538.0066666666667,419,978,0.428,124,389,0.319,189,238,0.794,129,354,483,270,179.0,81,58,75,204,196,1151,-162.0,5,8,27,18,14,15,14,24,14,14,22,14,14,7,15,14,14,15,16,16,13,17,16,14,14,25
TOR,Toronto Raptors,"Nowell, Markquis",On,1,0,1,0.0,3.5166666666666666,2,6,0.333,1,3,0.333,4,4,1.0,2,3,5,2,1.0,2,0,2,1,2,9,4.0,28,26,2,26,29,29,28,29,29,28,15,28,28,1,28,28,28,29,1,28,29,3,1,28,28,5
TOR,Toronto Raptors,"Nwora, Jordan",On,34,6,28,0.176,528.8816666666667,426,948,0.449,111,347,0.32,181,223,0.812,106,344,450,270,198.0,93,63,79,204,182,1144,-183.0,10,15,23,24,15,14,15,19,17,16,21,15,15,4,17,15,15,15,19,14,12,18,16,15,15,26
TOR,Toronto Raptors,"Olynyk, Kelly",On,28,6,22,0.214,739.475,645,1369,0.471,169,528,0.32,262,338,0.775,141,452,593,439,221.0,127,54,89,293,294,1721,-203.0,14,15,18,21,11,11,11,12,12,12,19,11,11,13,13,12,12,11,20,11,14,20,20,11,11,28
TOR,Toronto Raptors,"Poeltl, Jakob",On,50,21,29,0.42,1319.1083333333333,1215,2469,0.492,284,786,0.361,424,584,0.726,304,917,1221,824,364.0,210,143,149,450,497,3138,-17.0,5,3,24,3,5,5,5,4,7,7,6,5,5,28,5,5,5,5,25,4,4,26,24,5,5,8
TOR,Toronto Raptors,"Porter Jr., Otto",On,15,6,9,0.4,174.07333333333332,153,331,0.462,43,130,0.331,73,92,0.793,40,125,165,104,51.0,35,20,15,70,72,422,22.0,22,15,8,5,22,22,22,16,22,22,16,22,22,8,22,22,22,22,9,22,23,7,9,22,22,3
TOR,Toronto Raptors,"Porter, Jontay",On,26,6,20,0.231,359.73833333333334,305,657,0.464,101,277,0.365,113,143,0.79,74,239,313,207,120.0,63,39,46,146,115,824,-72.0,18,15,15,19,19,20,19,13,18,19,5,20,20,9,19,18,19,19,12,19,18,12,12,20,20,17
TOR,Toronto Raptors,"Quickley, Immanuel",On,38,12,26,0.316,1265.1666666666667,1114,2362,0.472,318,884,0.36,419,555,0.755,253,853,1106,737,338.0,205,132,148,471,474,2965,-155.0,9,8,21,14,7,6,7,11,4,5,8,6,6,17,7,6,6,6,24,6,6,25,25,7,6,23
TOR,Toronto Raptors,"Ramsey, Jahmi'us",On,7,0,7,0.0,121.085,96,211,0.455,24,81,0.296,44,58,0.759,21,78,99,62,39.0,25,12,14,50,49,260,-28.0,24,26,7,26,23,23,23,17,23,23,26,23,23,15,25,24,24,23,6,23,24,6,8,23,23,9
TOR,Toronto Raptors,"Schroder, Dennis",On,51,18,33,0.353,1558.575,1401,2862,0.49,365,1013,0.36,561,767,0.731,342,1069,1411,960,411.0,223,147,173,601,627,3728,-30.0,4,4,25,9,3,3,3,6,3,3,7,3,3,27,3,3,3,3,28,3,3,28,28,3,3,11
