TEAM_ABBREVIATION,TEAM_NAME,VS_PLAYER_NAME,COURT_STATUS,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK
UTA,Utah Jazz,"Agbaji, Ochai",On,51,25,26,0.49,1003.3866666666667,854,1841,0.464,255,733,0.348,381,465,0.819,243,710,953,558,332.0,119,144,128,405,411,2344,-121.0,8,5,10,4,11,10,11,12,10,10,10,11,11,15,11,9,9,10,12,11,7,12,11,10,11,13
UTA,Utah Jazz,"Bazley, Darius",On,6,2,4,0.333,142.04166666666666,122,268,0.455,33,104,0.317,59,66,0.894,39,82,121,65,37.0,21,14,22,39,52,336,-32.0,20,18,2,14,18,18,18,16,18,18,17,18,18,2,18,18,18,18,3,18,18,5,3,18,18,8
UTA,Utah Jazz,"Clarkson, Jordan",On,55,22,33,0.4,1682.3416666666667,1460,3133,0.466,434,1270,0.342,676,827,0.817,432,1131,1563,943,528.0,215,193,222,661,706,4030,-191.0,6,9,14,6,5,5,5,9,5,5,12,5,5,16,5,5,5,5,17,5,5,17,17,5,5,19
UTA,Utah Jazz,"Collins, John",On,68,27,41,0.397,1901.06,1671,3588,0.466,519,1471,0.353,719,859,0.837,495,1286,1781,1093,589.0,248,201,268,761,771,4580,-307.0,3,2,18,8,3,3,3,10,3,3,7,4,4,10,3,3,3,3,19,3,4,20,20,3,3,20
UTA,Utah Jazz,"Dunn, Kris",On,66,25,41,0.379,1249.1766666666667,1162,2408,0.483,377,1002,0.376,436,510,0.855,329,859,1188,765,389.0,202,129,160,525,460,3137,14.0,4,5,18,9,7,7,7,3,6,7,2,8,8,4,7,7,7,7,15,6,10,14,16,8,7,3
UTA,Utah Jazz,"Fontecchio, Simone",On,50,25,25,0.5,1159.7833333333333,1044,2195,0.476,340,919,0.37,457,553,0.826,280,811,1091,723,365.0,172,137,167,443,488,2885,9.0,10,5,8,1,8,8,8,6,8,8,4,7,7,12,8,8,8,8,14,8,8,15,14,7,8,4
UTA,Utah Jazz,"George, Keyonte",On,75,27,48,0.36,2022.5766666666666,1677,3660,0.458,509,1498,0.34,811,993,0.817,479,1411,1890,1076,698.0,244,243,266,727,826,4674,-374.0,2,2,20,11,2,2,2,15,4,2,14,2,2,17,4,1,2,4,21,4,1,19,19,2,2,21
UTA,Utah Jazz,"Hendricks, Taylor",On,40,13,27,0.325,856.4316666666666,734,1585,0.463,229,642,0.357,288,343,0.84,204,599,803,460,298.0,117,91,112,329,280,1985,-150.0,14,14,11,15,12,12,12,13,12,12,6,12,12,8,12,12,12,12,10,12,12,10,10,12,12,17
UTA,Utah Jazz,"Horton-Tucker, Talen",On,51,14,37,0.275,1008.6983333333334,853,1875,0.455,281,776,0.362,394,479,0.823,266,685,951,534,315.0,151,130,126,410,393,2381,-107.0,8,13,16,17,10,11,9,17,9,9,5,10,10,13,9,11,10,11,11,10,9,11,12,11,10,12
UTA,Utah Jazz,"Juzang, Johnny",On,20,5,15,0.25,371.80333333333334,317,685,0.463,99,282,0.351,124,153,0.81,94,253,347,186,110.0,40,45,41,131,139,857,-8.0,16,16,6,18,16,16,16,14,15,16,8,16,16,20,16,16,16,16,6,16,15,6,6,16,16,6
UTA,Utah Jazz,"Kessler, Walker",On,64,26,38,0.406,1493.1066666666666,1264,2704,0.467,374,1069,0.35,588,721,0.816,367,1060,1427,809,503.0,194,214,185,524,597,3490,-149.0,5,4,17,5,6,6,6,8,7,6,9,6,6,18,6,6,6,6,16,7,3,16,15,6,6,16
UTA,Utah Jazz,"Lewis Jr., Kira",On,12,1,11,0.083,119.12666666666667,96,216,0.444,25,87,0.287,44,53,0.83,28,76,104,58,41.0,14,13,12,42,49,261,-44.0,18,21,4,21,19,19,19,20,19,19,21,19,19,11,19,19,19,19,4,19,20,3,4,19,19,9
UTA,Utah Jazz,"Lofton Jr., Kenneth",On,4,2,2,0.5,90.66666666666667,83,165,0.503,20,69,0.29,35,40,0.875,25,66,91,49,33.0,13,14,8,34,29,221,-2.0,21,18,1,1,20,20,20,1,20,20,20,20,20,3,20,20,20,20,2,20,18,1,2,20,20,5
UTA,Utah Jazz,"Markkanen, Lauri",On,55,22,33,0.4,1819.7466666666667,1644,3453,0.476,543,1434,0.379,735,873,0.842,501,1267,1768,1108,584.0,256,191,261,698,761,4566,21.0,6,9,14,6,4,4,4,5,2,4,1,3,3,7,2,4,4,2,18,2,6,18,18,4,4,2
UTA,Utah Jazz,"Olynyk, Kelly",On,50,25,25,0.5,1019.255,893,1867,0.478,252,730,0.345,422,503,0.839,253,697,950,606,362.0,153,122,130,436,428,2460,-59.0,10,5,8,1,9,9,10,4,11,11,11,9,9,9,10,10,11,9,13,9,11,13,13,9,9,11
UTA,Utah Jazz,"Potter, Micah",On,16,3,13,0.188,186.06,150,336,0.446,41,133,0.308,69,84,0.821,42,123,165,86,52.0,24,21,20,60,78,410,-28.0,17,17,5,20,17,17,17,19,17,17,18,17,17,14,17,17,17,17,5,17,17,4,5,17,17,7
UTA,Utah Jazz,"Preston, Jason",On,7,2,5,0.286,71.13333333333334,70,142,0.493,16,48,0.333,27,30,0.9,21,55,76,41,16.0,11,10,10,19,23,183,23.0,19,18,3,16,21,21,21,2,21,21,15,21,21,1,21,21,21,21,1,21,21,2,1,21,21,1
UTA,Utah Jazz,"Samanic, Luka",On,43,15,28,0.349,404.37666666666667,327,728,0.449,88,293,0.3,180,222,0.811,96,309,405,195,145.0,56,45,51,152,157,922,-51.0,13,12,12,13,15,15,15,18,16,15,19,14,15,19,15,15,15,15,7,15,15,7,7,15,15,10
UTA,Utah Jazz,"Sensabaugh, Brice",On,32,8,24,0.25,584.3633333333333,494,1064,0.464,141,423,0.333,222,260,0.854,131,382,513,307,191.0,72,57,70,199,204,1351,-173.0,15,15,7,18,13,13,13,11,13,13,15,13,13,5,14,13,14,13,9,13,13,8,8,13,13,18
UTA,Utah Jazz,"Sexton, Collin",On,78,29,49,0.372,2074.7633333333333,1857,3911,0.475,585,1575,0.371,850,1008,0.843,533,1396,1929,1221,648.0,299,226,306,816,842,5149,-143.0,1,1,21,10,1,1,1,7,1,1,3,1,1,6,1,2,1,1,20,1,2,21,21,1,1,15
UTA,Utah Jazz,"Yurtseven, Omer",On,48,17,31,0.354,545.1016666666667,443,1031,0.43,139,407,0.342,173,223,0.776,152,367,519,277,189.0,64,50,75,204,191,1198,-133.0,12,11,13,12,14,14,14,21,14,14,13,15,14,21,13,14,13,14,8,14,14,9,9,14,14,14
