TEAM_ABBREVIATION,TEAM_NAME,VS_PLAYER_NAME,COURT_STATUS,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK
WAS,Washington Wizards,"Avdija, Deni",On,75,14,61,0.187,2256.6433333333334,2049,4264,0.481,592,1654,0.358,723,947,0.763,397,1556,1953,1331,667.0,350,221,280,932,863,5413,-329.0,3,3,22,10,3,3,3,6,2,2,8,2,1,12,4,2,2,3,24,2,4,23,23,1,2,19
WAS,Washington Wizards,"Bagley III, Marvin",On,24,5,19,0.208,574.9483333333334,515,1128,0.457,136,403,0.337,176,224,0.786,133,415,548,340,168.0,87,50,94,204,216,1342,-63.0,16,14,8,4,10,10,10,18,11,12,18,11,11,3,9,9,9,9,15,13,11,16,13,11,10,12
WAS,Washington Wizards,"Baldwin Jr., Patrick",On,38,6,32,0.158,493.5083333333333,433,939,0.461,152,414,0.367,152,212,0.717,95,354,449,283,141.0,91,56,66,218,191,1170,-23.0,13,10,12,18,12,12,12,15,10,11,3,15,13,21,12,12,12,12,13,11,10,11,14,12,12,7
WAS,Washington Wizards,"Bernard, Jules",On,19,2,17,0.105,149.275,142,311,0.457,42,120,0.35,42,61,0.689,50,94,144,87,48.0,22,19,26,60,59,368,26.0,18,21,7,22,21,20,20,17,20,20,13,21,21,22,20,21,21,21,4,21,20,5,4,21,20,3
WAS,Washington Wizards,"Butler, Jared",On,40,6,34,0.15,565.6516666666666,490,1053,0.465,136,419,0.325,194,259,0.749,114,382,496,305,167.0,93,50,86,232,221,1310,-48.0,12,10,13,19,11,11,11,12,11,10,21,9,9,16,11,11,11,11,14,10,11,14,15,10,11,8
WAS,Washington Wizards,"Champagnie, Justin",On,15,3,12,0.2,234.83833333333334,201,457,0.44,59,193,0.306,84,111,0.757,58,154,212,129,67.0,31,29,36,105,91,545,-59.0,20,19,5,5,19,19,19,22,19,19,22,19,19,14,18,19,19,19,6,19,17,7,6,19,19,11
WAS,Washington Wizards,"Coulibaly, Bilal",On,63,11,52,0.175,1715.25,1474,3178,0.464,426,1243,0.343,586,779,0.752,321,1064,1385,961,518.0,299,187,200,717,660,3960,-419.0,6,5,19,14,6,6,6,13,6,6,15,5,5,15,6,6,6,6,19,6,6,19,19,6,6,20
WAS,Washington Wizards,"Davis, Johnny",On,50,8,42,0.16,613.48,535,1187,0.451,156,459,0.34,181,242,0.748,122,401,523,329,175.0,99,58,98,274,225,1407,-150.0,7,9,18,17,9,9,9,20,9,9,16,10,10,18,10,10,10,10,16,9,8,17,16,9,9,17
WAS,Washington Wizards,"Diallo, Hamidou",On,2,1,1,0.5,4.75,4,14,0.286,1,7,0.143,0,1,0.0,4,5,9,2,1.0,2,0,1,2,1,9,4.0,23,22,1,1,23,23,23,24,23,23,24,23,23,23,23,23,23,23,1,23,23,2,2,23,23,5
WAS,Washington Wizards,"Gafford, Daniel",On,45,9,36,0.2,1191.785,1137,2319,0.49,285,807,0.353,359,462,0.777,227,791,1018,739,312.0,184,175,129,484,410,2918,-187.0,10,7,14,5,7,7,7,4,7,7,10,7,7,7,7,7,7,7,18,7,7,18,18,7,7,18
