TEAM_ABBREVIATION,TEAM_NAME,VS_PLAYER_NAME,COURT_STATUS,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK
ATL,Atlanta Hawks,"Bey, Saddiq",Off,82,36,46,0.439,1909.3416666666667,1647,3568,0.462,546,1494,0.365,662,842,0.786,422,1273,1695,1064,539.0,321,175,207,724,735,4502,-160.0,1,1,5,4,16,16,16,16,16,16,9,16,16,17,16,16,16,16,5,13,15,5,5,15,16,16
ATL,Atlanta Hawks,"Bogdanovic, Bogdan",Off,82,36,46,0.439,1569.5916666666667,1380,2976,0.464,415,1173,0.354,618,801,0.772,414,1006,1420,860,468.0,230,161,190,643,661,3793,-306.0,1,1,5,4,17,17,17,13,17,17,18,17,17,19,17,17,17,17,4,17,17,4,4,17,17,20
ATL,Atlanta Hawks,"Bufkin, Kobe",Off,82,36,46,0.439,3774.9966666666664,3379,7227,0.468,1085,2942,0.369,1456,1824,0.798,990,2501,3491,2086,1045.0,587,347,437,1440,1520,9299,-144.0,1,1,5,4,4,4,4,7,3,4,4,3,3,10,4,4,4,4,17,3,4,18,17,4,3,14
ATL,Atlanta Hawks,"Capela, Clint",Off,82,36,46,0.439,2087.9133333333334,1818,3839,0.474,597,1647,0.362,866,1064,0.814,432,1322,1754,1129,601.0,328,181,224,842,886,5099,-162.0,1,1,5,4,13,14,14,2,13,13,15,12,12,3,15,14,15,13,9,12,13,6,8,12,12,17
ATL,Atlanta Hawks,"Fernando, Bruno",Off,82,36,46,0.439,3288.6966666666667,2960,6384,0.464,955,2602,0.367,1312,1629,0.805,897,2208,3105,1823,891.0,509,312,395,1236,1336,8187,-83.0,1,1,5,4,7,7,7,14,7,7,5,7,7,5,7,7,7,7,14,7,7,14,14,7,7,7
ATL,Atlanta Hawks,"Forrest, Trent",Off,82,36,46,0.439,3557.2383333333332,3199,6848,0.467,1026,2799,0.367,1400,1751,0.8,935,2395,3330,1951,990.0,551,328,420,1378,1460,8824,-85.0,1,1,5,4,6,5,5,8,5,5,6,5,5,9,6,5,5,6,15,5,5,16,16,5,5,8
ATL,Atlanta Hawks,"Griffin, AJ",Off,82,36,46,0.439,3800.27,3390,7273,0.466,1072,2953,0.363,1447,1813,0.798,996,2533,3529,2102,1056.0,587,354,436,1467,1528,9299,-128.0,1,1,5,4,3,3,3,10,4,3,14,4,4,11,3,3,3,3,18,3,3,17,18,3,3,11
ATL,Atlanta Hawks,"Gueye, Mouhamed",Off,82,36,46,0.439,3898.2,3477,7447,0.467,1107,3036,0.365,1500,1876,0.8,1004,2593,3597,2146,1077.0,605,364,448,1488,1566,9561,-138.0,1,1,5,4,2,2,2,9,2,2,11,1,1,8,2,2,2,2,19,2,1,19,19,2,2,13
ATL,Atlanta Hawks,"Hunter, De'Andre",Off,82,36,46,0.439,2289.9066666666668,2026,4422,0.458,645,1832,0.352,877,1109,0.791,615,1545,2160,1257,644.0,346,209,286,877,929,5574,-130.0,1,1,5,4,11,11,11,19,11,11,19,11,11,13,11,11,11,11,10,11,11,10,10,11,11,12
ATL,Atlanta Hawks,"Johnson, Jalen",Off,82,36,46,0.439,2082.133333333333,1853,3962,0.468,636,1699,0.374,734,933,0.787,525,1312,1837,1123,584.0,311,173,246,846,820,5076,-103.0,1,1,5,4,14,12,13,6,12,12,3,14,14,16,13,15,14,14,7,14,16,9,9,14,14,9
