TEAM_ABBREVIATION,TEAM_NAME,VS_PLAYER_NAME,COURT_STATUS,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK
BOS,Boston Celtics,"Banton, Dalano",Off,51,39,12,0.765,2301.9066666666668,2066,4296,0.481,784,2044,0.384,828,1022,0.81,495,1728,2223,1234,586.0,301,316,176,800,866,5744,470.0,16,16,4,18,9,9,9,15,10,10,16,9,9,6,11,9,9,12,12,13,9,10,12,9,9,14
BOS,Boston Celtics,"Brissett, Oshae",Off,82,64,18,0.78,3335.835,3040,6192,0.491,1134,2898,0.391,1137,1384,0.822,699,2463,3162,1853,809.0,460,467,244,1086,1175,8351,816.0,1,1,7,4,5,5,5,5,5,5,5,5,5,2,5,5,5,5,16,5,5,16,16,5,5,3
BOS,Boston Celtics,"Brown, Jaylen",Off,82,64,18,0.78,1623.4783333333332,1464,3068,0.477,597,1527,0.391,503,604,0.833,419,1191,1610,901,385.0,231,201,137,532,535,4028,517.0,1,1,7,4,15,15,15,18,14,14,6,15,16,1,13,15,15,15,5,15,15,7,5,16,15,8
BOS,Boston Celtics,"Davison, JD",Off,82,64,18,0.78,3926.99,3563,7322,0.487,1340,3450,0.388,1324,1634,0.81,863,2887,3750,2180,967.0,547,528,301,1309,1402,9790,907.0,1,1,7,4,1,1,1,10,1,1,12,1,1,5,1,1,1,1,20,1,1,20,20,1,1,1
BOS,Boston Celtics,"Hauser, Sam",Off,82,64,18,0.78,2225.415,2039,4113,0.496,716,1835,0.39,770,957,0.805,466,1627,2093,1254,556.0,318,297,165,730,829,5564,438.0,1,1,7,4,12,11,12,3,12,12,8,10,10,14,12,11,12,10,10,10,12,9,9,10,11,15
BOS,Boston Celtics,"Holiday, Jrue",Off,82,64,18,0.78,1702.7216666666666,1574,3228,0.488,582,1516,0.384,545,699,0.78,419,1247,1666,962,424.0,247,237,136,586,609,4275,503.0,1,1,7,4,14,14,14,8,15,15,15,14,14,18,13,14,14,14,7,14,14,6,7,14,14,11
BOS,Boston Celtics,"Horford, Al",Off,82,64,18,0.78,2226.2033333333334,2037,4199,0.485,730,1920,0.38,748,927,0.807,529,1624,2153,1253,552.0,330,298,179,748,801,5552,509.0,1,1,7,4,11,12,11,12,11,11,18,12,12,13,9,12,11,11,9,9,11,11,10,11,12,10
BOS,Boston Celtics,"Knight, Nathan",Off,21,16,5,0.762,1018.0,888,1865,0.476,328,901,0.364,359,453,0.792,217,767,984,523,291.0,138,122,81,374,389,2463,178.0,20,20,1,20,20,20,20,20,20,20,20,20,20,17,20,20,20,20,2,20,20,2,1,20,20,20
BOS,Boston Celtics,"Kornet, Luke",Off,82,64,18,0.78,2982.69,2708,5518,0.491,1010,2597,0.389,1055,1322,0.798,612,2220,2832,1675,743.0,431,422,218,1031,1104,7481,712.0,1,1,7,4,6,6,6,6,6,6,10,6,6,15,7,6,6,6,15,6,6,15,15,6,6,7
BOS,Boston Celtics,"Mykhailiuk, Svi",Off,82,64,18,0.78,3552.8366666666666,3209,6615,0.485,1216,3123,0.389,1219,1505,0.81,765,2630,3395,1954,866.0,482,492,266,1182,1293,8853,781.0,1,1,7,4,4,4,4,13,4,4,9,4,4,7,4,4,4,4,17,4,4,17,17,4,4,5
BOS,Boston Celtics,"Peterson, Drew",Off,60,47,13,0.783,2877.3166666666666,2649,5400,0.491,995,2518,0.395,945,1170,0.808,641,2108,2749,1642,668.0,405,405,216,929,1006,7238,737.0,15,15,6,3,7,7,7,7,7,7,3,7,7,12,6,7,7,7,14,7,7,14,14,7,7,6
BOS,Boston Celtics,"Porzingis, Kristaps",Off,82,64,18,0.78,2276.0516666666667,2041,4269,0.478,831,2118,0.392,688,863,0.797,561,1610,2171,1265,558.0,339,275,192,779,750,5601,513.0,1,1,7,4,10,10,10,17,8,8,4,13,13,16,8,13,10,8,11,8,13,13,11,13,10,9
BOS,Boston Celtics,"Pritchard, Payton",Off,82,64,18,0.78,2140.266666666667,1953,3966,0.492,704,1817,0.387,768,938,0.819,403,1643,2046,1201,536.0,305,307,155,719,788,5378,481.0,1,1,7,4,13,13,13,4,13,13,13,11,11,3,16,10,13,13,8,11,10,8,8,12,13,12
BOS,Boston Celtics,"Queta, Neemias",Off,82,64,18,0.78,3632.7833333333333,3278,6754,0.485,1226,3182,0.385,1226,1513,0.81,772,2680,3452,2009,896.0,504,497,274,1193,1296,9008,795.0,1,1,7,4,3,3,3,11,3,3,14,3,3,4,3,3,3,3,18,3,3,18,18,3,3,4
BOS,Boston Celtics,"Springer, Jaden",Off,31,25,6,0.806,1363.37,1269,2534,0.501,472,1178,0.401,417,516,0.808,284,974,1258,805,297.0,202,185,95,409,452,3427,402.0,18,18,2,1,17,17,17,2,17,17,2,17,18,10,18,18,18,17,3,17,18,3,3,18,17,16
BOS,Boston Celtics,"Stevens, Lamar",Off,51,39,12,0.765,2351.1316666666667,2110,4390,0.481,795,2082,0.382,851,1053,0.808,520,1774,2294,1264,604.0,304,323,185,820,884,5866,480.0,16,16,4,18,8,8,8,16,9,9,17,8,8,9,10,8,8,9,13,12,8,12,13,8,8,13
BOS,Boston Celtics,"Tatum, Jayson",Off,82,64,18,0.78,1320.7866666666666,1206,2488,0.485,448,1146,0.391,411,533,0.771,335,982,1317,753,345.0,184,187,124,457,456,3271,322.0,1,1,7,4,18,18,18,14,18,18,7,18,17,20,17,17,17,18,4,18,17,4,4,17,18,18
