TEAM_ABBREVIATION,TEAM_NAME,VS_PLAYER_NAME,COURT_STATUS,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK
BKN,Brooklyn Nets,"Bates-Diop, Keita",Off,31,12,19,0.387,1430.41,1149,2544,0.452,373,1041,0.358,447,601,0.744,314,958,1272,710,410.0,200,141,146,514,537,3118,-139.0,20,19,4,21,16,16,16,19,16,16,18,16,16,22,17,16,16,16,8,16,17,7,8,16,16,13
BKN,Brooklyn Nets,"Bridges, Mikal",Off,82,32,50,0.39,1106.76,940,2036,0.462,295,793,0.372,379,491,0.772,300,732,1032,569,331.0,168,103,120,446,425,2554,-52.0,1,1,11,8,19,19,19,4,19,19,2,19,20,3,19,19,19,19,6,18,20,5,5,19,19,5
BKN,Brooklyn Nets,"Brooks, Armoni",Off,36,16,20,0.444,1628.9766666666667,1418,3105,0.457,467,1267,0.369,550,729,0.754,434,1143,1577,881,433.0,219,190,165,637,635,3853,-82.0,18,18,5,1,15,15,15,8,15,15,5,15,15,13,15,15,15,15,9,15,14,9,9,15,15,10
BKN,Brooklyn Nets,"Claxton, Nic",Off,82,32,50,0.39,1845.3366666666666,1588,3480,0.456,535,1450,0.369,652,853,0.764,499,1246,1745,979,516.0,268,170,209,733,709,4363,41.0,1,1,11,8,14,13,13,10,13,14,3,13,13,6,13,14,14,14,10,14,15,11,11,13,13,1
BKN,Brooklyn Nets,"Clowney, Noah",Off,82,32,50,0.39,3591.141666666667,3042,6641,0.458,1007,2759,0.365,1155,1534,0.753,837,2434,3271,1938,959.0,501,378,351,1390,1340,8246,-183.0,1,1,11,8,4,3,3,7,3,3,7,4,4,16,4,3,3,3,20,4,4,20,21,4,3,16
BKN,Brooklyn Nets,"Dinwiddie, Spencer",Off,50,20,30,0.4,941.0766666666667,833,1782,0.467,230,685,0.336,312,406,0.768,259,629,888,540,285.0,165,91,110,405,350,2208,-35.0,16,15,7,2,21,21,21,1,21,21,22,21,21,4,20,21,21,20,3,19,21,3,4,21,21,3
BKN,Brooklyn Nets,"Finney-Smith, Dorian",Off,82,32,50,0.39,2026.4066666666668,1721,3746,0.459,513,1452,0.353,708,915,0.774,503,1367,1870,1096,588.0,287,227,224,810,798,4663,-130.0,1,1,11,8,12,12,12,6,14,13,20,12,12,2,12,12,12,12,12,12,12,12,12,12,12,12
BKN,Brooklyn Nets,"Giles III, Harry",Off,50,20,30,0.4,2333.75,2019,4393,0.46,681,1847,0.369,778,1024,0.76,558,1608,2166,1289,604.0,334,267,231,920,882,5497,-54.0,16,15,7,2,11,10,10,5,10,10,4,10,10,9,10,11,10,10,13,11,10,13,13,11,10,6
BKN,Brooklyn Nets,"Gilyard, Jacob",Off,23,9,14,0.391,1069.3566666666666,855,1881,0.455,268,748,0.358,369,492,0.75,246,714,960,515,314.0,141,116,116,364,421,2347,-80.0,22,22,2,7,20,20,20,15,20,20,19,20,19,19,21,20,20,21,5,21,19,4,3,20,20,9
BKN,Brooklyn Nets,"Johnson, Cameron",Off,82,32,50,0.39,2361.9616666666666,1988,4305,0.462,630,1732,0.364,767,1017,0.754,543,1610,2153,1234,669.0,337,247,243,925,891,5373,-160.0,1,1,11,8,10,11,11,3,11,11,8,11,11,14,11,10,11,11,14,10,11,14,14,10,11,14
BKN,Brooklyn Nets,"Johnson, Keon",Off,79,31,48,0.392,3755.5983333333334,3148,6931,0.454,1033,2865,0.361,1208,1603,0.754,886,2537,3423,1981,1013.0,531,404,388,1433,1409,8537,-218.0,14,14,10,5,2,2,2,16,2,2,15,3,2,15,2,2,2,2,22,2,2,22,22,2,2,20
BKN,Brooklyn Nets,"Martin, Jaylen",Off,28,11,17,0.393,1354.0,1077,2405,0.448,342,982,0.348,433,578,0.749,307,906,1213,654,398.0,186,135,146,483,515,2929,-114.0,21,21,3,4,17,18,18,22,17,17,21,17,17,20,18,17,17,18,7,17,18,7,7,17,18,11
BKN,Brooklyn Nets,"O'Neale, Royce",Off,51,20,31,0.392,1260.775,1119,2411,0.464,334,925,0.361,405,530,0.764,315,861,1176,690,300.0,154,144,143,459,467,2977,-63.0,15,15,9,6,18,17,17,2,18,18,13,18,18,7,16,18,18,17,4,20,16,6,6,18,17,7
BKN,Brooklyn Nets,"Schroder, Dennis",Off,32,12,20,0.375,618.63,492,1096,0.449,134,405,0.331,205,268,0.765,139,400,539,285,180.0,93,57,71,236,237,1323,-79.0,19,19,5,22,22,22,22,21,22,22,23,22,22,5,22,22,22,22,2,22,22,2,2,22,22,8
BKN,Brooklyn Nets,"Sharpe, Day'Ron",Off,82,32,50,0.39,3040.425,2546,5593,0.455,864,2393,0.361,953,1251,0.762,654,2025,2679,1631,798.0,416,327,294,1128,1124,6909,-301.0,1,1,11,8,7,7,7,14,7,7,14,9,9,8,9,7,8,7,18,7,9,16,17,8,7,23
BKN,Brooklyn Nets,"Simmons, Ben",Off,82,32,50,0.39,3602.0833333333335,3010,6608,0.456,985,2722,0.362,1213,1602,0.757,856,2412,3268,1881,984.0,502,390,380,1388,1382,8218,-199.0,1,1,11,8,3,4,4,11,4,4,11,2,3,11,3,4,4,4,21,3,3,21,20,3,4,17
BKN,Brooklyn Nets,"Smith Jr., Dennis",Off,82,32,50,0.39,2902.3416666666667,2452,5386,0.455,814,2242,0.363,959,1277,0.751,689,1987,2676,1522,775.0,375,334,288,1062,1114,6677,-201.0,1,1,11,8,9,9,9,13,8,8,9,8,8,18,8,8,9,9,16,9,7,15,15,9,9,18
BKN,Brooklyn Nets,"Thomas, Cam",Off,82,32,50,0.39,1886.15,1539,3428,0.449,549,1526,0.36,604,818,0.738,467,1298,1765,988,524.0,274,201,194,726,698,4231,-36.0,1,1,11,8,13,14,14,20,12,12,16,14,14,23,14,13,13,13,11,13,13,10,10,14,14,4
BKN,Brooklyn Nets,"Walker IV, Lonnie",Off,82,32,50,0.39,2949.86,2470,5446,0.454,789,2198,0.359,963,1293,0.745,714,1984,2698,1586,774.0,393,328,311,1093,1136,6692,-242.0,1,1,11,8,8,8,8,18,9,9,17,7,7,21,6,9,7,8,15,8,8,18,16,7,8,22
BKN,Brooklyn Nets,"Watford, Trendon",Off,82,32,50,0.39,3104.48,2621,5773,0.454,902,2463,0.366,986,1302,0.757,709,2078,2787,1692,795.0,441,344,299,1175,1152,7130,-164.0,1,1,11,8,6,6,6,17,6,6,6,6,6,10,7,6,6,6,17,6,6,17,18,6,6,15
BKN,Brooklyn Nets,"Whitehead, Dariq",Off,82,32,50,0.39,3937.016666666667,3312,7257,0.456,1084,2992,0.362,1281,1697,0.755,931,2661,3592,2087,1069.0,552,422,402,1509,1488,8989,-215.0,1,1,11,8,1,1,1,9,1,1,10,1,1,12,1,1,1,1,23,1,1,23,23,1,1,19
BKN,Brooklyn Nets,"Wilson, Jalen",Off,82,32,50,0.39,3296.463333333333,2782,6108,0.455,919,2541,0.362,1062,1412,0.752,759,2244,3003,1762,877.0,475,358,335,1277,1228,7545,-233.0,1,1,11,8,5,5,5,12,5,5,12,5,5,17,5,5,5,5,19,5,5,19,19,5,5,21
BKN,Brooklyn Nets,"Young, Thaddeus",Off,1,0,1,0.0,48.0,37,93,0.398,10,25,0.4,11,14,0.786,12,22,34,22,12.0,9,3,13,17,18,95,-23.0,23,23,1,23,23,23,23,23,23,23,1,23,23,1,23,23,23,23,1,23,23,1,1,23,23,2
