TEAM_ABBREVIATION,TEAM_NAME,VS_PLAYER_NAME,COURT_STATUS,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK
CHA,Charlotte Hornets,"Bailey, Amari",Off,82,21,61,0.256,3881.366666666667,3227,7019,0.46,971,2739,0.355,1168,1485,0.787,752,2491,3243,2004,1109.0,551,364,392,1460,1413,8593,-845.0,1,1,17,8,1,1,1,13,1,1,17,1,1,16,1,1,1,1,27,1,1,27,27,1,1,27
CHA,Charlotte Hornets,"Ball, LaMelo",Off,82,21,61,0.256,3234.65,2652,5781,0.459,818,2283,0.358,916,1165,0.786,589,2069,2658,1660,929.0,442,312,327,1150,1132,7038,-701.0,1,1,17,8,4,6,5,14,4,4,8,7,7,17,8,5,5,5,24,8,4,24,21,7,6,23
CHA,Charlotte Hornets,"Bertans, Davis",Off,32,11,21,0.344,953.0366666666666,771,1642,0.47,233,656,0.355,285,353,0.807,149,639,788,487,282.0,139,82,78,296,322,2060,-157.0,19,12,5,1,20,21,22,3,20,20,13,22,22,3,22,20,21,21,7,20,22,6,6,22,21,6
CHA,Charlotte Hornets,"Black, Leaky",Off,82,21,61,0.256,3661.9183333333335,3050,6619,0.461,924,2597,0.356,1099,1397,0.787,709,2338,3047,1899,1051.0,526,332,372,1382,1336,8123,-813.0,1,1,17,8,2,2,2,12,2,2,10,2,2,15,2,2,2,2,26,2,2,26,26,2,2,25
CHA,Charlotte Hornets,"Bolden, Marques",Off,26,8,18,0.308,1129.6833333333334,906,1980,0.458,284,848,0.335,308,394,0.782,186,726,912,582,328.0,180,88,93,382,404,2404,-217.0,24,23,3,6,18,19,19,17,19,18,25,19,19,18,21,18,19,18,9,18,20,8,9,18,19,10
CHA,Charlotte Hornets,"Bouknight, James",Off,50,10,40,0.2,2329.1,1978,4315,0.458,570,1588,0.359,730,927,0.787,504,1480,1984,1208,654.0,320,236,251,935,855,5256,-574.0,12,17,12,22,10,10,10,16,11,11,7,10,10,14,10,10,10,10,18,10,10,18,18,10,10,18
CHA,Charlotte Hornets,"Bridges, Miles",Off,82,21,61,0.256,1364.8833333333334,1135,2456,0.462,312,920,0.339,436,573,0.761,290,877,1167,677,413.0,211,153,126,548,548,3018,-207.0,1,1,17,8,17,16,16,9,17,17,24,15,15,26,16,17,16,17,13,14,13,11,12,15,16,9
CHA,Charlotte Hornets,"Curry, Seth",Off,32,11,21,0.344,1377.4716666666666,1111,2393,0.464,347,1007,0.345,401,508,0.789,220,908,1128,710,405.0,208,116,113,452,499,2970,-230.0,19,12,5,1,16,17,17,6,16,16,23,17,17,10,19,16,17,16,11,15,17,9,11,17,17,11
CHA,Charlotte Hornets,"Hayward, Gordon",Off,50,10,40,0.2,1612.1166666666666,1324,2974,0.445,414,1172,0.353,503,636,0.791,331,1009,1340,793,433.0,208,152,178,647,581,3565,-452.0,12,17,12,22,13,13,13,26,13,13,19,13,13,8,13,13,13,14,14,15,14,15,15,13,13,17
CHA,Charlotte Hornets,"Lowry, Kyle",Off,11,1,10,0.091,528.0,438,962,0.455,138,368,0.375,159,212,0.75,86,351,437,270,136.0,69,48,59,203,182,1173,-156.0,27,27,1,27,27,27,27,20,27,27,3,27,27,27,27,27,27,27,1,27,27,2,2,27,27,5
