TEAM_ABBREVIATION,TEAM_NAME,VS_PLAYER_NAME,COURT_STATUS,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK
CHI,Chicago Bulls,"Ball, Lonzo",Off,82,39,43,0.476,3996.0,3448,7339,0.47,941,2630,0.358,1369,1731,0.791,916,2677,3593,2048,1004.0,638,394,404,1541,1538,9206,-118.0,1,1,6,3,1,1,1,10,1,1,12,1,1,9,1,1,1,1,20,1,1,20,20,1,1,14
CHI,Chicago Bulls,"Bitim, Onuralp",Off,82,39,43,0.476,3728.008333333333,3227,6848,0.471,882,2460,0.359,1274,1610,0.791,847,2498,3345,1902,930.0,598,375,376,1434,1431,8610,-73.0,1,1,6,3,3,3,3,8,3,3,10,3,3,7,3,3,3,3,18,3,3,18,18,3,3,9
CHI,Chicago Bulls,"Carter, Jevon",Off,82,39,43,0.476,2992.3983333333335,2583,5440,0.475,710,1955,0.363,1045,1296,0.806,664,2014,2678,1543,757.0,435,285,290,1143,1147,6921,-145.0,1,1,6,3,8,8,8,4,8,8,4,8,8,2,8,8,8,8,12,10,9,12,13,8,8,18
CHI,Chicago Bulls,"Caruso, Alex",Off,82,39,43,0.476,1955.6566666666668,1720,3675,0.468,465,1277,0.364,630,811,0.777,507,1309,1816,1014,478.0,287,182,205,809,735,4535,-122.0,1,1,6,3,13,13,13,15,13,13,3,14,14,17,12,13,13,13,8,14,13,8,8,13,13,15
CHI,Chicago Bulls,"Craig, Torrey",Off,82,39,43,0.476,2947.3983333333335,2561,5376,0.476,700,1929,0.363,1009,1276,0.791,653,1991,2644,1530,763.0,460,301,318,1115,1113,6831,63.0,1,1,6,3,9,9,9,2,9,9,5,9,9,10,9,9,9,9,13,8,8,13,12,9,9,1
CHI,Chicago Bulls,"DeRozan, DeMar",Off,82,39,43,0.476,1007.4316666666666,881,1886,0.467,237,689,0.344,283,374,0.757,262,694,956,533,290.0,176,101,114,407,356,2282,-56.0,1,1,6,3,19,19,19,16,18,18,19,19,19,19,19,19,19,19,2,19,18,2,2,19,19,8
CHI,Chicago Bulls,"Dosunmu, Ayo",Off,82,39,43,0.476,1783.5316666666668,1548,3263,0.474,430,1193,0.36,637,818,0.779,406,1182,1588,870,442.0,296,166,167,669,734,4163,40.0,1,1,6,3,14,14,14,6,14,14,9,13,13,16,14,14,14,14,7,13,14,7,7,14,14,3
CHI,Chicago Bulls,"Drell, Henri",Off,56,29,27,0.518,2698.0833333333335,2365,4922,0.48,615,1738,0.354,927,1161,0.798,586,1857,2443,1417,687.0,422,269,274,1006,1021,6272,-26.0,17,17,4,1,11,11,11,1,12,12,14,11,11,5,11,11,11,12,10,11,11,11,9,11,11,4
CHI,Chicago Bulls,"Drummond, Andre",Off,82,39,43,0.476,2644.7483333333334,2287,4843,0.472,664,1836,0.362,820,1009,0.813,501,1773,2274,1433,639.0,416,242,245,1020,909,6058,-144.0,1,1,6,3,12,12,12,7,10,11,7,12,12,1,13,12,12,11,9,12,12,9,10,12,12,17
CHI,Chicago Bulls,"Funk, Andrew",Off,26,13,13,0.5,1254.6,1099,2313,0.475,279,796,0.351,436,553,0.788,289,849,1138,673,306.0,207,100,127,459,481,2913,-42.0,18,18,2,2,17,16,17,3,17,17,15,16,16,11,17,16,16,15,4,18,19,4,4,17,16,7
