TEAM_ABBREVIATION,TEAM_NAME,VS_PLAYER_NAME,COURT_STATUS,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK
CLE,Cleveland Cavaliers,"Allen, Jarrett",Off,82,48,34,0.585,1518.9383333333333,1266,2729,0.464,446,1214,0.367,482,670,0.719,307,1052,1359,821,444.0,211,157,148,619,586,3460,-3.0,1,1,6,1,18,18,18,20,17,17,13,18,17,20,17,18,17,18,5,18,17,4,5,17,18,15
CLE,Cleveland Cavaliers,"Bates, Emoni",Off,82,48,34,0.585,3828.185,3327,6918,0.481,1072,2918,0.367,1258,1633,0.77,782,2670,3452,2231,1066.0,588,371,397,1391,1496,8984,282.0,1,1,6,1,3,3,3,8,3,3,14,3,3,7,3,3,3,3,19,3,3,19,19,3,3,2
CLE,Cleveland Cavaliers,"Cooper, Sharife",Off,6,3,3,0.5,298.0,239,536,0.446,107,265,0.404,73,103,0.709,54,208,262,183,79.0,39,33,42,94,96,658,-16.0,20,20,2,18,20,20,20,21,20,20,1,20,20,21,20,20,20,20,2,20,20,2,2,20,20,17
CLE,Cleveland Cavaliers,"Garland, Darius",Off,82,48,34,0.585,2060.5616666666665,1787,3781,0.473,593,1655,0.358,648,855,0.758,444,1466,1910,1167,552.0,301,206,196,736,793,4815,86.0,1,1,6,1,12,12,11,18,10,10,19,12,12,14,11,11,11,14,8,13,10,8,10,12,12,11
CLE,Cleveland Cavaliers,"Jerome, Ty",Off,82,48,34,0.585,3946.1833333333334,3412,7121,0.479,1105,3005,0.368,1275,1667,0.765,805,2735,3540,2292,1108.0,604,380,407,1426,1533,9204,212.0,1,1,6,1,1,1,1,11,1,1,12,1,1,12,1,1,1,1,21,1,1,21,21,1,1,5
CLE,Cleveland Cavaliers,"Jones, Damian",Off,82,48,34,0.585,3691.2683333333334,3227,6702,0.481,1050,2821,0.372,1217,1577,0.772,757,2565,3322,2173,1013.0,577,358,388,1347,1447,8721,289.0,1,1,6,1,4,4,4,7,4,4,6,4,4,6,4,4,4,4,18,4,4,18,18,4,4,1
CLE,Cleveland Cavaliers,"LeVert, Caris",Off,82,48,34,0.585,2002.9166666666667,1739,3603,0.483,545,1473,0.37,575,761,0.756,415,1421,1836,1175,578.0,308,175,219,683,745,4598,78.0,1,1,6,1,14,13,13,5,14,14,7,14,14,15,13,13,13,13,9,12,14,11,8,14,13,12
CLE,Cleveland Cavaliers,"Merrill, Sam",Off,82,48,34,0.585,2892.0816666666665,2542,5222,0.487,766,2074,0.369,963,1239,0.777,603,2000,2603,1697,820.0,467,289,308,1037,1123,6813,170.0,1,1,6,1,7,7,7,3,8,8,10,7,7,5,7,7,7,7,15,7,7,15,14,7,7,7
CLE,Cleveland Cavaliers,"Mitchell, Donovan",Off,82,48,34,0.585,2018.35,1679,3543,0.474,570,1521,0.375,609,828,0.736,393,1366,1759,1202,589.0,273,176,198,743,775,4537,-127.0,1,1,6,1,13,14,14,17,12,13,5,13,13,19,14,14,14,11,10,15,13,9,11,13,14,21
CLE,Cleveland Cavaliers,"Mobley, Evan",Off,82,48,34,0.585,2428.65,2076,4361,0.476,726,1963,0.37,788,1047,0.753,504,1653,2157,1382,674.0,363,220,248,885,975,5666,165.0,1,1,6,1,9,9,9,16,9,9,8,9,9,17,9,9,9,9,13,9,9,13,13,9,9,9
CLE,Cleveland Cavaliers,"Mobley, Isaiah",Off,82,48,34,0.585,3889.0783333333334,3372,7024,0.48,1086,2963,0.367,1271,1658,0.767,793,2697,3490,2267,1087.0,597,379,401,1419,1516,9101,228.0,1,1,6,1,2,2,2,10,2,2,15,2,2,10,2,2,2,2,20,2,2,20,20,2,2,3
CLE,Cleveland Cavaliers,"Morris Sr., Marcus",Off,15,6,9,0.4,539.845,472,953,0.495,147,383,0.384,164,207,0.792,95,338,433,346,157.0,87,40,53,160,190,1255,-22.0,19,19,3,20,19,19,19,2,19,19,2,19,19,1,19,19,19,19,3,19,19,3,3,19,19,18
CLE,Cleveland Cavaliers,"Nance, Pete",Off,33,15,18,0.455,1571.65,1317,2760,0.477,458,1194,0.384,493,654,0.754,269,1053,1322,954,438.0,229,148,154,523,584,3585,-30.0,18,18,5,19,17,17,17,12,16,18,3,17,18,16,18,17,18,16,4,16,18,5,4,18,17,19
CLE,Cleveland Cavaliers,"Niang, Georges",Off,82,48,34,0.585,2129.875,1838,3858,0.476,547,1544,0.354,703,915,0.768,475,1498,1973,1234,608.0,358,204,238,722,837,4926,167.0,1,1,6,1,10,10,10,14,13,12,20,11,10,9,10,10,10,10,12,10,11,12,9,10,10,8
CLE,Cleveland Cavaliers,"Okoro, Isaac",Off,82,48,34,0.585,2073.943333333333,1807,3751,0.482,577,1562,0.369,704,904,0.779,422,1431,1853,1184,606.0,323,191,212,751,805,4895,158.0,1,1,6,1,11,11,12,6,11,11,9,10,11,4,12,12,12,12,11,11,12,10,12,11,11,10
CLE,Cleveland Cavaliers,"Porter Jr., Craig",Off,82,48,34,0.585,3311.645,2864,6005,0.477,922,2543,0.363,1119,1456,0.769,681,2287,2968,1910,914.0,528,321,355,1208,1311,7769,223.0,1,1,6,1,6,6,6,13,6,6,18,5,5,8,5,6,6,6,16,6,6,16,17,5,6,4
CLE,Cleveland Cavaliers,"Rubio, Ricky",Off,35,20,15,0.571,1690.0,1481,3111,0.476,444,1255,0.354,554,723,0.766,392,1177,1569,933,492.0,274,160,187,680,678,3960,60.0,17,17,4,17,16,15,15,15,18,16,21,15,15,11,15,15,15,17,7,14,16,7,7,15,15,13
CLE,Cleveland Cavaliers,"Smith, Zhaire",Off,3,1,2,0.333,144.0,123,245,0.502,35,96,0.365,57,72,0.792,28,84,112,95,38.0,20,15,10,53,66,338,-6.0,21,21,1,21,21,21,21,1,21,21,17,21,21,2,21,21,21,21,1,21,21,1,1,21,21,16
CLE,Cleveland Cavaliers,"Strus, Max",Off,82,48,34,0.585,1721.825,1419,3021,0.47,506,1350,0.375,532,717,0.742,310,1167,1477,974,484.0,224,164,157,647,658,3876,-56.0,1,1,6,1,15,16,16,19,15,15,4,16,16,18,16,16,16,15,6,17,15,6,6,16,16,20
CLE,Cleveland Cavaliers,"Thompson, Tristan",Off,82,48,34,0.585,3412.0833333333335,2971,6183,0.481,936,2565,0.365,1092,1387,0.787,672,2353,3025,2004,946.0,537,341,365,1204,1291,7970,211.0,1,1,6,1,5,5,5,9,5,5,16,6,6,3,6,5,5,5,17,5,5,17,16,6,5,6
CLE,Cleveland Cavaliers,"Wade, Dean",Off,82,48,34,0.585,2852.92,2495,5150,0.484,790,2146,0.368,883,1155,0.765,561,1930,2491,1676,814.0,419,261,290,1047,1083,6663,21.0,1,1,6,1,8,8,8,4,7,7,11,8,8,13,8,8,8,8,14,8,8,14,15,8,8,14
