TEAM_ABBREVIATION,TEAM_NAME,VS_PLAYER_NAME,COURT_STATUS,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK
DAL,Dallas Mavericks,"Brown III, Greg",Off,82,50,32,0.61,3901.2566666666667,3501,7278,0.481,1189,3222,0.369,1378,1814,0.76,784,2689,3473,2084,1010.0,559,399,326,1488,1649,9569,190.0,1,1,9,5,1,1,1,11,1,1,13,1,1,13,1,1,1,1,22,1,1,22,22,1,1,6
DAL,Dallas Mavericks,"Curry, Seth",Off,52,29,23,0.558,2039.115,1824,3816,0.478,650,1733,0.375,750,987,0.76,418,1334,1752,1075,509.0,259,173,162,803,891,5048,-73.0,15,16,6,20,14,14,14,15,14,14,5,14,14,12,14,14,14,14,8,16,16,9,9,14,14,20
DAL,Dallas Mavericks,"Dennis, Dexter",Off,31,18,13,0.581,1458.1333333333334,1308,2774,0.472,477,1293,0.369,532,705,0.755,317,960,1277,765,356.0,199,133,119,561,645,3625,53.0,19,21,4,19,17,17,17,18,17,17,14,17,17,17,17,17,17,17,5,17,17,5,6,17,17,15
DAL,Dallas Mavericks,"Doncic, Luka",Off,82,50,32,0.61,1316.96,1130,2468,0.458,366,1026,0.357,434,571,0.76,291,896,1187,713,371.0,178,124,133,532,539,3060,-138.0,1,1,9,5,18,19,18,22,19,18,21,19,19,11,18,18,18,18,6,19,19,6,5,19,19,22
DAL,Dallas Mavericks,"Exum, Dante",Off,82,50,32,0.61,2853.3783333333336,2506,5316,0.471,847,2358,0.359,1016,1343,0.757,607,1951,2558,1484,780.0,424,296,245,1086,1209,6875,-58.0,1,1,9,5,8,8,8,19,8,8,17,8,8,16,7,8,8,8,16,7,8,16,15,8,8,19
DAL,Dallas Mavericks,"Fudge, Alex",Off,21,16,5,0.762,987.25,885,1821,0.486,279,780,0.358,322,423,0.761,189,736,925,552,261.0,149,127,82,353,386,2371,157.0,22,22,1,1,20,20,20,6,20,20,19,20,20,10,20,20,20,20,3,20,18,3,3,20,20,10
DAL,Dallas Mavericks,"Gafford, Daniel",Off,30,21,9,0.7,822.43,727,1521,0.478,247,654,0.378,292,378,0.772,152,619,771,415,208.0,120,94,74,268,324,1993,84.0,20,19,2,2,21,21,21,16,21,21,4,21,21,2,21,21,21,21,2,21,21,2,2,21,21,13
DAL,Dallas Mavericks,"Green, Josh",Off,82,50,32,0.61,2436.28,2183,4570,0.478,728,2020,0.36,876,1156,0.758,512,1725,2237,1296,636.0,345,268,204,894,1023,5970,281.0,1,1,9,5,10,10,10,17,11,10,16,10,10,15,10,10,10,10,13,10,9,13,12,10,10,2
DAL,Dallas Mavericks,"Hardaway Jr., Tim",Off,82,50,32,0.61,1820.6716666666666,1666,3409,0.489,534,1427,0.374,572,785,0.729,402,1311,1713,988,489.0,270,215,157,674,701,4438,168.0,1,1,9,5,16,15,16,3,16,16,7,16,16,22,15,16,15,15,7,14,12,7,7,16,16,8
DAL,Dallas Mavericks,"Hardy, Jaden",Off,82,50,32,0.61,2951.786666666667,2699,5519,0.489,911,2462,0.37,1047,1375,0.761,573,2075,2648,1593,728.0,424,315,238,1096,1252,7356,307.0,1,1,9,5,7,7,7,2,6,7,11,6,7,9,8,7,7,7,15,7,7,15,16,7,7,1
DAL,Dallas Mavericks,"Holmes, Richaun",Off,52,29,23,0.558,2259.391666666667,2018,4205,0.48,744,1947,0.382,842,1099,0.766,449,1490,1939,1215,581.0,310,210,179,883,1005,5622,46.0,15,16,6,20,12,12,12,13,10,11,3,11,11,5,11,12,12,12,11,12,13,10,11,11,12,16
DAL,Dallas Mavericks,"Irving, Kyrie",Off,82,50,32,0.61,1911.3916666666667,1647,3498,0.471,557,1555,0.358,722,966,0.747,385,1317,1702,972,539.0,267,176,159,733,854,4573,-96.0,1,1,9,5,15,16,15,20,15,15,18,15,15,19,16,15,16,16,9,15,15,8,8,15,15,21
DAL,Dallas Mavericks,"Jones Jr., Derrick",Off,82,50,32,0.61,2158.1433333333334,1936,4034,0.48,692,1790,0.387,791,1049,0.754,436,1482,1918,1160,552.0,301,197,190,822,951,5355,126.0,1,1,9,5,13,13,13,12,13,13,2,13,13,18,13,13,13,13,10,13,14,11,10,13,13,12
DAL,Dallas Mavericks,"Kleber, Maxi",Off,82,50,32,0.61,3069.588333333333,2783,5804,0.479,908,2510,0.362,1031,1381,0.747,662,2093,2755,1668,796.0,452,327,260,1186,1259,7505,57.0,1,1,9,5,6,6,5,14,7,6,15,7,6,21,5,6,6,6,17,5,6,17,18,6,6,14
DAL,Dallas Mavericks,"Lawson, A.J.",Off,82,50,32,0.61,3630.1,3257,6747,0.483,1113,3002,0.371,1290,1691,0.763,706,2497,3203,1948,928.0,516,374,298,1389,1547,8917,163.0,1,1,9,5,3,4,3,10,4,3,9,3,3,8,3,3,3,3,20,4,4,20,20,3,4,9
DAL,Dallas Mavericks,"Lively II, Dereck",Off,82,50,32,0.61,2646.7183333333332,2320,4934,0.47,774,2184,0.354,964,1255,0.768,536,1808,2344,1371,712.0,387,257,221,1047,1145,6378,37.0,1,1,9,5,9,9,9,21,9,9,22,9,9,4,9,9,9,9,14,9,11,14,14,9,9,17
DAL,Dallas Mavericks,"Morris, Markieff",Off,82,50,32,0.61,3724.6116666666667,3361,6947,0.484,1140,3076,0.371,1324,1744,0.759,748,2570,3318,2002,955.0,534,393,312,1425,1573,9186,238.0,1,1,9,5,2,2,2,9,2,2,10,2,2,14,2,2,2,2,21,2,2,21,21,2,2,4
DAL,Dallas Mavericks,"Powell, Dwight",Off,82,50,32,0.61,3104.6966666666667,2806,5786,0.485,939,2544,0.369,1065,1425,0.747,613,2176,2789,1674,801.0,436,353,264,1164,1279,7616,178.0,1,1,9,5,5,5,6,8,5,5,12,5,5,20,6,5,5,5,18,6,5,18,17,5,5,7
DAL,Dallas Mavericks,"Prosper, Olivier-Maxence",Off,82,50,32,0.61,3604.7883333333334,3264,6709,0.487,1117,2985,0.374,1284,1676,0.766,698,2478,3176,1945,927.0,521,383,296,1386,1533,8929,267.0,1,1,9,5,4,3,4,5,3,4,8,4,4,6,4,4,4,4,19,3,3,19,19,4,3,3
DAL,Dallas Mavericks,"Washington, P.J.",Off,30,21,9,0.7,509.8933333333333,450,927,0.485,139,389,0.357,179,229,0.782,84,375,459,255,147.0,76,49,36,176,204,1218,13.0,20,19,2,2,22,22,22,7,22,22,20,22,22,1,22,22,22,22,1,22,22,1,1,22,22,18
DAL,Dallas Mavericks,"Williams, Brandon",Off,51,32,19,0.627,2340.13,2120,4306,0.492,693,1851,0.374,814,1064,0.765,442,1654,2096,1280,623.0,343,260,197,898,967,5747,194.0,18,15,5,4,11,11,11,1,12,12,6,12,12,7,12,11,11,11,12,11,10,12,13,12,11,5
DAL,Dallas Mavericks,"Williams, Grant",Off,52,29,23,0.558,1254.285,1151,2364,0.487,395,1008,0.392,495,642,0.771,270,848,1118,704,326.0,181,99,109,485,574,3192,128.0,15,16,6,20,19,18,19,4,18,19,1,18,18,3,19,19,19,19,4,18,20,4,4,18,18,11
