TEAM_ABBREVIATION,TEAM_NAME,VS_PLAYER_NAME,COURT_STATUS,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK
DEN,Denver Nuggets,"Braun, Christian",Off,82,57,25,0.695,2285.435,2173,4222,0.515,590,1516,0.389,748,955,0.783,481,1597,2078,1473,588.0,340,234,190,790,843,5684,444.0,1,1,1,1,12,12,12,1,12,12,1,12,12,1,12,12,12,12,7,12,13,5,6,12,12,5
DEN,Denver Nuggets,"Caldwell-Pope, Kentavious",Off,82,57,25,0.695,1539.2433333333333,1313,2852,0.46,356,1038,0.343,428,573,0.747,358,1075,1433,850,425.0,217,207,177,688,541,3410,-141.0,1,1,1,1,16,16,16,17,16,16,17,16,16,14,15,16,16,16,3,16,16,3,3,16,16,17
DEN,Denver Nuggets,"Cancar, Vlatko",Off,82,57,25,0.695,3941.0,3610,7279,0.496,958,2560,0.374,1240,1628,0.762,881,2762,3643,2415,1036.0,585,456,394,1489,1467,9418,431.0,1,1,1,1,1,1,1,13,1,1,12,1,1,13,1,1,1,1,18,1,1,18,18,1,1,9
DEN,Denver Nuggets,"Gillespie, Collin",Off,82,57,25,0.695,3715.635,3413,6864,0.497,901,2398,0.376,1166,1530,0.762,831,2601,3432,2285,984.0,547,441,375,1403,1390,8893,416.0,1,1,1,1,6,6,6,8,6,6,7,6,6,9,6,6,6,6,13,6,6,13,13,6,6,11
DEN,Denver Nuggets,"Gordon, Aaron",Off,82,57,25,0.695,1644.19,1454,3010,0.483,415,1090,0.381,470,641,0.733,339,1150,1489,985,451.0,239,223,182,728,588,3793,8.0,1,1,1,1,15,15,15,14,15,15,4,15,15,17,16,15,15,15,4,15,14,4,4,15,15,15
DEN,Denver Nuggets,"Holiday, Justin",Off,82,57,25,0.695,3078.9866666666667,2838,5693,0.499,742,1993,0.372,985,1288,0.765,701,2174,2875,1903,813.0,436,345,310,1114,1166,7403,376.0,1,1,1,1,10,10,10,7,10,10,15,10,10,6,10,10,10,10,9,10,10,9,9,10,10,12
DEN,Denver Nuggets,"Huff, Jay",Off,82,57,25,0.695,3891.675,3573,7196,0.497,944,2514,0.375,1225,1608,0.762,877,2729,3606,2387,1019.0,575,451,392,1464,1455,9315,440.0,1,1,1,1,3,2,2,10,3,2,8,3,3,10,3,2,2,2,15,4,3,16,17,3,2,7
DEN,Denver Nuggets,"Jackson, Reggie",Off,82,57,25,0.695,2124.18,2000,3938,0.508,519,1375,0.377,664,854,0.778,477,1484,1961,1338,525.0,326,251,215,729,784,5183,352.0,1,1,1,1,13,13,13,2,13,14,5,14,14,3,14,13,14,13,5,13,11,7,5,13,13,13
DEN,Denver Nuggets,"Jokic, Nikola",Off,82,57,25,0.695,1204.4666666666667,979,2191,0.447,276,808,0.342,331,469,0.706,281,807,1088,601,345.0,170,187,145,590,432,2565,-251.0,1,1,1,1,18,18,18,18,18,18,18,18,18,18,17,18,18,18,1,18,18,2,1,18,18,18
DEN,Denver Nuggets,"Jordan, DeAndre",Off,82,57,25,0.695,3545.2833333333333,3286,6553,0.501,865,2307,0.375,1136,1474,0.771,772,2491,3263,2214,916.0,543,406,344,1294,1334,8573,519.0,1,1,1,1,7,7,7,6,7,7,10,7,7,4,7,7,7,7,12,7,7,12,12,7,7,3
