TEAM_ABBREVIATION,TEAM_NAME,VS_PLAYER_NAME,COURT_STATUS,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK
DET,Detroit Pistons,"Arcidiacono, Ryan",Off,1,1,0,1.0,53.0,45,93,0.484,16,27,0.593,22,31,0.71,16,29,45,26,17.0,3,7,7,23,27,128,6.0,32,30,1,1,32,32,32,4,32,32,1,32,32,32,32,32,32,32,1,32,32,1,1,32,32,1
DET,Detroit Pistons,"Bagley III, Marvin",Off,39,3,36,0.077,1403.5966666666666,1204,2600,0.463,298,910,0.327,505,662,0.763,340,937,1277,761,469.0,182,154,183,675,561,3211,-371.0,17,27,15,31,18,18,17,18,18,18,28,16,16,27,17,18,19,17,16,17,16,17,18,16,18,20
DET,Detroit Pistons,"Boeheim, Buddy",Off,27,6,21,0.222,1211.9983333333332,960,2160,0.444,264,818,0.323,415,512,0.811,222,843,1065,584,377.0,191,110,147,446,392,2599,-261.0,25,20,8,5,20,21,21,28,21,20,30,20,21,2,23,21,21,21,12,14,20,12,12,21,21,17
DET,Detroit Pistons,"Bogdanovic, Bojan",Off,50,7,43,0.14,1489.0666666666666,1279,2741,0.467,347,967,0.359,552,697,0.792,351,1011,1362,820,490.0,189,171,188,680,588,3457,-212.0,12,12,18,25,14,15,14,14,13,13,12,14,14,10,13,14,14,14,19,15,12,20,19,13,14,12
DET,Detroit Pistons,"Brown Jr., Troy",Off,31,6,25,0.194,1071.2783333333334,867,1952,0.444,232,742,0.313,375,468,0.801,216,774,990,535,322.0,165,103,132,433,358,2341,-162.0,23,20,10,11,23,23,23,29,24,23,31,23,23,4,24,23,23,23,9,23,22,9,10,23,23,8
DET,Detroit Pistons,"Burks, Alec",Off,50,7,43,0.14,1509.4233333333334,1357,2788,0.487,318,918,0.346,500,640,0.781,343,1027,1370,871,496.0,185,146,185,703,558,3532,-277.0,12,12,18,25,13,13,13,2,16,17,18,17,17,20,16,13,13,13,20,16,17,19,20,17,13,18
DET,Detroit Pistons,"Cazalon, Malcolm",Off,54,8,46,0.148,2604.4166666666665,2277,4831,0.471,603,1677,0.36,927,1193,0.777,609,1751,2360,1429,835.0,325,262,331,1189,1012,6084,-498.0,10,10,23,22,4,4,4,10,4,5,11,4,4,25,4,5,5,4,29,6,5,29,29,4,4,28
DET,Detroit Pistons,"Cunningham, Cade",Off,82,14,68,0.171,1876.775,1535,3407,0.451,465,1330,0.35,693,872,0.795,368,1254,1622,962,567.0,255,177,214,743,699,4228,-397.0,1,1,24,12,11,11,11,24,11,11,14,11,11,6,12,11,11,11,22,11,11,22,22,11,11,21
DET,Detroit Pistons,"Duren, Jalen",Off,82,14,68,0.171,2173.5183333333334,1808,3949,0.458,508,1485,0.342,809,1008,0.803,450,1393,1843,1117,671.0,311,203,256,918,821,4933,-436.0,1,1,24,12,10,10,10,19,10,9,23,9,10,3,10,10,10,10,23,8,10,23,23,10,10,25
DET,Detroit Pistons,"Evbuomwan, Tosan",Off,30,6,24,0.2,1147.4133333333334,925,2091,0.442,267,811,0.329,385,482,0.799,225,810,1035,580,349.0,179,108,143,444,372,2502,-184.0,24,20,9,10,22,22,22,31,20,21,27,22,22,5,22,22,22,22,11,19,21,11,11,22,22,10
