TEAM_ABBREVIATION,TEAM_NAME,VS_PLAYER_NAME,COURT_STATUS,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK
GSW,Golden State Warriors,"Curry, Stephen",Off,82,46,36,0.561,1544.4616666666666,1357,2915,0.466,429,1190,0.361,457,615,0.743,420,1100,1520,902,425.0,236,154,173,630,553,3600,25.0,1,1,4,2,17,17,17,18,17,17,18,17,17,18,17,17,17,17,2,17,17,2,2,17,17,17
GSW,Golden State Warriors,"Garuba, Usman",Off,82,46,36,0.561,3948.2166666666667,3573,7485,0.477,1209,3179,0.38,1267,1627,0.779,990,2823,3813,2395,1167.0,570,373,402,1591,1462,9622,225.0,1,1,4,2,1,1,1,8,1,1,9,1,1,11,1,1,1,1,18,1,1,18,18,1,1,3
GSW,Golden State Warriors,"Green, Draymond",Off,82,46,36,0.561,2475.8166666666666,2192,4667,0.47,738,2000,0.369,824,1063,0.775,660,1715,2375,1441,718.0,349,226,251,1010,919,5946,43.0,1,1,4,2,10,11,10,15,11,10,14,10,10,13,10,11,11,11,8,10,11,8,9,11,11,16
GSW,Golden State Warriors,"Jackson-Davis, Trayce",Off,82,46,36,0.561,2835.548333333333,2551,5362,0.476,893,2327,0.384,949,1197,0.793,677,2033,2710,1722,838.0,401,239,286,1180,1084,6944,182.0,1,1,4,2,7,8,7,12,6,6,6,6,6,3,7,7,7,8,12,8,10,11,13,6,7,7
GSW,Golden State Warriors,"Joseph, Cory",Off,48,23,25,0.479,2038.1066666666666,1806,3825,0.472,614,1667,0.368,759,947,0.801,515,1432,1947,1192,607.0,277,168,190,858,831,4985,51.0,17,17,2,18,13,13,14,14,14,13,15,12,12,1,14,13,14,15,5,14,16,4,7,12,13,15
GSW,Golden State Warriors,"Kuminga, Jonathan",Off,82,46,36,0.561,2016.4866666666667,1796,3846,0.467,648,1706,0.38,647,821,0.788,563,1422,1985,1208,623.0,277,186,202,799,742,4887,89.0,1,1,4,2,14,14,13,17,12,12,11,15,15,4,12,14,13,14,6,14,14,6,4,15,14,14
GSW,Golden State Warriors,"Looney, Kevon",Off,82,46,36,0.561,2771.5716666666667,2542,5280,0.481,827,2206,0.375,887,1148,0.773,670,1975,2645,1698,814.0,422,283,303,1108,1014,6798,176.0,1,1,4,2,9,9,9,4,9,9,12,8,8,15,8,9,9,9,10,6,7,13,10,9,9,8
GSW,Golden State Warriors,"Moody, Moses",Off,82,46,36,0.561,2810.115,2568,5305,0.484,885,2286,0.387,881,1127,0.782,664,1999,2663,1746,832.0,395,271,268,1112,1033,6902,115.0,1,1,4,2,8,7,8,1,7,7,3,9,9,6,9,8,8,7,11,9,8,10,11,8,8,12
GSW,Golden State Warriors,"Paul, Chris",Off,82,46,36,0.561,2435.11,2228,4665,0.478,760,1959,0.388,814,1039,0.783,631,1761,2392,1478,747.0,333,246,267,952,931,6030,104.0,1,1,4,2,11,10,11,7,10,11,2,11,11,5,11,10,10,10,9,11,9,9,8,10,10,13
GSW,Golden State Warriors,"Payton II, Gary",Off,82,46,36,0.561,3286.1,2970,6233,0.476,998,2625,0.38,1038,1334,0.778,819,2362,3181,1988,966.0,429,303,336,1314,1210,7976,131.0,1,1,4,2,5,5,5,11,5,5,10,5,5,12,5,5,5,5,14,5,5,14,14,5,5,11
GSW,Golden State Warriors,"Podziemski, Brandin",Off,82,46,36,0.561,1997.7466666666667,1760,3752,0.469,618,1652,0.374,676,847,0.798,479,1398,1877,1213,637.0,290,189,196,838,744,4814,-50.0,1,1,4,2,15,15,15,16,13,14,13,14,14,2,15,15,15,13,7,13,13,5,6,14,15,18
GSW,Golden State Warriors,"Quinones, Lester",Off,82,46,36,0.561,3571.545,3241,6745,0.481,1105,2860,0.386,1149,1470,0.782,865,2540,3405,2180,1055.0,522,327,364,1438,1322,8736,197.0,1,1,4,2,3,3,3,5,3,3,5,3,3,7,3,3,3,3,16,3,3,16,16,3,3,5
GSW,Golden State Warriors,"Robinson, Jerome",Off,82,46,36,0.561,3885.2833333333333,3511,7359,0.477,1187,3118,0.381,1255,1610,0.78,968,2769,3737,2354,1147.0,562,361,400,1570,1446,9464,187.0,1,1,4,2,2,2,2,9,2,2,8,2,2,10,2,2,2,2,17,2,2,17,17,2,2,6
GSW,Golden State Warriors,"Santos, Gui",Off,74,40,34,0.541,3389.91,3071,6404,0.48,1049,2712,0.387,1073,1376,0.78,824,2424,3248,2063,1001.0,478,313,357,1356,1243,8264,152.0,16,16,3,17,4,4,4,6,4,4,4,4,4,9,4,4,4,4,15,4,4,15,15,4,4,9
GSW,Golden State Warriors,"Saric, Dario",Off,82,46,36,0.561,2868.2483333333334,2629,5455,0.482,883,2264,0.39,908,1164,0.78,713,2083,2796,1760,842.0,411,300,295,1148,1037,7049,235.0,1,1,4,2,6,6,6,3,8,8,1,7,7,8,6,6,6,6,13,7,6,12,12,7,6,2
GSW,Golden State Warriors,"Spencer, Pat",Off,29,19,10,0.655,1366.35,1251,2594,0.482,405,1063,0.381,350,460,0.761,332,1005,1337,849,407.0,214,154,146,499,431,3257,138.0,18,18,1,1,18,18,18,2,18,18,7,18,18,17,18,18,18,18,1,18,17,1,1,18,18,10
