TEAM_ABBREVIATION,TEAM_NAME,VS_PLAYER_NAME,COURT_STATUS,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK
HOU,Houston Rockets,"Adams, Steven",Off,35,19,16,0.543,1690.0,1477,3243,0.455,477,1348,0.354,613,804,0.762,443,1155,1598,857,449.0,290,167,220,694,657,4044,47.0,19,19,1,1,16,16,16,15,15,15,5,16,16,15,16,16,16,15,4,16,16,5,4,16,16,11
HOU,Houston Rockets,"Brooks, Dillon",Off,82,41,41,0.5,1744.2616666666668,1494,3324,0.449,460,1344,0.342,666,892,0.747,458,1265,1723,839,459.0,296,176,214,747,737,4114,113.0,1,1,3,2,15,15,15,18,16,16,18,15,15,18,15,15,15,16,5,15,15,4,5,15,15,5
HOU,Houston Rockets,"Bullock Jr., Reggie",Off,82,41,41,0.5,3553.5266666666666,3074,6688,0.46,934,2651,0.352,1340,1735,0.772,844,2488,3332,1845,919.0,572,335,431,1530,1461,8422,145.0,1,1,3,2,5,5,5,9,5,5,10,5,5,13,5,5,5,5,15,5,5,15,15,5,5,3
HOU,Houston Rockets,"Eason, Tari",Off,82,41,41,0.5,3490.895,3026,6564,0.461,921,2626,0.351,1264,1635,0.773,808,2428,3236,1812,914.0,555,318,423,1460,1387,8237,4.0,1,1,3,2,6,6,6,8,6,6,11,6,6,12,6,6,6,6,14,6,6,14,14,6,6,17
HOU,Houston Rockets,"Green, Jalen",Off,82,41,41,0.5,1369.6183333333333,1153,2569,0.449,347,997,0.348,523,689,0.759,382,977,1359,654,387.0,254,153,163,634,549,3176,61.0,1,1,3,2,18,18,18,19,18,18,16,18,18,17,18,18,18,18,2,18,18,1,2,18,18,10
HOU,Houston Rockets,"Green, Jeff",Off,82,41,41,0.5,2663.661666666667,2368,5081,0.466,702,1981,0.354,924,1205,0.767,639,1908,2547,1449,690.0,434,233,335,1120,1037,6362,169.0,1,1,3,2,11,10,10,2,11,11,4,12,12,14,10,10,10,10,9,10,11,10,9,12,11,2
HOU,Houston Rockets,"Hinton, Nate",Off,82,41,41,0.5,3896.4483333333333,3351,7309,0.458,1028,2910,0.353,1457,1880,0.775,915,2718,3633,1996,1024.0,629,363,473,1667,1582,9187,79.0,1,1,3,2,3,3,3,11,3,3,8,3,3,9,3,3,3,3,18,2,3,17,17,3,3,8
HOU,Houston Rockets,"Holiday, Aaron",Off,82,41,41,0.5,2701.7033333333334,2348,5069,0.463,699,2000,0.35,989,1269,0.779,625,1873,2498,1423,710.0,424,256,325,1121,1083,6384,7.0,1,1,3,2,10,11,11,3,12,10,13,10,10,5,11,11,11,11,10,11,10,9,10,10,10,16
HOU,Houston Rockets,"Landale, Jock",Off,82,41,41,0.5,3207.54,2745,5987,0.458,820,2349,0.349,1194,1540,0.775,704,2229,2933,1655,812.0,512,287,395,1386,1298,7504,-69.0,1,1,3,2,7,7,7,10,8,7,14,7,7,7,8,7,7,7,13,7,7,13,13,7,7,18
HOU,Houston Rockets,"Marjanovic, Boban",Off,82,41,41,0.5,3900.09,3357,7326,0.458,1035,2930,0.353,1465,1890,0.775,922,2730,3652,2002,1019.0,628,368,473,1683,1583,9214,112.0,1,1,3,2,2,2,2,14,1,1,9,2,2,8,2,2,2,2,17,3,1,17,19,2,2,6
HOU,Houston Rockets,"Oladipo, Victor",Off,47,22,25,0.468,2281.0,1948,4216,0.462,566,1616,0.35,869,1112,0.781,497,1632,2129,1178,596.0,349,208,262,1008,952,5331,45.0,18,18,2,19,13,13,13,5,13,13,12,13,13,4,13,13,13,13,7,13,14,7,7,13,13,13
HOU,Houston Rockets,"Samuels Jr., Jermaine",Off,82,41,41,0.5,3910.8683333333333,3366,7344,0.458,1035,2927,0.354,1466,1893,0.774,925,2743,3668,2004,1026.0,631,368,475,1675,1591,9233,105.0,1,1,3,2,1,1,1,12,1,2,7,1,1,11,1,1,1,1,19,1,1,19,18,1,1,7
HOU,Houston Rockets,"Sengun, Alperen",Off,82,41,41,0.5,1925.365,1642,3645,0.45,519,1502,0.346,746,952,0.784,496,1342,1838,918,532.0,324,209,234,880,786,4549,43.0,1,1,3,2,14,14,14,17,14,14,17,14,14,3,14,14,14,14,6,14,13,6,6,14,14,14
HOU,Houston Rockets,"Smith Jr., Jabari",Off,82,41,41,0.5,1547.155,1353,2895,0.467,419,1171,0.358,604,795,0.76,387,1111,1498,774,445.0,289,163,182,685,646,3729,176.0,1,1,3,2,17,17,17,1,17,17,3,17,17,16,17,17,17,17,3,17,17,3,3,17,17,1
HOU,Houston Rockets,"Tate, Jae'Sean",Off,82,41,41,0.5,2939.5433333333335,2566,5550,0.462,752,2158,0.348,1105,1426,0.775,706,2036,2742,1543,767.0,445,281,360,1237,1187,6989,14.0,1,1,3,2,9,9,9,4,9,9,15,9,9,10,7,9,9,9,11,9,8,11,11,9,9,15
HOU,Houston Rockets,"Thompson, Amen",Off,82,41,41,0.5,2582.4683333333332,2196,4753,0.462,703,1936,0.363,978,1238,0.79,538,1822,2360,1340,669.0,364,225,292,1101,1063,6073,47.0,1,1,3,2,12,12,12,6,10,12,1,11,11,1,12,12,12,12,8,12,12,8,8,11,12,11
HOU,Houston Rockets,"VanVleet, Fred",Off,82,41,41,0.5,1286.5733333333333,1115,2470,0.451,303,933,0.325,461,625,0.738,346,924,1270,613,364.0,216,126,180,557,500,2994,-91.0,1,1,3,2,19,19,19,16,19,19,19,19,19,19,19,19,19,19,1,19,19,2,1,19,19,19
HOU,Houston Rockets,"Whitmore, Cam",Off,82,41,41,0.5,3090.6666666666665,2648,5737,0.462,821,2276,0.361,1160,1472,0.788,689,2172,2861,1584,797.0,477,279,371,1297,1258,7277,120.0,1,1,3,2,8,8,8,7,7,8,2,8,8,2,9,8,8,8,12,8,9,12,12,8,8,4
HOU,Houston Rockets,"Williams, Nate",Off,82,41,41,0.5,3841.615,3298,7197,0.458,1018,2877,0.354,1442,1856,0.777,896,2678,3574,1969,1006.0,618,360,458,1644,1560,9056,69.0,1,1,3,2,4,4,4,13,4,4,6,4,4,6,4,4,4,4,16,4,4,16,16,4,4,9
