TEAM_ABBREVIATION,TEAM_NAME,VS_PLAYER_NAME,COURT_STATUS,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK
IND,Indiana Pacers,"Brown, Bruce",Off,40,23,17,0.575,939.4216666666666,891,1803,0.494,267,732,0.365,330,422,0.782,199,583,782,599,263.0,173,123,105,464,378,2379,6.0,18,18,5,4,20,20,20,22,19,19,21,19,19,15,19,20,20,20,5,19,19,5,5,19,20,20
IND,Indiana Pacers,"Brown, Kendall",Off,82,47,35,0.573,3878.491666666667,3810,7491,0.509,1075,2854,0.377,1302,1662,0.783,807,2539,3346,2492,1032.0,620,474,435,1731,1484,9997,274.0,1,1,10,6,3,3,3,6,2,3,10,2,2,12,2,3,3,3,21,2,2,22,21,2,3,2
IND,Indiana Pacers,"Haliburton, Tyrese",Off,82,47,35,0.573,1717.4616666666666,1660,3281,0.506,410,1096,0.374,516,674,0.766,386,1060,1446,1072,490.0,298,184,204,786,654,4246,-44.0,1,1,10,6,16,16,16,14,16,16,14,16,16,21,15,16,16,16,8,15,16,9,8,16,16,23
IND,Indiana Pacers,"Hield, Buddy",Off,53,29,24,0.547,1208.2616666666668,1147,2301,0.498,301,799,0.377,447,565,0.791,262,784,1046,754,337.0,208,141,161,569,493,3042,-18.0,16,16,8,22,17,18,17,21,17,18,9,17,17,5,17,18,18,17,7,17,18,7,7,17,17,21
IND,Indiana Pacers,"Jackson, Isaiah",Off,82,47,35,0.573,3170.095,3111,6126,0.508,911,2395,0.38,1062,1350,0.787,642,2106,2748,2043,814.0,487,371,356,1381,1193,8195,221.0,1,1,10,6,5,5,5,7,5,5,4,6,6,8,5,5,5,5,18,5,7,19,19,6,5,7
IND,Indiana Pacers,"Jackson, Quenton",Off,20,13,7,0.65,954.4666666666667,947,1843,0.514,246,673,0.366,309,391,0.79,196,657,853,606,224.0,141,122,90,417,357,2449,172.0,21,21,3,1,19,19,19,2,20,20,20,20,20,6,20,19,19,19,4,20,20,4,4,20,19,11
IND,Indiana Pacers,"Johnson, James",Off,58,33,25,0.569,2741.805,2663,5252,0.507,725,1950,0.372,883,1129,0.782,585,1833,2418,1759,734.0,426,329,292,1206,1022,6934,198.0,15,15,9,21,8,8,8,12,9,9,17,9,9,14,7,8,8,8,16,8,9,15,16,8,8,8
IND,Indiana Pacers,"Joseph, Cory",Off,1,0,1,0.0,48.0,39,81,0.481,12,31,0.387,19,27,0.704,7,23,30,31,14.0,11,6,7,17,22,109,-22.0,23,23,1,23,23,23,23,23,23,23,2,23,23,23,23,23,23,23,1,23,23,1,1,23,23,22
IND,Indiana Pacers,"Mathurin, Bennedict",Off,82,47,35,0.573,2402.61,2425,4675,0.519,697,1834,0.38,735,949,0.774,485,1602,2087,1615,607.0,379,314,236,1044,872,6282,342.0,1,1,10,6,10,10,10,1,10,10,5,11,11,19,11,10,10,10,14,10,10,12,14,11,10,1
IND,Indiana Pacers,"McConnell, T.J.",Off,82,47,35,0.573,2650.0233333333335,2564,5102,0.503,764,2063,0.37,910,1166,0.78,545,1779,2324,1701,712.0,406,340,292,1138,1003,6802,155.0,1,1,10,6,9,9,9,19,8,8,18,8,8,17,9,9,9,9,15,9,8,15,15,9,9,13
IND,Indiana Pacers,"McDermott, Doug",Off,29,18,11,0.621,1192.6683333333333,1148,2270,0.506,291,824,0.353,397,497,0.799,235,844,1079,736,287.0,183,154,116,495,440,2984,164.0,20,20,4,3,18,17,18,15,18,17,22,18,18,3,18,17,17,18,6,18,17,6,6,18,18,12
IND,Indiana Pacers,"Nembhard, Andrew",Off,82,47,35,0.573,2244.315,2248,4380,0.513,625,1658,0.377,816,1023,0.798,486,1446,1932,1458,602.0,357,265,257,1027,875,5937,185.0,1,1,10,6,11,11,11,3,11,11,8,10,10,4,10,12,11,11,13,11,11,14,13,10,11,9
IND,Indiana Pacers,"Nesmith, Aaron",Off,82,47,35,0.573,1946.345,1932,3823,0.505,525,1434,0.366,653,831,0.786,449,1236,1685,1240,528.0,322,224,204,876,742,5042,89.0,1,1,10,6,13,13,13,17,14,13,19,13,13,9,13,13,13,13,10,14,14,9,10,13,13,16
IND,Indiana Pacers,"Nwora, Jordan",Off,40,23,17,0.575,1737.4883333333332,1707,3350,0.51,532,1370,0.388,619,772,0.802,370,1106,1476,1120,503.0,283,227,203,815,677,4565,102.0,18,18,5,4,15,15,15,4,13,14,1,14,15,1,16,15,15,15,9,16,13,8,9,15,15,15
IND,Indiana Pacers,"Sheppard, Ben",Off,82,47,35,0.573,3126.74,3030,5968,0.508,871,2301,0.379,1078,1381,0.781,630,2058,2688,2000,865.0,480,387,349,1373,1203,8009,181.0,1,1,10,6,6,6,6,8,6,6,6,5,5,16,6,6,6,6,19,6,5,18,18,5,6,10
IND,Indiana Pacers,"Siakam, Pascal",Off,42,24,18,0.571,717.5266666666666,716,1412,0.507,181,520,0.348,183,235,0.779,167,455,622,456,205.0,129,92,80,322,243,1796,60.0,17,17,7,20,21,21,21,11,21,21,23,21,21,18,21,21,21,21,3,21,21,3,3,21,21,17
IND,Indiana Pacers,"Smith, Jalen",Off,82,47,35,0.573,2894.375,2815,5534,0.509,786,2113,0.372,1027,1302,0.789,569,1921,2490,1857,777.0,456,377,319,1281,1134,7443,263.0,1,1,10,6,7,7,7,5,7,7,16,7,7,7,8,7,7,7,17,7,6,17,17,7,7,3
IND,Indiana Pacers,"Theis, Daniel",Off,11,7,4,0.636,519.5666666666667,515,1026,0.502,167,434,0.385,175,219,0.799,108,348,456,333,139.0,80,63,64,226,193,1372,35.0,22,22,2,2,22,22,22,20,22,22,3,22,22,2,22,22,22,22,2,22,22,2,2,22,22,18
IND,Indiana Pacers,"Toppin, Obi",Off,82,47,35,0.573,2210.3983333333335,2115,4208,0.503,600,1587,0.378,728,945,0.77,449,1467,1916,1381,586.0,347,263,241,948,821,5558,109.0,1,1,10,6,12,12,12,18,12,12,7,12,12,20,13,11,12,12,12,12,12,13,12,12,12,14
IND,Indiana Pacers,"Tshiebwe, Oscar",Off,82,47,35,0.573,3899.0833333333335,3814,7513,0.508,1074,2866,0.375,1300,1658,0.784,807,2553,3360,2496,1043.0,619,474,434,1736,1483,10002,236.0,1,1,10,6,2,2,2,9,3,2,11,3,3,10,2,2,2,2,22,3,2,21,22,3,2,5
IND,Indiana Pacers,"Turner, Myles",Off,82,47,35,0.573,1864.5633333333333,1840,3639,0.506,494,1327,0.372,590,782,0.754,459,1133,1592,1179,542.0,343,211,221,897,715,4764,30.0,1,1,10,6,14,14,14,16,15,15,15,15,14,22,12,14,14,14,11,13,15,11,11,14,14,19
