TEAM_ABBREVIATION,TEAM_NAME,VS_PLAYER_NAME,COURT_STATUS,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK
LAC,LA Clippers,"Batum, Nicolas",Off,4,3,1,0.75,137.89166666666668,136,252,0.54,43,91,0.473,45,63,0.714,26,96,122,86,48.0,36,13,11,60,66,360,66.0,19,19,1,1,21,21,21,2,21,22,1,21,21,23,21,21,21,21,3,20,21,2,3,21,21,16
LAC,LA Clippers,"Boston Jr., Brandon",Off,82,51,31,0.622,3595.8283333333334,3190,6459,0.494,960,2461,0.39,1401,1690,0.829,724,2480,3204,1939,973.0,587,371,339,1393,1428,8741,380.0,1,1,11,8,4,4,4,7,4,4,5,4,4,8,4,4,4,4,20,4,4,20,20,4,4,1
LAC,LA Clippers,"Brown, Kobe",Off,82,51,31,0.622,3547.0016666666666,3143,6365,0.494,947,2436,0.389,1379,1666,0.828,704,2459,3163,1904,963.0,580,370,332,1352,1400,8612,361.0,1,1,11,8,5,5,5,8,5,5,8,5,5,10,6,5,5,5,19,5,5,19,19,5,5,2
LAC,LA Clippers,"Coffey, Amir",Off,82,51,31,0.622,2480.403333333333,2189,4443,0.493,652,1696,0.384,931,1140,0.817,504,1748,2252,1336,658.0,419,257,221,951,978,5961,361.0,1,1,11,8,10,10,10,10,10,11,10,11,11,16,11,10,10,10,12,10,11,10,14,10,10,2
LAC,LA Clippers,"Covington, Robert",Off,4,3,1,0.75,122.71333333333334,109,220,0.495,39,94,0.415,45,60,0.75,24,86,110,60,43.0,25,12,12,54,61,302,21.0,19,19,1,1,22,22,22,4,22,21,4,21,22,20,22,22,22,22,2,22,22,4,2,22,22,19
LAC,LA Clippers,"Diabate, Moussa",Off,82,51,31,0.622,3876.7616666666668,3418,6992,0.489,1022,2678,0.382,1470,1779,0.826,794,2665,3459,2064,1058.0,630,409,377,1492,1511,9328,271.0,1,1,11,8,3,3,2,16,3,2,14,3,3,11,3,2,3,3,21,2,2,22,21,3,3,8
LAC,LA Clippers,"George, Paul",Off,82,51,31,0.622,1439.2333333333333,1223,2655,0.461,341,1024,0.333,539,658,0.819,346,961,1307,708,415.0,220,148,155,578,529,3326,-192.0,1,1,11,8,17,17,17,22,17,17,22,17,17,15,17,17,17,17,7,17,17,7,7,17,17,23
LAC,LA Clippers,"Harden, James",Off,78,48,30,0.615,1279.3316666666667,1123,2389,0.47,307,840,0.365,417,522,0.799,299,896,1195,639,358.0,193,133,152,528,455,2970,-88.0,15,15,8,21,18,18,18,21,18,18,20,18,18,19,18,18,18,18,6,18,18,6,6,18,18,21
LAC,LA Clippers,"Hyland, Bones",Off,82,51,31,0.622,3400.79,3030,6140,0.493,901,2325,0.388,1334,1601,0.833,706,2338,3044,1849,905.0,556,361,323,1297,1334,8295,334.0,1,1,11,8,6,6,6,9,6,6,9,6,6,3,5,6,6,6,18,6,6,17,18,6,6,4
LAC,LA Clippers,"Jones, Kai",Off,1,0,1,0.0,48.0,41,104,0.394,8,37,0.216,15,17,0.882,16,35,51,23,12.0,13,8,8,14,13,105,-11.0,23,23,1,23,23,23,23,23,23,23,23,23,23,1,23,23,23,23,1,23,23,1,1,23,23,20
LAC,LA Clippers,"Leonard, Kawhi",Off,82,51,31,0.622,1610.96,1387,2926,0.474,435,1164,0.374,608,740,0.822,359,1080,1439,825,465.0,229,170,174,680,631,3817,-123.0,1,1,11,8,16,16,16,20,16,16,19,16,16,14,16,16,16,16,8,16,16,8,9,16,16,22
LAC,LA Clippers,"Mann, Terance",Off,82,51,31,0.622,2068.108333333333,1835,3780,0.485,565,1453,0.389,806,989,0.815,424,1399,1823,1105,569.0,363,243,227,838,864,5041,217.0,1,1,11,8,14,14,14,18,14,14,6,14,14,18,15,14,14,14,11,13,13,13,10,14,14,11
LAC,LA Clippers,"Martin, KJ",Off,4,3,1,0.75,160.63333333333333,156,288,0.542,51,112,0.455,57,76,0.75,29,111,140,93,54.0,36,19,11,75,77,420,70.0,19,19,1,1,20,20,20,1,20,20,2,20,20,20,20,20,20,20,4,20,20,2,4,20,20,15
