TEAM_ABBREVIATION,TEAM_NAME,VS_PLAYER_NAME,COURT_STATUS,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK
LAL,Los Angeles Lakers,"Castleton, Colin",Off,82,47,35,0.573,3911.92,3543,7078,0.501,964,2536,0.38,1526,1953,0.781,663,2829,3492,2319,1125.0,594,449,381,1260,1603,9576,93.0,1,1,7,5,1,1,1,10,1,1,9,1,1,12,1,1,1,1,21,1,1,21,21,1,1,8
LAL,Los Angeles Lakers,"Christie, Max",Off,82,47,35,0.573,3026.681666666667,2766,5514,0.502,741,1978,0.375,1164,1486,0.783,528,2134,2662,1811,860.0,478,342,294,958,1237,7437,66.0,1,1,7,5,8,8,8,8,8,8,13,9,9,9,7,9,9,8,15,8,8,14,14,7,8,10
LAL,Los Angeles Lakers,"Davis, Anthony",Off,82,47,35,0.573,1270.7566666666667,1102,2245,0.491,331,856,0.387,451,614,0.735,215,888,1103,702,397.0,189,114,127,456,495,2986,-102.0,1,1,7,5,18,19,18,16,17,18,4,18,18,21,18,18,18,19,4,18,19,4,5,18,18,19
LAL,Los Angeles Lakers,"Dinwiddie, Spencer",Off,28,19,9,0.679,680.515,631,1243,0.508,165,439,0.376,201,258,0.779,117,500,617,417,215.0,96,77,71,187,247,1628,-8.0,19,17,2,2,21,21,21,5,21,21,12,21,21,15,21,21,21,21,1,21,21,1,1,21,21,15
LAL,Los Angeles Lakers,"Fudge, Alex",Off,36,17,19,0.472,1723.5333333333333,1512,3118,0.485,383,1082,0.354,666,861,0.774,304,1252,1556,984,499.0,276,200,174,601,726,4073,-25.0,17,18,5,20,13,13,13,20,13,13,21,13,13,19,12,13,13,13,9,13,13,10,10,13,13,17
LAL,Los Angeles Lakers,"Giles III, Harry",Off,20,14,6,0.7,951.33,864,1697,0.509,262,656,0.399,408,506,0.806,170,728,898,565,292.0,125,105,84,277,396,2398,115.0,21,21,1,1,20,20,20,4,20,20,1,20,20,1,20,20,20,20,2,20,20,2,2,20,20,4
LAL,Los Angeles Lakers,"Hachimura, Rui",Off,82,47,35,0.573,2145.5066666666667,1895,3879,0.489,511,1400,0.365,863,1094,0.789,388,1528,1916,1219,648.0,336,250,207,742,888,5164,-74.0,1,1,7,5,10,11,10,17,11,11,17,10,10,5,10,10,10,11,12,10,10,12,12,10,11,18
LAL,Los Angeles Lakers,"Hayes, Jaxson",Off,82,47,35,0.573,3093.866666666667,2813,5628,0.5,733,1984,0.369,1262,1592,0.793,523,2233,2756,1844,855.0,479,383,305,964,1304,7621,156.0,1,1,7,5,7,7,7,12,9,7,15,6,6,2,8,6,6,7,14,7,6,15,15,6,7,2
LAL,Los Angeles Lakers,"Hodge, D'Moi",Off,36,17,19,0.472,1696.7566666666667,1490,3071,0.485,379,1063,0.357,658,849,0.775,299,1237,1536,968,493.0,272,196,173,594,716,4017,-10.0,17,18,5,20,14,14,14,19,14,14,20,14,14,17,13,14,14,14,8,14,14,9,9,14,14,16
LAL,Los Angeles Lakers,"Hood-Schifino, Jalen",Off,82,47,35,0.573,3862.016666666667,3508,6997,0.501,951,2503,0.38,1503,1920,0.783,655,2778,3433,2294,1104.0,594,442,378,1239,1575,9470,103.0,1,1,7,5,3,3,3,9,3,3,10,3,3,10,3,3,3,3,20,1,3,19,19,3,3,5
