TEAM_ABBREVIATION,TEAM_NAME,VS_PLAYER_NAME,COURT_STATUS,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK
MEM,Memphis Grizzlies,"Adams, Steven",Off,48,18,30,0.375,2314.0,1861,4243,0.439,648,1878,0.345,784,1016,0.772,483,1545,2028,1194,700.0,374,302,315,957,922,5154,-247.0,17,15,18,4,13,13,13,12,12,12,21,13,13,12,13,13,13,12,23,13,11,23,25,12,12,21
MEM,Memphis Grizzlies,"Aldama, Santi",Off,82,27,55,0.329,2337.943333333333,1867,4283,0.436,616,1756,0.351,802,1048,0.765,543,1563,2106,1174,755.0,416,285,326,945,916,5152,-299.0,1,1,23,10,12,12,12,16,13,13,12,12,12,18,12,12,12,13,24,12,13,25,23,13,13,23
MEM,Memphis Grizzlies,"Allen, Timmy",Off,5,0,5,0.0,114.54833333333333,103,219,0.47,31,81,0.383,38,48,0.792,30,67,97,58,33.0,31,9,18,44,37,275,0.0,30,32,5,32,35,35,35,1,35,35,3,33,34,5,34,35,35,35,1,31,35,2,1,34,35,1
MEM,Memphis Grizzlies,"Bane, Desmond",Off,82,27,55,0.329,2513.1516666666666,1939,4522,0.429,663,1909,0.347,849,1115,0.761,572,1621,2193,1277,790.0,444,324,320,953,971,5390,-373.0,1,1,23,10,11,11,11,30,10,11,16,10,10,23,11,11,11,10,26,9,10,24,24,10,11,26
MEM,Memphis Grizzlies,"Biyombo, Bismack",Off,32,14,18,0.438,827.9116666666666,642,1514,0.424,219,694,0.316,320,395,0.81,163,540,703,402,244.0,140,108,117,352,376,1823,-68.0,20,18,12,2,24,24,23,33,24,23,34,24,24,2,24,24,24,24,12,24,24,12,13,23,24,8
MEM,Memphis Grizzlies,"Clarke, Brandon",Off,82,27,55,0.329,3821.681666666667,3031,6953,0.436,1045,3011,0.347,1283,1677,0.765,849,2510,3359,1944,1198.0,642,483,505,1513,1494,8390,-566.0,1,1,23,10,1,1,1,15,1,1,18,1,1,19,1,1,1,1,35,1,1,35,35,1,1,34
MEM,Memphis Grizzlies,"Evbuomwan, Tosan",Off,5,0,5,0.0,166.00833333333333,132,305,0.433,50,138,0.362,47,63,0.746,30,102,132,91,56.0,26,22,22,67,57,361,-57.0,30,32,5,32,31,31,31,22,31,31,7,32,32,32,34,31,31,32,5,34,32,5,5,32,31,7
MEM,Memphis Grizzlies,"Gabriel, Wenyen",Off,5,1,4,0.2,158.98333333333332,127,273,0.465,47,122,0.385,57,73,0.781,38,94,132,92,50.0,29,24,18,60,58,358,-28.0,30,31,3,30,32,32,32,3,32,32,2,31,31,8,32,32,31,31,3,33,31,2,4,31,32,4
MEM,Memphis Grizzlies,"Gilyard, Jacob",Off,57,20,37,0.351,2092.2383333333332,1712,3834,0.447,563,1648,0.342,691,914,0.756,434,1432,1866,1081,646.0,346,281,257,855,853,4678,-182.0,14,14,22,6,14,14,14,6,14,14,27,14,14,27,15,14,14,14,22,14,14,22,22,14,14,16
MEM,Memphis Grizzlies,"Goodwin, Jordan",Off,28,9,19,0.321,856.7566666666667,651,1513,0.43,220,640,0.344,332,428,0.776,205,571,776,421,289.0,148,109,120,314,361,1854,-160.0,23,20,13,23,23,23,24,27,23,24,22,23,23,10,23,23,23,23,13,23,23,13,12,24,23,14
MEM,Memphis Grizzlies,"Harrison, Shaquille",Off,5,2,3,0.4,234.03333333333333,194,421,0.461,52,172,0.302,62,80,0.775,50,159,209,111,76.0,35,35,28,106,86,502,-11.0,30,28,1,3,30,30,30,4,30,29,35,30,30,11,29,30,30,30,6,30,28,6,8,30,30,2
MEM,Memphis Grizzlies,"Hurt, Matt",Off,11,2,9,0.182,419.76166666666666,310,737,0.421,113,311,0.363,137,174,0.787,86,276,362,210,145.0,62,57,62,153,152,870,-135.0,25,28,11,31,25,25,25,35,25,25,6,25,25,6,25,25,25,25,11,25,25,11,11,25,25,13
MEM,Memphis Grizzlies,"Jackson Jr., Jaren",Off,82,27,55,0.329,1831.82,1468,3380,0.434,487,1403,0.347,543,726,0.748,475,1202,1677,955,610.0,313,215,230,713,665,3966,-234.0,1,1,23,10,15,15,15,19,16,16,17,16,16,31,14,15,15,15,21,15,16,20,20,16,15,20
MEM,Memphis Grizzlies,"Jackson, GG",Off,82,27,55,0.329,2722.835,2188,5017,0.436,750,2172,0.345,878,1144,0.767,604,1789,2393,1406,821.0,443,351,379,1108,1077,6004,-380.0,1,1,23,10,9,9,9,14,8,8,20,9,9,13,9,9,9,9,27,10,8,28,27,9,9,27
