TEAM_ABBREVIATION,TEAM_NAME,VS_PLAYER_NAME,COURT_STATUS,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK
MIA,Miami Heat,"Adebayo, Bam",Off,82,46,36,0.561,1534.5266666666666,1292,2751,0.47,439,1167,0.376,602,723,0.833,323,1044,1367,862,422.0,212,103,170,584,613,3625,94.0,1,1,8,5,16,16,16,3,16,16,5,16,16,1,16,16,16,16,6,17,17,7,6,16,16,11
MIA,Miami Heat,"Bryant, Thomas",Off,82,46,36,0.561,3509.635,2890,6228,0.464,894,2452,0.365,1337,1642,0.814,678,2398,3076,1869,913.0,552,241,343,1263,1406,8011,133.0,1,1,8,5,4,4,4,15,4,4,15,4,4,15,4,4,4,4,18,4,4,18,18,4,4,7
MIA,Miami Heat,"Butler, Jimmy",Off,82,46,36,0.561,1908.9416666666666,1561,3439,0.454,483,1350,0.358,637,799,0.797,377,1310,1687,1014,525.0,284,129,195,676,736,4242,-71.0,1,1,8,5,14,14,14,21,15,14,21,15,14,20,14,14,14,14,8,15,14,9,8,14,14,21
MIA,Miami Heat,"Cain, Jamal",Off,82,46,36,0.561,3691.9083333333333,3055,6560,0.466,963,2586,0.372,1390,1691,0.822,702,2535,3237,1989,954.0,577,265,366,1314,1446,8463,171.0,1,1,8,5,2,2,2,11,2,2,8,2,2,8,2,2,2,2,20,3,2,20,20,2,2,3
MIA,Miami Heat,"Hampton, R.J.",Off,52,28,24,0.538,2424.9783333333335,1989,4309,0.462,621,1666,0.373,958,1160,0.826,485,1627,2112,1305,660.0,375,161,245,925,983,5557,-37.0,16,16,6,20,11,11,11,18,11,11,7,11,11,4,10,11,11,11,12,11,12,11,11,11,11,20
MIA,Miami Heat,"Herro, Tyler",Off,82,46,36,0.561,2543.895,2078,4477,0.464,637,1772,0.359,1001,1216,0.823,484,1723,2207,1331,660.0,404,180,249,934,1019,5794,113.0,1,1,8,5,10,10,10,14,10,10,18,9,9,6,11,10,10,10,12,9,9,12,12,10,10,9
MIA,Miami Heat,"Highsmith, Haywood",Off,82,46,36,0.561,2585.165,2167,4632,0.468,684,1802,0.38,964,1189,0.811,502,1770,2272,1405,649.0,397,176,268,944,1030,5982,137.0,1,1,8,5,9,9,9,5,9,9,1,10,10,17,9,9,9,9,11,10,10,13,13,9,9,5
MIA,Miami Heat,"Jaquez Jr., Jaime",Off,82,46,36,0.561,1837.805,1500,3244,0.462,491,1300,0.378,655,796,0.823,343,1228,1571,959,494.0,299,125,169,634,685,4146,36.0,1,1,8,5,15,15,15,17,14,15,4,14,15,7,15,15,15,15,7,14,15,6,7,15,15,16
MIA,Miami Heat,"Jovic, Nikola",Off,82,46,36,0.561,3054.7633333333333,2498,5423,0.461,757,2102,0.36,1170,1426,0.82,617,2062,2679,1597,824.0,469,213,307,1118,1226,6923,-5.0,1,1,8,5,5,6,5,20,6,5,17,5,5,9,5,5,5,6,17,6,7,17,17,5,5,18
MIA,Miami Heat,"Love, Kevin",Off,82,46,36,0.561,3026.7366666666667,2499,5350,0.467,767,2050,0.374,1073,1316,0.815,564,2061,2625,1598,811.0,491,233,281,1070,1156,6838,35.0,1,1,8,5,6,5,6,7,5,6,6,7,7,13,7,6,6,5,16,5,5,14,16,6,6,17
