TEAM_ABBREVIATION,TEAM_NAME,VS_PLAYER_NAME,COURT_STATUS,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK
MIL,Milwaukee Bucks,"Antetokounmpo, Giannis",Off,82,49,33,0.598,1393.7566666666667,1187,2544,0.467,399,1087,0.367,451,528,0.854,261,969,1230,702,391.0,194,136,122,559,463,3224,-124.0,1,1,9,5,17,18,17,22,17,17,18,17,18,1,18,17,17,18,6,18,16,6,5,18,17,21
MIL,Milwaukee Bucks,"Antetokounmpo, Thanasis",Off,82,49,33,0.598,3805.568333333333,3413,7001,0.488,1117,2997,0.373,1485,1919,0.774,749,2748,3497,2093,995.0,527,399,333,1506,1539,9428,255.0,1,1,9,5,3,3,3,12,3,3,11,3,3,11,3,3,3,3,20,3,3,20,20,3,3,3
MIL,Milwaukee Bucks,"Beasley, Malik",Off,82,49,33,0.598,1623.6283333333333,1390,2878,0.483,446,1223,0.365,636,832,0.764,308,1082,1390,865,464.0,243,146,140,714,657,3862,-76.0,1,1,9,5,15,15,15,15,16,15,19,15,15,19,16,15,15,15,8,14,15,8,8,15,15,20
MIL,Milwaukee Bucks,"Beauchamp, MarJon",Off,82,49,33,0.598,3353.3116666666665,2992,6155,0.486,994,2684,0.37,1290,1668,0.773,663,2436,3099,1856,876.0,455,355,276,1291,1346,8268,227.0,1,1,9,5,5,6,6,14,5,4,15,6,6,13,4,6,5,5,17,6,6,17,18,6,6,7
MIL,Milwaukee Bucks,"Beverley, Patrick",Off,30,16,14,0.533,906.535,788,1681,0.469,277,767,0.361,300,380,0.789,184,690,874,498,243.0,124,83,83,319,316,2153,107.0,19,19,6,21,22,22,22,21,22,22,21,22,22,2,22,22,22,22,1,22,22,1,1,22,22,14
MIL,Milwaukee Bucks,"Bolden, Marques",Off,36,25,11,0.694,1735.0366666666666,1601,3208,0.499,505,1347,0.375,755,971,0.778,344,1247,1591,940,481.0,240,200,159,732,755,4462,164.0,17,17,1,1,13,14,13,2,14,13,8,13,13,9,13,13,13,14,11,15,13,9,11,13,14,13
MIL,Milwaukee Bucks,"Connaughton, Pat",Off,82,49,33,0.598,2284.72,2079,4213,0.493,685,1813,0.378,833,1071,0.778,452,1701,2153,1267,615.0,311,258,202,915,873,5676,229.0,1,1,9,5,10,10,10,6,10,10,4,10,10,8,10,10,10,10,13,10,9,13,13,10,10,5
MIL,Milwaukee Bucks,"Crowder, Jae",Off,82,49,33,0.598,2805.3016666666667,2558,5147,0.497,810,2160,0.375,1089,1394,0.781,561,2058,2619,1552,767.0,383,308,263,1137,1117,7015,284.0,1,1,9,5,7,7,7,5,7,7,7,7,7,7,7,7,7,7,16,7,7,16,16,7,7,2
MIL,Milwaukee Bucks,"Gallinari, Danilo",Off,26,14,12,0.538,1103.255,953,2003,0.476,337,905,0.372,377,482,0.782,223,809,1032,620,280.0,145,110,101,391,413,2620,85.0,20,20,3,19,20,20,20,18,20,20,14,20,20,6,20,20,20,20,2,20,20,3,3,20,20,16
MIL,Milwaukee Bucks,"Galloway, Jaylin",Off,21,9,12,0.429,1018.0,864,1833,0.471,290,801,0.362,327,415,0.788,200,719,919,551,282.0,132,98,99,366,362,2345,-55.0,22,22,3,22,21,21,21,20,21,21,20,21,21,3,21,21,21,21,3,21,21,2,2,21,21,18
