TEAM_ABBREVIATION,TEAM_NAME,VS_PLAYER_NAME,COURT_STATUS,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK
MIN,Minnesota Timberwolves,"Alexander-Walker, Nickeil",Off,82,56,26,0.683,2040.0816666666667,1744,3615,0.482,492,1319,0.373,755,977,0.773,423,1445,1868,1102,608.0,326,245,209,761,874,4735,217.0,1,1,6,3,10,10,10,13,14,12,18,9,9,13,8,11,10,12,10,11,12,12,9,9,11,14
MIN,Minnesota Timberwolves,"Anderson, Kyle",Off,82,56,26,0.683,2179.1183333333333,1928,3863,0.499,606,1525,0.397,727,950,0.765,419,1562,1981,1238,647.0,336,257,204,831,861,5189,362.0,1,1,6,3,8,8,8,1,8,8,3,12,12,17,9,8,8,8,13,10,9,11,12,11,8,9
MIN,Minnesota Timberwolves,"Brown Jr., Troy",Off,52,36,16,0.692,2101.21,1806,3666,0.493,546,1363,0.401,777,1006,0.772,391,1501,1892,1152,643.0,337,251,209,832,879,4935,328.0,16,16,4,1,9,9,9,4,10,10,2,8,8,14,12,9,9,9,12,9,11,12,13,8,9,11
MIN,Minnesota Timberwolves,"Clark, Jaylen",Off,82,56,26,0.683,3961.0,3383,6974,0.485,1037,2681,0.387,1461,1881,0.777,770,2807,3577,2184,1162.0,647,497,371,1544,1630,9264,529.0,1,1,6,3,1,1,1,10,1,1,11,1,1,9,1,1,1,1,20,1,1,20,20,1,1,2
MIN,Minnesota Timberwolves,"Conley, Mike",Off,82,56,26,0.683,1767.5416666666667,1540,3171,0.486,461,1211,0.381,654,849,0.77,337,1277,1614,969,484.0,311,229,168,718,673,4195,255.0,1,1,6,3,15,15,15,6,15,15,14,15,15,15,15,15,15,15,6,13,14,6,6,15,15,13
MIN,Minnesota Timberwolves,"Edwards, Anthony",Off,82,56,26,0.683,1190.6166666666666,982,2084,0.471,308,809,0.381,423,554,0.764,231,829,1060,682,349.0,196,133,122,479,519,2695,97.0,1,1,6,3,17,17,17,19,17,17,13,17,17,18,17,17,17,17,4,17,17,4,4,17,17,18
MIN,Minnesota Timberwolves,"Garza, Luka",Off,82,56,26,0.683,3839.16,3267,6721,0.486,1007,2581,0.39,1422,1829,0.777,730,2719,3449,2114,1127.0,625,491,361,1488,1586,8963,522.0,1,1,6,3,6,6,6,5,6,6,5,5,5,7,6,6,6,6,15,6,3,16,15,6,6,3
MIN,Minnesota Timberwolves,"Gobert, Rudy",Off,82,56,26,0.683,1367.8866666666668,1181,2506,0.471,365,995,0.367,521,650,0.802,243,915,1158,761,367.0,252,173,129,586,524,3248,118.0,1,1,6,3,16,16,16,18,16,16,20,16,16,1,16,16,16,16,5,16,16,5,5,16,16,16
MIN,Minnesota Timberwolves,"Jackson, Justin",Off,5,3,2,0.6,244.3,203,439,0.462,64,170,0.376,82,107,0.766,46,184,230,131,68.0,38,39,24,87,101,552,24.0,20,20,1,20,20,20,20,20,20,20,16,20,20,16,20,20,20,20,1,20,20,1,1,20,20,20
MIN,Minnesota Timberwolves,"McDaniels, Jaden",Off,82,56,26,0.683,1855.5466666666666,1579,3295,0.479,507,1303,0.389,726,923,0.787,361,1341,1702,1053,559.0,319,254,176,723,767,4391,373.0,1,1,6,3,14,14,14,15,12,14,7,13,13,3,14,14,14,13,8,12,10,7,7,14,14,8
