TEAM_ABBREVIATION,TEAM_NAME,VS_PLAYER_NAME,COURT_STATUS,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK
NOP,New Orleans Pelicans,"Alvarado, Jose",Off,82,49,33,0.598,2912.63,2583,5301,0.487,726,1916,0.379,1038,1346,0.771,619,2051,2670,1627,796.0,473,285,318,1099,1099,6930,122.0,1,1,7,3,6,6,6,11,6,6,15,6,6,9,6,6,6,6,16,7,6,16,16,6,6,17
NOP,New Orleans Pelicans,"Brockington, Izaiah",Off,3,3,0,1.0,140.61666666666667,126,246,0.512,48,103,0.466,46,55,0.836,26,120,146,90,37.0,24,21,17,46,44,346,59.0,21,20,1,1,21,21,21,1,21,21,1,21,21,1,21,21,21,21,1,21,21,1,1,21,21,19
NOP,New Orleans Pelicans,"Crutcher, Jalen",Off,6,3,3,0.5,285.35,256,537,0.477,81,207,0.391,87,117,0.744,67,207,274,152,85.0,42,33,37,106,109,680,43.0,19,20,3,21,19,19,19,17,19,19,3,19,20,20,19,19,19,19,3,19,19,3,3,20,19,20
NOP,New Orleans Pelicans,"Daniels, Dyson",Off,82,49,33,0.598,2582.475,2299,4710,0.488,668,1745,0.383,927,1206,0.769,536,1837,2373,1464,713.0,435,254,300,985,977,6193,291.0,1,1,7,3,10,10,10,9,10,10,13,10,10,13,10,10,10,10,12,10,10,15,12,10,10,7
NOP,New Orleans Pelicans,"Gates, Kaiser",Off,5,4,1,0.8,232.56666666666666,193,433,0.446,58,172,0.337,87,123,0.707,56,165,221,114,66.0,34,25,24,98,110,531,3.0,20,19,2,2,20,20,20,21,20,20,21,19,19,21,20,20,20,20,2,20,20,2,2,19,20,21
NOP,New Orleans Pelicans,"Hawkins, Jordan",Off,82,49,33,0.598,2780.42,2476,5002,0.495,701,1812,0.387,1005,1296,0.775,574,1984,2558,1558,750.0,495,282,289,1055,1057,6658,350.0,1,1,7,3,7,7,8,2,7,8,6,7,7,5,8,7,7,7,15,6,7,14,14,7,7,3
NOP,New Orleans Pelicans,"Hill, Malcolm",Off,32,19,13,0.594,1536.0,1350,2793,0.483,414,1073,0.386,508,648,0.784,312,1090,1402,847,399.0,262,137,164,537,545,3622,149.0,18,18,4,19,18,18,18,14,18,18,8,18,18,3,18,18,18,18,4,18,17,4,4,18,18,15
NOP,New Orleans Pelicans,"Ingram, Brandon",Off,82,49,33,0.598,1838.32,1582,3358,0.471,516,1335,0.387,710,917,0.774,408,1269,1677,995,479.0,348,165,203,691,730,4390,187.0,1,1,7,3,14,14,14,20,13,13,7,15,15,6,15,14,14,14,7,13,14,8,7,14,14,12
NOP,New Orleans Pelicans,"Jones, Herbert",Off,82,49,33,0.598,1619.5716666666667,1411,2988,0.472,450,1191,0.378,614,799,0.768,388,1118,1506,890,466.0,285,133,185,602,633,3886,131.0,1,1,7,3,17,17,17,19,17,17,18,17,17,14,16,17,17,17,5,17,18,6,5,17,17,16
NOP,New Orleans Pelicans,"Lewis Jr., Kira",Off,42,25,17,0.595,1877.44,1686,3416,0.494,486,1224,0.397,746,973,0.767,430,1287,1717,1065,521.0,330,189,206,763,756,4604,222.0,17,17,5,18,13,13,13,3,14,14,2,13,13,15,13,13,13,13,9,14,12,9,9,13,13,9
NOP,New Orleans Pelicans,"Liddell, E.J.",Off,82,49,33,0.598,3917.9166666666665,3468,7128,0.487,1020,2655,0.384,1428,1852,0.771,847,2739,3586,2204,1059.0,678,375,424,1504,1493,9384,366.0,1,1,7,3,1,1,1,12,1,1,11,1,1,10,1,1,1,1,21,1,1,21,21,1,1,2
NOP,New Orleans Pelicans,"Marshall, Naji",Off,82,49,33,0.598,2683.8766666666666,2390,4904,0.487,693,1829,0.379,931,1215,0.766,573,1869,2442,1515,737.0,452,272,275,1017,1005,6404,157.0,1,1,7,3,9,9,9,10,9,7,16,9,9,17,9,9,9,9,14,9,9,12,13,9,9,14
NOP,New Orleans Pelicans,"McCollum, CJ",Off,82,49,33,0.598,1782.4633333333334,1542,3216,0.479,455,1201,0.379,712,931,0.765,418,1246,1664,980,503.0,325,164,185,714,720,4251,167.0,1,1,7,3,15,15,15,16,16,16,17,14,14,18,14,15,15,15,8,15,15,6,8,15,15,13
NOP,New Orleans Pelicans,"Murphy III, Trey",Off,82,49,33,0.598,2250.735,2014,4106,0.491,536,1438,0.373,828,1080,0.767,508,1548,2056,1285,628.0,371,215,240,901,876,5392,97.0,1,1,7,3,11,11,11,6,12,12,20,11,11,16,11,11,11,11,11,12,11,11,11,11,11,18
NOP,New Orleans Pelicans,"Nance Jr., Larry",Off,82,49,33,0.598,2724.8616666666667,2468,5023,0.491,696,1805,0.386,983,1278,0.769,604,1936,2540,1542,723.0,454,276,288,1063,1048,6615,291.0,1,1,7,3,8,8,7,5,8,9,9,8,8,12,7,8,8,8,13,8,8,13,15,8,8,7
NOP,New Orleans Pelicans,"Robinson-Earl, Jeremiah",Off,77,45,32,0.584,3366.6866666666665,3012,6122,0.492,888,2277,0.39,1227,1574,0.78,701,2349,3050,1927,882.0,602,328,371,1273,1267,8139,383.0,16,16,6,20,5,5,5,4,5,5,5,5,5,4,5,5,5,5,17,5,5,17,17,5,5,1
NOP,New Orleans Pelicans,"Ryan, Matt",Off,82,49,33,0.598,3550.615,3152,6446,0.489,919,2388,0.385,1301,1681,0.774,761,2482,3243,2003,936.0,623,339,384,1347,1329,8524,349.0,1,1,7,3,4,4,4,7,4,4,10,4,4,8,3,4,4,4,18,3,4,18,18,4,4,4
NOP,New Orleans Pelicans,"Seabron, Dereon",Off,82,49,33,0.598,3885.9166666666665,3437,7073,0.486,1007,2644,0.381,1416,1840,0.77,842,2705,3547,2180,1044.0,678,372,419,1482,1478,9297,334.0,1,1,7,3,2,2,2,13,2,2,14,2,2,11,2,2,2,2,20,1,2,20,20,2,2,5
NOP,New Orleans Pelicans,"Valanciunas, Jonas",Off,82,49,33,0.598,2016.1683333333333,1727,3645,0.474,545,1462,0.373,793,1038,0.764,439,1351,1790,1094,550.0,384,176,222,778,779,4792,204.0,1,1,7,3,12,12,12,18,11,11,19,12,12,19,12,12,12,12,10,11,13,10,10,12,12,11
NOP,New Orleans Pelicans,"Williamson, Zion",Off,82,49,33,0.598,1734.0766666666666,1484,3090,0.48,470,1203,0.391,658,829,0.794,383,1215,1598,967,466.0,287,149,171,671,664,4096,219.0,1,1,7,3,16,16,16,15,15,15,4,16,16,2,17,16,16,16,5,16,16,5,6,16,16,10
NOP,New Orleans Pelicans,"Zeller, Cody",Off,82,49,33,0.598,3621.2933333333335,3197,6544,0.489,933,2433,0.383,1309,1691,0.774,754,2533,3287,2033,978.0,621,359,384,1370,1374,8636,316.0,1,1,7,3,3,3,3,8,3,3,12,3,3,7,4,3,3,3,19,4,3,18,19,3,3,6
