TEAM_ABBREVIATION,TEAM_NAME,VS_PLAYER_NAME,COURT_STATUS,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK
NYK,New York Knicks,"Achiuwa, Precious",Off,51,33,18,0.647,1271.1316666666667,1132,2350,0.482,382,1002,0.381,421,534,0.788,319,872,1191,690,343.0,204,106,131,463,474,3067,310.0,13,12,12,4,15,15,15,4,15,15,4,16,16,8,15,15,15,15,12,15,17,13,13,16,15,7
NYK,New York Knicks,"Anunoby, OG",Off,51,33,18,0.647,1656.19,1372,3039,0.451,456,1276,0.357,503,654,0.769,455,1044,1499,834,452.0,248,145,193,578,601,3703,-37.0,13,12,12,4,12,13,12,26,12,12,25,14,14,21,12,14,13,12,17,13,12,16,16,14,13,25
NYK,New York Knicks,"Arcidiacono, Ryan",Off,51,33,18,0.647,2402.845,2103,4477,0.47,655,1762,0.372,936,1191,0.786,638,1676,2314,1206,654.0,368,200,272,912,1010,5797,296.0,13,12,12,4,9,8,8,13,9,9,13,8,8,10,8,9,9,9,20,8,9,21,21,8,8,9
NYK,New York Knicks,"Barrett, RJ",Off,31,17,14,0.548,721.4916666666667,612,1337,0.458,197,536,0.368,305,403,0.757,200,505,705,348,195.0,103,47,76,255,334,1726,77.0,18,18,8,23,26,26,26,22,26,26,20,22,22,27,26,26,26,26,3,26,27,3,3,24,26,19
NYK,New York Knicks,"Bogdanovic, Bojan",Off,31,17,14,0.548,940.93,822,1736,0.474,268,707,0.379,284,370,0.768,260,602,862,511,245.0,166,88,96,317,346,2196,173.0,18,18,8,23,21,21,21,9,21,21,5,24,25,23,20,22,22,21,8,19,21,6,6,22,21,13
NYK,New York Knicks,"Brown Jr., Charlie",Off,82,50,32,0.61,3908.7166666666667,3356,7205,0.466,1073,2906,0.369,1388,1778,0.781,1029,2639,3668,1983,1073.0,611,331,430,1432,1554,9173,382.0,1,1,19,11,1,2,2,19,1,2,17,1,1,12,2,2,2,1,27,1,2,28,27,1,2,4
NYK,New York Knicks,"Brunson, Jalen",Off,82,50,32,0.61,1219.6966666666667,948,2171,0.437,325,934,0.348,355,457,0.777,299,830,1129,591,371.0,178,112,155,454,399,2576,-136.0,1,1,19,11,17,18,18,28,18,16,27,18,19,16,17,17,16,18,14,18,15,14,12,19,18,28
NYK,New York Knicks,"Burks, Alec",Off,31,17,14,0.548,1187.0316666666668,1027,2181,0.471,343,910,0.377,350,460,0.761,308,762,1070,645,313.0,196,108,120,407,432,2747,148.0,18,18,8,23,18,17,17,10,17,18,9,19,18,26,16,18,18,16,11,16,16,11,11,18,17,16
NYK,New York Knicks,"DiVincenzo, Donte",Off,82,50,32,0.61,1585.6066666666666,1317,2900,0.454,419,1130,0.371,572,749,0.764,415,1111,1526,737,434.0,229,128,200,591,640,3625,214.0,1,1,19,11,13,14,13,25,13,13,14,13,13,25,13,12,12,14,16,14,14,17,17,13,14,12
NYK,New York Knicks,"Diakite, Mamadi",Off,17,12,5,0.706,817.515,723,1500,0.482,229,596,0.384,264,342,0.772,201,516,717,437,210.0,139,67,83,295,308,1939,122.0,26,25,4,2,24,24,24,3,23,23,3,26,26,17,25,24,24,23,4,23,23,5,5,26,24,18
