TEAM_ABBREVIATION,TEAM_NAME,VS_PLAYER_NAME,COURT_STATUS,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK
OKC,Oklahoma City Thunder,"Bertans, Davis",Off,51,35,16,0.686,2376.891666666667,2188,4360,0.502,646,1649,0.392,889,1075,0.827,426,1604,2030,1342,621.0,405,331,260,952,939,5911,371.0,16,16,5,20,10,10,10,8,10,10,7,10,10,10,11,11,10,10,13,10,10,12,13,10,10,11
OKC,Oklahoma City Thunder,"Biyombo, Bismack",Off,30,22,8,0.733,1371.6266666666668,1278,2549,0.501,370,970,0.381,486,596,0.815,255,972,1227,770,363.0,257,184,136,502,526,3412,251.0,20,19,2,1,20,19,19,10,20,19,19,18,18,18,20,19,19,20,3,19,18,3,3,18,19,15
OKC,Oklahoma City Thunder,"Dieng, Ousmane",Off,82,57,25,0.695,3596.0466666666666,3347,6661,0.502,981,2499,0.393,1335,1620,0.824,652,2472,3124,2022,930.0,642,495,382,1428,1413,9010,607.0,1,1,9,5,4,4,4,5,4,4,5,4,4,12,4,4,4,4,19,4,4,19,19,4,4,3
OKC,Oklahoma City Thunder,"Dort, Luguentz",Off,82,57,25,0.695,1715.0283333333334,1526,3158,0.483,481,1255,0.383,606,737,0.822,323,1188,1511,957,479.0,321,228,188,646,642,4139,261.0,1,1,9,5,16,15,15,21,16,16,16,16,16,15,16,15,16,15,7,15,15,8,7,16,16,13
OKC,Oklahoma City Thunder,"Flagler, Adam",Off,29,21,8,0.724,1382.9833333333333,1282,2574,0.498,375,985,0.381,477,586,0.814,260,986,1246,771,372.0,263,184,140,507,518,3416,234.0,21,21,2,2,19,18,18,14,18,18,20,19,19,19,18,18,18,19,4,18,18,4,4,19,18,16
OKC,Oklahoma City Thunder,"Giddey, Josh",Off,82,57,25,0.695,1949.4416666666666,1720,3526,0.488,530,1419,0.374,734,893,0.822,349,1337,1686,990,512.0,364,243,192,782,773,4704,232.0,1,1,9,5,14,14,14,19,14,14,21,14,14,16,14,14,14,14,9,12,14,9,9,14,14,17
OKC,Oklahoma City Thunder,"Gilgeous-Alexander, Shai",Off,82,57,25,0.695,1408.3133333333333,1237,2508,0.493,372,962,0.387,410,528,0.777,259,948,1207,812,443.0,236,185,154,509,511,3256,-5.0,1,1,9,5,18,20,20,18,19,20,13,20,20,22,19,20,20,18,6,20,17,6,5,20,20,22
OKC,Oklahoma City Thunder,"Hayward, Gordon",Off,31,22,9,0.71,1045.6333333333334,983,1949,0.504,290,759,0.382,370,446,0.83,190,738,928,603,277.0,204,144,100,379,401,2626,214.0,19,19,4,3,21,21,21,3,21,21,18,21,22,7,22,21,21,21,2,21,21,1,2,21,21,19
OKC,Oklahoma City Thunder,"Holmgren, Chet",Off,82,57,25,0.695,1548.2033333333334,1367,2827,0.484,481,1208,0.398,547,668,0.819,291,1035,1326,840,430.0,295,165,149,623,581,3762,185.0,1,1,9,5,17,17,17,20,16,17,2,17,17,17,17,17,17,17,5,17,20,5,6,17,17,20
OKC,Oklahoma City Thunder,"Joe, Isaiah",Off,82,57,25,0.695,2516.133333333333,2362,4643,0.509,682,1687,0.404,775,966,0.802,443,1760,2203,1483,652.0,428,367,278,938,889,6181,256.0,1,1,9,5,9,9,9,1,9,9,1,13,13,21,9,8,9,8,14,9,7,14,12,12,9,14
