TEAM_ABBREVIATION,TEAM_NAME,VS_PLAYER_NAME,COURT_STATUS,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK
ORL,Orlando Magic,"Anthony, Cole",Off,82,47,35,0.573,2138.6883333333335,1805,3784,0.477,510,1424,0.358,777,1048,0.741,454,1452,1906,1112,667.0,370,218,203,831,910,4897,56.0,1,1,1,1,15,15,15,8,15,15,2,15,15,18,15,15,15,15,4,15,15,4,4,15,15,15
ORL,Orlando Magic,"Banchero, Paolo",Off,82,47,35,0.573,1157.2983333333334,979,1999,0.49,269,761,0.353,424,544,0.779,253,773,1026,615,374.0,188,126,107,495,484,2651,165.0,1,1,1,1,18,18,18,1,18,18,8,18,18,1,18,18,18,18,1,18,18,1,1,18,18,7
ORL,Orlando Magic,"Bitadze, Goga",Off,82,47,35,0.573,2998.9133333333334,2516,5234,0.481,692,1943,0.356,1152,1511,0.762,623,1955,2578,1570,908.0,517,289,281,1219,1295,6876,140.0,1,1,1,1,9,9,9,4,8,8,3,9,9,7,10,9,9,7,10,7,11,10,10,9,9,10
ORL,Orlando Magic,"Black, Anthony",Off,82,47,35,0.573,2791.79,2361,4937,0.478,646,1856,0.348,1074,1404,0.765,616,1831,2447,1437,799.0,475,270,259,1142,1221,6442,199.0,1,1,1,1,10,10,10,5,10,11,14,10,11,3,11,11,11,10,7,10,14,8,9,10,10,2
ORL,Orlando Magic,"Carter Jr., Wendell",Off,82,47,35,0.573,2549.6966666666667,2145,4520,0.475,567,1642,0.345,1029,1352,0.761,578,1682,2260,1292,785.0,423,310,257,1087,1125,5886,115.0,1,1,1,1,13,13,13,13,14,14,16,12,12,10,13,14,14,13,6,14,8,7,7,12,13,12
ORL,Orlando Magic,"Fultz, Markelle",Off,82,47,35,0.573,3046.0616666666665,2544,5339,0.476,707,2017,0.351,1212,1586,0.764,652,2004,2656,1544,926.0,493,353,292,1282,1343,7007,153.0,1,1,1,1,7,7,8,9,7,6,12,7,7,4,7,7,7,9,11,8,6,12,12,7,7,9
ORL,Orlando Magic,"Harris, Gary",Off,82,47,35,0.573,2658.653333333333,2220,4684,0.474,607,1709,0.355,985,1318,0.747,606,1756,2362,1354,838.0,446,287,250,1077,1121,6032,75.0,1,1,1,1,12,12,12,14,12,12,6,13,13,16,12,12,12,11,8,12,12,6,6,13,12,13
ORL,Orlando Magic,"Harris, Kevon",Off,82,47,35,0.573,3949.95,3311,6954,0.476,901,2564,0.351,1515,1998,0.758,861,2603,3464,2018,1205.0,669,423,379,1614,1708,9038,166.0,1,1,1,1,1,1,1,11,1,1,10,1,1,13,1,1,1,1,18,1,1,18,18,1,1,6
ORL,Orlando Magic,"Houstan, Caleb",Off,82,47,35,0.573,3140.665,2665,5530,0.482,689,1940,0.355,1244,1628,0.764,661,2051,2712,1634,968.0,564,337,316,1283,1396,7263,196.0,1,1,1,1,6,6,6,3,9,9,7,6,6,5,6,6,6,6,13,6,7,13,13,6,6,3
ORL,Orlando Magic,"Howard, Jett",Off,82,47,35,0.573,3889.483333333333,3271,6857,0.477,883,2504,0.353,1493,1965,0.76,850,2553,3403,1990,1178.0,661,417,374,1594,1683,8918,162.0,1,1,1,1,2,2,2,7,2,2,9,3,2,12,2,2,2,2,17,2,2,17,17,2,2,8
ORL,Orlando Magic,"Ingles, Joe",Off,82,47,35,0.573,2786.9683333333332,2285,4908,0.466,631,1857,0.34,1057,1420,0.744,637,1880,2517,1350,849.0,471,304,276,1125,1195,6258,1.0,1,1,1,1,11,11,11,18,11,10,17,11,10,17,9,10,10,12,9,11,9,9,8,11,11,16
ORL,Orlando Magic,"Isaac, Jonathan",Off,82,47,35,0.573,3041.39,2539,5361,0.474,712,2001,0.356,1155,1535,0.752,641,2001,2642,1550,935.0,492,294,281,1238,1315,6945,-16.0,1,1,1,1,8,8,7,15,6,7,4,8,8,14,8,8,8,8,12,9,10,10,11,8,8,17
ORL,Orlando Magic,"Okeke, Chuma",Off,82,47,35,0.573,3524.27,3015,6229,0.484,787,2215,0.355,1371,1790,0.766,755,2310,3065,1838,1070.0,609,378,345,1441,1550,8188,236.0,1,1,1,1,5,5,5,2,5,5,5,5,5,2,5,5,5,5,14,5,5,14,14,5,5,1
ORL,Orlando Magic,"Queen, Trevelin",Off,82,47,35,0.573,3791.2733333333335,3195,6707,0.476,850,2439,0.349,1459,1917,0.761,834,2501,3335,1938,1150.0,639,405,371,1546,1646,8699,175.0,1,1,1,1,4,4,4,10,4,4,13,4,4,11,4,4,4,4,15,4,4,15,15,4,4,5
ORL,Orlando Magic,"Schofield, Admiral",Off,82,47,35,0.573,3871.641666666667,3265,6836,0.478,873,2489,0.351,1495,1964,0.761,848,2551,3399,1987,1169.0,660,415,371,1591,1683,8898,179.0,1,1,1,1,3,3,3,6,3,3,11,2,3,9,3,3,3,3,16,3,3,15,16,2,3,4
ORL,Orlando Magic,"Suggs, Jalen",Off,82,47,35,0.573,1931.41,1588,3344,0.475,414,1225,0.338,759,996,0.762,415,1253,1668,969,566.0,314,214,189,791,823,4349,121.0,1,1,1,1,16,16,16,12,17,16,18,16,16,8,16,16,16,16,3,16,16,3,3,16,16,11
ORL,Orlando Magic,"Wagner, Franz",Off,82,47,35,0.573,1618.5833333333333,1321,2823,0.468,416,1115,0.373,606,794,0.763,356,1034,1390,842,519.0,270,176,137,669,646,3664,-38.0,1,1,1,1,17,17,17,17,16,17,1,17,17,6,17,17,17,17,2,17,17,2,2,17,17,18
ORL,Orlando Magic,"Wagner, Moritz",Off,82,47,35,0.573,2541.2633333333333,2109,4486,0.47,585,1683,0.348,940,1256,0.748,553,1714,2267,1259,772.0,436,283,239,1009,1086,5743,73.0,1,1,1,1,14,14,14,16,13,13,15,14,14,15,14,13,13,14,5,13,13,5,5,14,14,14
