TEAM_ABBREVIATION,TEAM_NAME,VS_PLAYER_NAME,COURT_STATUS,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK
PHI,Philadelphia 76ers,"Bamba, Mo",Off,82,47,35,0.573,3215.6483333333335,2812,5963,0.472,795,2163,0.368,1358,1627,0.835,728,2132,2860,1667,788.0,565,389,421,1350,1248,7777,297.0,1,1,22,12,4,4,4,12,4,4,12,3,4,11,4,4,4,4,27,4,4,27,27,4,4,3
PHI,Philadelphia 76ers,"Batum, Nicolas",Off,79,45,34,0.57,2336.5216666666665,1985,4369,0.454,569,1598,0.356,932,1145,0.814,551,1532,2083,1132,583.0,422,261,315,995,907,5471,39.0,10,10,19,21,9,9,8,25,9,9,22,10,8,20,8,9,9,9,22,8,10,23,23,9,9,14
PHI,Philadelphia 76ers,"Bazley, Darius",Off,4,1,3,0.25,182.21666666666667,141,350,0.403,49,140,0.35,43,50,0.86,36,117,153,80,45.0,31,19,32,87,54,374,-45.0,26,30,6,30,26,26,26,30,26,26,25,29,30,1,26,26,26,26,5,26,29,5,5,29,26,28
PHI,Philadelphia 76ers,"Beverley, Patrick",Off,50,30,20,0.6,1490.9533333333334,1369,2783,0.492,386,994,0.388,696,829,0.84,323,987,1310,828,367.0,276,187,189,621,606,3820,255.0,13,13,15,6,16,15,17,4,15,16,5,15,15,8,18,16,16,15,14,16,15,14,14,16,15,6
PHI,Philadelphia 76ers,"Council IV, Ricky",Off,82,47,35,0.573,3667.36,3151,6795,0.464,922,2542,0.363,1478,1765,0.837,839,2425,3264,1884,906.0,643,458,457,1564,1382,8702,238.0,1,1,22,12,2,2,2,15,2,2,17,2,2,10,2,2,2,2,29,2,2,29,29,2,2,7
PHI,Philadelphia 76ers,"Covington, Robert",Off,79,45,34,0.57,3392.8716666666664,2933,6333,0.463,854,2372,0.36,1346,1638,0.822,779,2223,3002,1758,822.0,581,419,429,1418,1294,8066,157.0,10,10,19,21,3,3,3,17,3,3,21,4,3,17,3,3,3,3,28,3,3,28,28,3,3,12
PHI,Philadelphia 76ers,"Dowtin Jr., Jeff",Off,23,13,10,0.565,971.9833333333333,789,1764,0.447,267,730,0.366,320,387,0.827,215,638,853,489,246.0,167,131,116,390,324,2165,31.0,23,23,9,24,20,20,20,26,20,20,13,20,20,15,20,20,20,20,11,20,20,10,11,20,20,19
PHI,Philadelphia 76ers,"Embiid, Joel",Off,82,47,35,0.573,2646.6283333333336,2259,4953,0.456,671,1862,0.36,914,1137,0.804,638,1672,2310,1300,662.0,467,341,356,1159,956,6103,-17.0,1,1,22,12,7,7,7,23,7,7,20,11,9,24,7,7,7,7,24,7,7,24,24,8,7,27
PHI,Philadelphia 76ers,"Green, Danny",Off,3,2,1,0.667,125.55,106,213,0.498,33,78,0.423,65,79,0.823,21,95,116,65,36.0,24,27,15,58,61,310,34.0,27,26,1,2,29,29,29,2,29,29,2,28,28,16,29,29,29,29,2,29,27,2,2,28,29,16
PHI,Philadelphia 76ers,"Harden, James",Off,3,2,1,0.667,144.0,124,248,0.5,37,91,0.407,72,89,0.809,24,108,132,78,42.0,26,28,18,66,68,357,34.0,27,26,1,2,27,27,27,1,27,27,3,25,25,23,27,27,27,27,4,27,26,3,3,26,27,16
PHI,Philadelphia 76ers,"Harris, Tobias",Off,82,47,35,0.573,1588.22,1340,2911,0.46,383,1101,0.348,624,783,0.797,367,1006,1373,817,421.0,296,180,195,708,623,3687,26.0,1,1,22,12,15,16,15,20,16,14,26,17,16,26,15,15,15,16,17,15,16,15,17,15,16,21
PHI,Philadelphia 76ers,"Hield, Buddy",Off,32,17,15,0.531,721.85,600,1293,0.464,202,531,0.38,253,320,0.791,149,475,624,372,184.0,123,89,88,299,273,1655,37.0,18,19,11,25,23,23,23,14,23,23,7,22,22,27,23,23,23,23,9,23,23,8,8,22,23,15
PHI,Philadelphia 76ers,"House Jr., Danuel",Off,50,30,20,0.6,1900.945,1699,3532,0.481,477,1282,0.372,864,1040,0.831,432,1258,1690,1016,469.0,333,252,233,796,771,4739,220.0,13,13,15,6,12,12,12,9,13,13,9,12,12,12,13,13,13,12,18,12,12,19,19,12,12,8
PHI,Philadelphia 76ers,"Jones, Kai",Off,5,3,2,0.6,240.0,195,447,0.436,65,188,0.346,69,88,0.784,55,151,206,133,56.0,48,40,35,92,79,524,12.0,25,24,5,6,25,25,25,29,25,25,27,27,26,29,25,25,25,25,6,24,25,7,6,25,25,24
PHI,Philadelphia 76ers,"Korkmaz, Furkan",Off,50,30,20,0.6,2110.0733333333333,1856,3929,0.472,496,1369,0.362,954,1133,0.842,481,1419,1900,1080,504.0,376,271,267,904,852,5162,195.0,13,13,15,6,10,10,10,11,10,10,18,8,10,7,10,10,10,10,21,10,9,21,21,10,10,11
PHI,Philadelphia 76ers,"Lofton Jr., Kenneth",Off,31,14,17,0.452,1484.1833333333334,1277,2790,0.458,340,989,0.344,573,716,0.8,333,933,1266,735,329.0,253,171,197,651,587,3467,-105.0,20,22,13,29,17,17,16,21,18,17,28,18,18,25,17,18,17,17,12,18,17,16,15,17,17,30
