TEAM_ABBREVIATION,TEAM_NAME,VS_PLAYER_NAME,COURT_STATUS,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK
PHX,Phoenix Suns,"Allen, Grayson",Off,82,49,33,0.598,1442.7,1206,2547,0.473,327,940,0.348,566,704,0.804,330,1015,1345,751,477.0,238,198,133,539,584,3305,-11.0,1,1,11,6,17,17,17,21,19,18,22,17,17,17,16,17,17,18,7,17,17,7,7,17,17,19
PHX,Phoenix Suns,"Azubuike, Udoka",Off,82,49,33,0.598,3843.1716666666666,3388,6868,0.493,1000,2605,0.384,1503,1845,0.815,803,2706,3509,2177,1187.0,598,472,354,1429,1564,9279,299.0,1,1,11,6,2,2,2,12,2,2,15,2,2,5,2,2,2,2,22,2,2,22,22,2,2,3
PHX,Phoenix Suns,"Bates-Diop, Keita",Off,52,31,21,0.596,1914.0,1748,3438,0.508,483,1255,0.385,768,945,0.813,383,1331,1714,1081,586.0,295,216,183,743,816,4747,201.0,14,14,7,19,13,13,13,2,13,13,12,14,14,8,12,13,12,13,10,13,14,11,12,12,13,8
PHX,Phoenix Suns,"Beal, Bradley",Off,82,49,33,0.598,2189.266666666667,1875,3892,0.482,548,1488,0.368,957,1175,0.814,481,1567,2048,1183,674.0,328,301,205,839,972,5255,144.0,1,1,11,6,8,9,8,18,8,8,19,8,8,6,8,8,8,9,16,8,8,15,16,8,8,12
PHX,Phoenix Suns,"Bol, Bol",Off,82,49,33,0.598,3486.971666666667,3075,6212,0.495,920,2374,0.388,1387,1716,0.808,712,2426,3138,1962,1073.0,550,422,330,1302,1434,8457,238.0,1,1,11,6,5,5,5,9,4,4,10,4,4,13,5,5,5,5,20,4,4,20,20,5,5,6
PHX,Phoenix Suns,"Booker, Devin",Off,82,49,33,0.598,1509.3433333333332,1260,2636,0.478,353,987,0.358,569,710,0.801,329,1058,1387,792,505.0,241,207,176,556,606,3442,-65.0,1,1,11,6,16,16,16,20,17,17,20,16,16,19,17,16,16,17,8,16,15,9,8,16,16,22
PHX,Phoenix Suns,"Durant, Kevin",Off,82,49,33,0.598,1165.3633333333332,955,2054,0.465,277,805,0.344,457,582,0.785,263,798,1061,587,347.0,172,163,111,467,475,2644,-40.0,1,1,11,6,20,20,20,23,21,20,23,19,19,23,20,20,20,21,4,20,19,5,5,19,20,20
PHX,Phoenix Suns,"Eubanks, Drew",Off,82,49,33,0.598,2787.295,2532,5015,0.505,757,1916,0.395,1087,1367,0.795,585,1997,2582,1638,843.0,440,327,263,1046,1129,6908,357.0,1,1,11,6,7,7,7,5,7,7,4,7,6,20,7,7,7,7,17,7,7,18,17,7,7,1
PHX,Phoenix Suns,"Goodwin, Jordan",Off,52,31,21,0.596,1952.4733333333334,1780,3467,0.513,520,1291,0.403,799,991,0.806,366,1333,1699,1114,593.0,299,224,191,752,828,4879,181.0,14,14,7,19,12,12,12,1,11,12,2,12,11,16,14,12,13,12,12,12,13,12,13,11,12,11
PHX,Phoenix Suns,"Gordon, Eric",Off,82,49,33,0.598,2063.37,1824,3737,0.488,524,1362,0.385,785,988,0.795,472,1454,1926,1166,624.0,311,238,204,740,813,4957,120.0,1,1,11,6,11,11,10,15,10,9,13,13,12,21,9,10,9,10,14,10,12,13,11,13,11,14
