TEAM_ABBREVIATION,TEAM_NAME,VS_PLAYER_NAME,COURT_STATUS,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK
POR,Portland Trail Blazers,"Ayton, Deandre",Off,82,21,61,0.256,2192.5016666666666,1752,4106,0.427,568,1665,0.341,779,1013,0.769,597,1310,1907,1016,680.0,347,201,301,993,859,4851,-422.0,1,1,8,5,15,15,14,22,11,11,13,12,12,20,13,16,15,16,8,14,14,11,11,12,14,11
POR,Portland Trail Blazers,"Badji, Ibou",Off,68,18,50,0.265,3068.181666666667,2531,5711,0.443,752,2127,0.354,1014,1273,0.797,812,1921,2733,1512,939.0,482,252,405,1263,1110,6828,-505.0,16,16,7,2,5,5,5,4,5,5,5,5,5,9,5,5,5,5,18,5,7,18,18,5,5,13
POR,Portland Trail Blazers,"Banton, Dalano",Off,32,6,26,0.188,675.2466666666667,555,1257,0.442,139,418,0.333,207,254,0.815,196,432,628,335,216.0,111,47,95,285,231,1456,-85.0,19,19,5,20,20,20,20,7,20,20,20,20,20,2,20,20,20,20,3,20,20,3,3,20,20,3
POR,Portland Trail Blazers,"Bouyea, Jamaree",Off,6,0,6,0.0,230.78333333333333,188,422,0.445,58,167,0.347,65,85,0.765,52,118,170,108,74.0,35,20,27,94,75,499,-82.0,22,22,2,22,22,22,22,2,22,22,8,22,22,22,22,22,22,22,1,22,22,1,1,22,22,2
POR,Portland Trail Blazers,"Brogdon, Malcolm",Off,82,21,61,0.256,2855.1833333333334,2297,5306,0.433,659,1981,0.333,893,1152,0.775,769,1749,2518,1362,917.0,455,239,388,1194,1036,6146,-659.0,1,1,8,5,7,7,7,19,7,7,19,9,8,18,7,7,7,7,16,6,9,17,16,7,7,19
POR,Portland Trail Blazers,"Brown, Moses",Off,82,21,61,0.256,3776.0216666666665,3071,6978,0.44,889,2582,0.344,1253,1567,0.8,970,2335,3305,1799,1184.0,601,337,494,1586,1381,8284,-681.0,1,1,8,5,2,2,2,10,2,2,10,2,2,6,2,2,2,2,21,2,2,21,21,2,2,21
POR,Portland Trail Blazers,"Camara, Toumani",Off,82,21,61,0.256,2236.68,1814,4110,0.441,521,1518,0.343,737,927,0.795,537,1349,1886,1060,678.0,336,205,287,923,819,4886,-551.0,1,1,8,5,13,13,13,8,15,15,12,14,14,10,16,14,16,14,7,16,12,7,9,14,13,15
POR,Portland Trail Blazers,"Grant, Jerami",Off,82,21,61,0.256,2145.8133333333335,1741,4043,0.431,524,1574,0.333,672,873,0.77,630,1343,1973,1039,693.0,353,178,296,897,777,4678,-389.0,1,1,8,5,16,16,16,21,14,14,18,16,16,19,12,15,14,15,10,13,16,9,7,16,16,8
POR,Portland Trail Blazers,"Hagans, Ashton",Off,32,6,26,0.188,1235.4283333333333,1002,2296,0.436,276,829,0.333,353,445,0.793,349,797,1146,615,406.0,191,90,163,485,418,2633,-323.0,19,19,5,20,19,19,19,17,19,19,17,19,19,11,18,18,18,18,4,19,19,4,4,19,19,7
POR,Portland Trail Blazers,"Henderson, Scoot",Off,82,21,61,0.256,2210.6066666666666,1800,4072,0.442,506,1510,0.335,740,950,0.779,586,1402,1988,1073,680.0,354,207,288,898,794,4846,-245.0,1,1,8,5,14,14,15,5,16,16,16,13,13,17,14,13,13,13,8,12,11,8,8,15,15,5
POR,Portland Trail Blazers,"Mays, Skylar",Off,34,9,25,0.265,1290.8333333333333,1057,2406,0.439,337,931,0.362,470,582,0.808,331,794,1125,596,422.0,231,117,174,562,523,2921,-171.0,17,17,3,2,18,18,18,14,18,18,1,18,18,4,19,19,19,19,5,18,18,5,5,18,18,4
POR,Portland Trail Blazers,"Minaya, Justin",Off,82,21,61,0.256,3595.016666666667,2943,6634,0.444,860,2427,0.354,1209,1517,0.797,904,2223,3127,1727,1134.0,576,327,475,1507,1316,7955,-659.0,1,1,8,5,3,3,3,3,3,3,4,3,3,8,3,3,3,3,20,3,3,20,20,3,3,19
POR,Portland Trail Blazers,"Moore, Taze",Off,7,2,5,0.286,300.6666666666667,244,540,0.452,67,204,0.328,121,141,0.858,68,201,269,156,93.0,39,26,44,123,110,676,-35.0,21,21,1,1,21,21,21,1,21,21,22,21,21,1,21,21,21,21,2,21,21,2,2,21,21,1
POR,Portland Trail Blazers,"Murray, Kris",Off,82,21,61,0.256,2627.7283333333335,2120,4835,0.438,631,1779,0.355,904,1115,0.811,639,1601,2240,1252,799.0,415,242,358,1112,983,5775,-576.0,1,1,8,5,9,9,9,16,8,8,3,8,9,3,10,9,10,9,13,9,8,14,15,9,9,17
POR,Portland Trail Blazers,"Reath, Duop",Off,82,21,61,0.256,2761.885,2239,5071,0.442,591,1737,0.34,929,1179,0.788,700,1747,2447,1309,883.0,434,256,372,1107,1017,5998,-552.0,1,1,8,5,8,8,8,6,9,9,15,7,7,15,9,8,8,8,15,8,6,15,14,8,8,16
POR,Portland Trail Blazers,"Rupert, Rayan",Off,82,21,61,0.256,3342.775,2701,6140,0.44,778,2261,0.344,1169,1464,0.798,843,2069,2912,1565,1038.0,527,311,436,1392,1248,7349,-616.0,1,1,8,5,4,4,4,11,4,4,11,4,4,7,4,4,4,4,19,4,4,19,19,4,4,18
POR,Portland Trail Blazers,"Sharpe, Shaedon",Off,82,21,61,0.256,2916.9816666666666,2372,5379,0.441,694,1983,0.35,968,1227,0.789,779,1834,2613,1409,933.0,451,257,386,1194,1049,6406,-494.0,1,1,8,5,6,6,6,9,6,6,7,6,6,14,6,6,6,6,17,7,5,16,16,6,6,12
POR,Portland Trail Blazers,"Simons, Anfernee",Off,82,21,61,0.256,2394.2566666666667,1914,4433,0.432,532,1610,0.33,812,1032,0.787,636,1490,2126,1116,782.0,386,235,328,1011,926,5172,-410.0,1,1,8,5,11,11,11,20,13,12,21,10,11,16,11,11,11,11,12,10,10,12,12,10,11,10
POR,Portland Trail Blazers,"Thybulle, Matisse",Off,82,21,61,0.256,2488.616666666667,2016,4652,0.433,573,1684,0.34,801,1043,0.768,712,1591,2303,1178,799.0,345,203,329,1024,904,5406,-508.0,1,1,8,5,10,10,10,18,10,10,14,11,10,21,8,10,9,10,13,15,13,13,13,11,10,14
POR,Portland Trail Blazers,"Wainright, Ish",Off,34,9,25,0.265,1601.1166666666666,1318,2999,0.439,408,1143,0.357,557,696,0.8,413,956,1369,755,512.0,279,150,208,683,617,3601,-265.0,17,17,3,2,17,17,17,12,17,17,2,17,17,5,17,17,17,17,6,17,17,6,6,17,17,6
POR,Portland Trail Blazers,"Walker, Jabari",Off,82,21,61,0.256,2275.4266666666667,1848,4209,0.439,564,1598,0.353,732,926,0.79,579,1446,2025,1083,707.0,367,198,297,927,834,4992,-402.0,1,1,8,5,12,12,12,15,12,13,6,15,15,13,15,12,12,12,11,11,15,10,10,13,12,9
POR,Portland Trail Blazers,"Williams III, Robert",Off,82,21,61,0.256,3857.25,3133,7131,0.439,916,2642,0.347,1284,1620,0.793,1002,2391,3393,1844,1216.0,605,339,507,1599,1418,8466,-710.0,1,1,8,5,1,1,1,13,1,1,9,1,1,12,1,1,1,1,22,1,1,22,22,1,1,22
