TEAM_ABBREVIATION,TEAM_NAME,VS_PLAYER_NAME,COURT_STATUS,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK
SAC,Sacramento Kings,"Barnes, Harrison",Off,82,46,36,0.561,1590.13,1429,2974,0.48,498,1331,0.374,503,689,0.73,385,1074,1459,931,456.0,241,176,149,697,622,3859,223.0,1,1,4,2,14,14,14,2,14,14,4,14,14,19,14,14,14,14,7,15,13,7,7,14,14,1
SAC,Sacramento Kings,"Duarte, Chris",Off,82,46,36,0.561,3251.4816666666666,2936,6122,0.48,970,2636,0.368,1074,1426,0.753,708,2237,2945,1940,869.0,511,284,298,1331,1237,7916,210.0,1,1,4,2,8,8,8,5,8,8,7,8,8,2,8,8,8,8,13,8,8,12,13,8,8,2
SAC,Sacramento Kings,"Edwards, Kessler",Off,82,46,36,0.561,3696.258333333333,3340,6958,0.48,1112,3007,0.37,1193,1594,0.748,813,2540,3353,2187,996.0,576,318,347,1524,1403,8985,188.0,1,1,4,2,4,4,4,3,4,4,5,4,4,6,4,4,4,4,17,4,3,16,17,4,4,3
SAC,Sacramento Kings,"Ellis, Keon",Off,82,46,36,0.561,2992.515,2709,5647,0.48,868,2403,0.361,966,1311,0.737,657,2042,2699,1733,821.0,462,239,275,1243,1149,7252,50.0,1,1,4,2,9,9,9,4,10,9,14,9,9,16,9,9,9,9,12,10,10,11,12,9,9,14
SAC,Sacramento Kings,"Ford, Jordan",Off,82,46,36,0.561,3949.1833333333334,3532,7416,0.476,1169,3198,0.366,1267,1702,0.744,884,2705,3589,2313,1075.0,623,339,368,1628,1499,9500,129.0,1,1,4,2,1,1,1,12,2,1,10,1,1,12,1,1,1,1,20,1,1,19,20,1,1,10
SAC,Sacramento Kings,"Fox, De'Aaron",Off,82,46,36,0.561,1312.2366666666667,1123,2367,0.474,365,1033,0.353,381,519,0.734,285,879,1164,798,383.0,196,107,108,551,461,2992,-90.0,1,1,4,2,17,17,17,14,17,17,19,17,17,18,17,17,17,16,4,16,18,4,4,17,17,20
SAC,Sacramento Kings,"Huerter, Kevin",Off,82,46,36,0.561,2408.7733333333335,2102,4517,0.465,703,1944,0.362,789,1059,0.745,596,1651,2247,1341,686.0,371,216,243,998,937,5696,68.0,1,1,4,2,12,12,12,19,12,12,13,12,12,10,12,12,12,12,9,12,12,9,9,12,12,13
SAC,Sacramento Kings,"Jones, Colby",Off,82,46,36,0.561,3779.2633333333333,3399,7089,0.479,1131,3070,0.368,1211,1631,0.742,821,2586,3407,2231,1024.0,593,316,351,1549,1439,9140,134.0,1,1,4,2,3,3,3,6,3,3,6,3,3,13,3,3,3,3,18,3,4,18,18,3,3,8
SAC,Sacramento Kings,"Jones, Mason",Off,31,16,15,0.516,1470.3166666666666,1297,2767,0.469,408,1144,0.357,452,582,0.777,357,1021,1378,846,385.0,248,141,124,596,525,3454,109.0,18,18,3,19,15,15,15,18,15,16,17,16,16,1,15,15,15,15,6,14,15,6,5,16,15,11
SAC,Sacramento Kings,"Len, Alex",Off,82,46,36,0.561,3526.755,3151,6607,0.477,1026,2824,0.363,1137,1527,0.745,777,2401,3178,2071,963.0,553,288,323,1433,1350,8465,1.0,1,1,4,2,6,6,6,9,6,6,12,6,6,11,7,6,6,6,15,7,7,14,15,6,6,17
