TEAM_ABBREVIATION,TEAM_NAME,VS_PLAYER_NAME,COURT_STATUS,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK
SAS,San Antonio Spurs,"Barlow, Dominick",Off,82,22,60,0.268,3546.46,3065,6625,0.463,924,2682,0.345,1132,1451,0.78,741,2508,3249,2211,1145.0,518,476,329,1256,1318,8186,-500.0,1,1,9,5,4,4,4,13,4,4,15,5,4,18,5,4,4,4,21,5,4,20,19,4,4,19
SAS,San Antonio Spurs,"Bassey, Charles",Off,82,22,60,0.268,3760.725,3255,7034,0.463,976,2826,0.345,1228,1570,0.782,799,2644,3443,2328,1172.0,552,492,360,1332,1399,8714,-486.0,1,1,9,5,2,2,2,12,2,2,14,2,2,12,2,2,2,2,22,2,2,22,22,2,2,18
SAS,San Antonio Spurs,"Bediako, Charles",Off,30,5,25,0.167,1450.0,1247,2744,0.454,383,1116,0.343,457,584,0.783,297,1001,1298,877,461.0,208,181,123,570,559,3334,-345.0,18,21,6,22,18,18,18,21,18,18,19,18,18,10,18,18,18,18,6,19,18,5,6,18,18,14
SAS,San Antonio Spurs,"Bouyea, Jamaree",Off,22,10,12,0.455,1038.3166666666666,881,1898,0.464,270,776,0.348,335,426,0.786,226,767,993,644,339.0,139,144,96,340,369,2367,-41.0,21,17,2,1,21,21,21,9,21,21,11,21,21,4,21,20,21,21,2,21,21,3,3,21,21,2
SAS,San Antonio Spurs,"Branham, Malaki",Off,82,22,60,0.268,2371.673333333333,2070,4439,0.466,604,1780,0.339,794,1010,0.786,507,1680,2187,1475,718.0,376,309,215,860,894,5538,-159.0,1,1,9,5,11,11,11,6,11,11,23,11,11,6,11,11,11,11,13,10,10,13,14,11,11,6
SAS,San Antonio Spurs,"Champagnie, Julian",Off,82,22,60,0.268,2498.125,2163,4702,0.46,631,1855,0.34,797,1032,0.772,528,1746,2274,1515,782.0,346,292,243,946,941,5754,-391.0,1,1,9,5,9,9,9,18,10,10,21,10,10,20,9,9,9,10,15,11,11,15,17,10,10,17
SAS,San Antonio Spurs,"Cissoko, Sidy",Off,82,22,60,0.268,3825.0816666666665,3317,7175,0.462,997,2862,0.348,1235,1582,0.781,821,2662,3483,2363,1194.0,559,506,367,1365,1427,8866,-557.0,1,1,9,5,1,1,1,17,1,1,10,1,1,16,1,1,1,1,23,1,1,23,23,1,1,22
SAS,San Antonio Spurs,"Collins, Zach",Off,82,22,60,0.268,2440.2716666666665,2148,4603,0.467,670,1913,0.35,817,1039,0.786,527,1704,2231,1542,736.0,391,377,234,817,948,5783,-139.0,1,1,9,5,10,10,10,5,9,9,6,9,9,5,10,10,10,9,14,9,7,14,13,9,9,5
SAS,San Antonio Spurs,"Diakite, Mamadi",Off,28,7,21,0.25,1328.05,1176,2511,0.468,342,974,0.351,446,569,0.784,294,909,1203,840,399.0,216,185,145,452,496,3140,-119.0,19,20,5,20,19,19,19,2,19,19,5,19,19,7,19,19,19,19,5,18,17,6,4,19,19,4
SAS,San Antonio Spurs,"Duke Jr., David",Off,59,19,40,0.322,2800.65,2442,5246,0.465,729,2089,0.349,925,1181,0.783,606,1979,2585,1753,852.0,417,377,290,939,1022,6538,-271.0,16,16,7,3,7,7,7,7,7,7,9,7,7,9,7,7,7,7,16,7,7,18,16,7,7,12
SAS,San Antonio Spurs,"Graham, Devonte'",Off,82,22,60,0.268,3653.076666666667,3176,6865,0.463,943,2723,0.346,1175,1500,0.783,781,2553,3334,2267,1144.0,543,480,354,1307,1345,8470,-555.0,1,1,9,5,3,3,3,14,3,3,12,3,3,8,3,3,3,3,20,3,3,21,21,3,3,21
SAS,San Antonio Spurs,"Gray, RaiQuan",Off,22,10,12,0.455,1036.9666666666667,876,1893,0.463,267,772,0.346,331,423,0.783,226,767,993,637,340.0,139,146,96,336,366,2350,-48.0,21,17,2,1,22,22,22,11,22,22,13,22,22,11,21,20,21,22,3,21,20,3,2,22,22,3
SAS,San Antonio Spurs,"Johnson, Keldon",Off,82,22,60,0.268,1927.6383333333333,1669,3569,0.468,521,1476,0.353,562,719,0.782,401,1355,1756,1223,633.0,292,283,179,610,696,4421,-185.0,1,1,9,5,12,12,12,3,12,12,4,16,16,13,12,12,12,12,12,12,12,10,7,13,12,8
SAS,San Antonio Spurs,"Jones, Tre",Off,82,22,60,0.268,1827.82,1530,3425,0.447,462,1347,0.343,587,752,0.781,395,1250,1645,1078,582.0,248,218,184,688,643,4109,-510.0,1,1,9,5,14,16,14,23,16,15,20,14,15,17,14,15,14,16,11,16,16,11,11,16,16,20
SAS,San Antonio Spurs,"Mamukelashvili, Sandro",Off,82,22,60,0.268,3515.0416666666665,3055,6570,0.465,910,2599,0.35,1136,1442,0.788,742,2432,3174,2185,1109.0,519,465,322,1277,1308,8156,-577.0,1,1,9,5,5,5,5,8,5,5,7,4,5,2,4,5,5,5,19,4,5,19,20,5,5,23
SAS,San Antonio Spurs,"McDermott, Doug",Off,52,10,42,0.192,1805.8533333333332,1561,3406,0.458,463,1345,0.344,600,768,0.781,387,1231,1618,1089,561.0,286,223,177,684,663,4185,-298.0,17,17,8,21,15,14,15,19,15,16,16,13,13,14,16,16,16,15,10,13,15,9,10,14,14,13
SAS,San Antonio Spurs,"Morris Sr., Marcus",Off,7,2,5,0.286,336.0,303,645,0.47,95,244,0.389,100,131,0.763,73,238,311,237,108.0,61,58,42,101,110,801,-24.0,23,23,1,4,23,23,23,1,23,23,1,23,23,23,23,23,23,23,1,23,23,1,1,23,23,1
SAS,San Antonio Spurs,"Osman, Cedi",Off,82,22,60,0.268,2697.2483333333334,2346,5027,0.467,702,2005,0.35,871,1106,0.788,579,1940,2519,1676,866.0,403,366,256,897,976,6265,-179.0,1,1,9,5,8,8,8,4,8,8,8,8,8,3,8,8,8,8,17,8,9,16,15,8,8,7
SAS,San Antonio Spurs,"Rice, Sir'Jabari",Off,23,3,20,0.13,1114.0,948,2097,0.452,291,856,0.34,339,434,0.781,234,760,994,661,374.0,161,138,86,454,431,2526,-267.0,20,22,4,23,20,20,20,22,20,20,22,20,20,15,20,22,20,20,4,20,22,2,5,20,20,11
SAS,San Antonio Spurs,"Sochan, Jeremy",Off,82,22,60,0.268,1772.905,1553,3359,0.462,480,1397,0.344,583,760,0.767,380,1261,1641,1098,524.0,258,228,171,654,697,4169,-188.0,1,1,9,5,16,15,16,16,14,13,18,15,14,22,17,13,15,13,7,15,13,8,9,12,15,9
SAS,San Antonio Spurs,"Vassell, Devin",Off,82,22,60,0.268,1718.2566666666667,1499,3241,0.463,461,1340,0.344,529,689,0.768,392,1219,1611,1043,526.0,225,226,168,629,647,3988,-241.0,1,1,9,5,17,17,17,15,17,17,17,17,17,21,15,17,17,17,8,17,14,7,8,15,17,10
SAS,San Antonio Spurs,"Wembanyama, Victor",Off,82,22,60,0.268,1859.765,1599,3514,0.455,483,1359,0.355,612,786,0.779,397,1252,1649,1095,545.0,263,161,202,745,628,4293,-389.0,1,1,9,5,13,13,13,20,13,14,2,12,12,19,13,14,13,14,9,14,19,12,12,17,13,16
SAS,San Antonio Spurs,"Wesley, Blake",Off,82,22,60,0.268,3090.075,2691,5801,0.464,827,2331,0.355,1002,1269,0.79,667,2171,2838,1921,992.0,452,422,281,1076,1173,7211,-388.0,1,1,9,5,6,6,6,10,6,6,3,6,6,1,6,6,6,6,18,6,6,17,18,6,6,15
