TEAM_ABBREVIATION,TEAM_NAME,VS_PLAYER_NAME,COURT_STATUS,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK
TOR,Toronto Raptors,"Achiuwa, Precious",Off,31,12,19,0.387,1061.115,958,1981,0.484,241,699,0.345,349,479,0.729,266,727,993,662,309.0,169,106,125,403,409,2506,12.0,20,18,7,4,19,18,19,3,19,20,17,19,19,31,16,18,18,18,13,20,18,12,14,19,19,2
TOR,Toronto Raptors,"Agbaji, Ochai",Off,31,7,24,0.226,854.775,731,1613,0.453,182,573,0.318,254,338,0.751,193,551,744,468,266.0,149,88,126,311,295,1898,-231.0,20,24,12,23,24,24,24,28,24,24,31,24,24,19,24,24,24,24,9,24,23,13,9,24,24,19
TOR,Toronto Raptors,"Anunoby, OG",Off,31,12,19,0.387,597.775,501,1126,0.445,141,435,0.324,209,284,0.736,177,395,572,340,172.0,96,60,59,217,236,1352,-78.0,20,18,7,4,27,27,27,30,27,27,27,26,26,29,26,27,26,27,6,27,27,6,6,26,27,9
TOR,Toronto Raptors,"Barnes, Scottie",Off,82,25,57,0.305,1866.7516666666668,1583,3407,0.465,438,1297,0.338,641,847,0.757,401,1203,1604,1049,574.0,305,157,232,734,706,4245,-384.0,1,1,25,11,13,13,13,17,12,13,21,13,13,16,13,13,13,13,21,12,13,22,20,13,13,28
TOR,Toronto Raptors,"Barrett, RJ",Off,51,13,38,0.255,1391.375,1164,2548,0.457,333,965,0.345,462,584,0.791,289,869,1158,779,440.0,232,133,172,554,503,3123,-351.0,11,16,21,21,15,15,15,27,15,15,15,15,15,2,15,15,15,15,19,15,14,17,19,15,15,25
TOR,Toronto Raptors,"Boucher, Chris",Off,82,25,57,0.305,3256.116666666667,2836,6033,0.47,759,2181,0.348,1093,1441,0.759,699,2138,2837,1920,959.0,522,318,403,1226,1199,7524,-556.0,1,1,25,11,4,4,4,14,4,4,14,4,4,15,4,4,4,4,29,4,4,30,29,4,4,32
TOR,Toronto Raptors,"Brown, Bruce",Off,41,9,32,0.22,1098.2116666666666,941,2051,0.459,270,783,0.345,371,484,0.767,243,707,950,595,332.0,186,104,144,381,427,2523,-168.0,16,21,16,26,18,19,18,25,17,18,16,18,18,11,20,20,20,20,15,18,19,14,12,18,18,16
TOR,Toronto Raptors,"Carton, D.J.",Off,27,6,21,0.222,1265.4666666666667,1089,2351,0.463,299,889,0.336,407,530,0.768,259,815,1074,717,393.0,212,114,172,477,463,2884,-283.0,25,26,10,25,16,16,16,21,16,16,23,17,17,10,18,16,16,16,17,16,16,17,16,16,16,20
TOR,Toronto Raptors,"Dick, Gradey",Off,82,25,57,0.305,2693.3316666666665,2402,4982,0.482,642,1785,0.36,936,1246,0.751,587,1815,2402,1615,740.0,424,297,316,1013,1007,6382,-150.0,1,1,25,11,6,6,6,4,7,7,5,6,6,20,6,6,6,6,26,6,6,26,26,6,6,14
TOR,Toronto Raptors,"Flynn, Malachi",Off,31,12,19,0.387,1023.7383333333333,936,1896,0.494,232,657,0.353,333,461,0.722,235,715,950,646,292.0,154,98,119,377,394,2437,26.0,20,18,7,4,21,20,22,2,22,23,7,22,20,32,21,19,20,19,11,23,22,11,11,20,20,1
TOR,Toronto Raptors,"Freeman-Liberty, Javon",Off,82,25,57,0.305,3557.9616666666666,3132,6612,0.474,855,2433,0.351,1216,1618,0.752,795,2374,3169,2130,1002.0,559,352,413,1351,1340,8335,-369.0,1,1,25,11,2,2,2,12,2,2,10,2,2,18,2,2,2,2,31,2,2,31,31,2,2,27
TOR,Toronto Raptors,"Gueye, Mouhamadou",Off,24,2,22,0.083,1037.0583333333334,890,1926,0.462,230,715,0.322,340,437,0.778,221,651,872,577,328.0,173,81,146,408,378,2350,-300.0,26,27,11,29,20,21,20,22,23,19,28,20,22,5,23,22,22,22,14,19,25,15,15,22,21,22
TOR,Toronto Raptors,"Harper Jr., Ron",Off,21,9,12,0.429,1014.35,874,1899,0.46,235,697,0.337,336,458,0.734,266,699,965,588,298.0,163,99,112,382,394,2319,-26.0,27,21,6,1,22,22,21,24,21,21,22,21,21,30,16,21,19,21,12,21,20,9,13,20,22,3
TOR,Toronto Raptors,"Koloko, Christian",Off,41,16,25,0.39,1978.0,1776,3686,0.482,489,1357,0.36,680,922,0.738,462,1342,1804,1211,543.0,301,199,211,763,761,4721,-49.0,16,13,14,2,11,11,11,5,11,11,4,12,11,28,11,11,11,11,20,13,12,20,22,12,11,5
TOR,Toronto Raptors,"Lewis Jr., Kira",Off,10,2,8,0.2,488.45,414,876,0.473,116,316,0.367,172,220,0.782,104,304,408,292,140.0,78,47,58,180,179,1116,-115.0,28,27,4,28,28,28,28,13,28,28,1,28,28,4,28,28,28,28,5,28,28,5,5,28,28,10
TOR,Toronto Raptors,"McDaniels, Jalen",Off,82,25,57,0.305,3422.9933333333333,3047,6378,0.478,818,2323,0.352,1150,1534,0.75,762,2253,3015,2065,968.0,553,330,399,1305,1291,8062,-366.0,1,1,25,11,3,3,3,7,3,3,9,3,3,21,3,3,3,3,30,3,3,29,30,3,3,26
TOR,Toronto Raptors,"Nowell, Markquis",Off,61,23,38,0.377,2944.483333333333,2625,5503,0.477,716,2010,0.356,1003,1342,0.747,688,1977,2665,1790,817.0,460,299,328,1120,1113,6969,-201.0,9,9,21,7,5,5,5,8,5,5,6,5,5,22,5,5,5,5,28,5,5,28,28,5,5,18
TOR,Toronto Raptors,"Nwora, Jordan",Off,41,9,32,0.22,1454.1183333333333,1264,2722,0.464,342,1008,0.339,478,627,0.762,323,921,1244,854,406.0,240,126,184,542,544,3348,-296.0,16,21,16,26,14,14,14,18,14,14,19,14,14,13,14,14,14,14,18,14,15,19,18,14,14,21
TOR,Toronto Raptors,"Olynyk, Kelly",Off,31,7,24,0.226,753.525,631,1422,0.444,168,508,0.331,225,292,0.771,183,509,692,393,242.0,128,88,116,272,253,1655,-157.0,20,24,12,23,25,25,25,31,26,25,25,25,25,7,25,25,25,25,8,25,23,10,8,25,25,15
TOR,Toronto Raptors,"Poeltl, Jakob",Off,82,25,57,0.305,2641.891666666667,2251,4887,0.461,658,1926,0.342,915,1188,0.77,587,1690,2277,1511,783.0,424,245,325,1059,990,6075,-511.0,1,1,25,11,7,7,7,23,6,6,18,7,7,8,6,7,7,7,27,6,8,27,27,7,7,31
TOR,Toronto Raptors,"Porter Jr., Otto",Off,51,18,33,0.353,2293.9266666666667,2037,4234,0.481,562,1546,0.364,779,1050,0.742,527,1521,2048,1399,633.0,344,226,254,874,868,5415,-190.0,11,10,18,8,9,9,9,6,9,9,2,9,9,25,9,9,9,9,24,9,9,24,24,9,9,17
TOR,Toronto Raptors,"Porter, Jontay",Off,60,16,44,0.267,2535.2616666666668,2237,4702,0.476,598,1704,0.351,874,1150,0.76,537,1639,2176,1505,712.0,401,247,312,954,963,5946,-418.0,10,13,24,20,8,8,8,10,8,8,11,8,8,14,8,8,8,8,25,8,7,25,25,8,8,29
