TEAM_ABBREVIATION,TEAM_NAME,VS_PLAYER_NAME,COURT_STATUS,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK
UTA,Utah Jazz,"Agbaji, Ochai",Off,52,26,26,0.5,1517.6133333333332,1370,2870,0.477,432,1186,0.364,613,742,0.826,418,1054,1472,920,492.0,227,167,212,601,638,3785,26.0,15,15,7,1,17,17,17,1,18,18,3,17,17,15,17,18,18,17,8,17,19,8,8,17,17,1
UTA,Utah Jazz,"Bazley, Darius",Off,18,3,15,0.167,721.9583333333334,589,1284,0.459,175,512,0.342,261,310,0.842,152,495,647,362,246.0,85,71,94,265,264,1614,-178.0,21,21,3,20,22,22,22,20,22,22,22,22,22,4,22,22,22,22,3,22,21,3,3,22,22,9
UTA,Utah Jazz,"Christopher, Josh",Off,38,18,20,0.474,1844.0,1591,3448,0.461,498,1420,0.351,692,845,0.819,492,1273,1765,1051,622.0,267,222,240,744,741,4372,-137.0,19,18,5,4,16,15,16,16,15,15,17,15,15,21,14,16,16,15,10,14,15,10,10,15,15,8
UTA,Utah Jazz,"Clarkson, Jordan",Off,82,31,51,0.378,2278.6583333333333,1983,4238,0.468,626,1723,0.363,862,1026,0.84,570,1594,2164,1289,757.0,322,265,306,862,871,5454,-210.0,1,1,11,5,10,10,10,12,10,10,4,10,10,5,10,10,10,10,15,10,10,15,15,10,10,11
UTA,Utah Jazz,"Collins, John",Off,82,31,51,0.378,2059.94,1772,3783,0.468,541,1522,0.355,819,994,0.824,507,1439,1946,1139,696.0,289,257,260,762,806,4904,-94.0,1,1,11,5,12,13,12,8,13,13,12,11,11,17,12,12,12,13,13,12,11,11,12,13,13,5
UTA,Utah Jazz,"Dunn, Kris",Off,82,31,51,0.378,2711.8233333333333,2281,4963,0.46,683,1991,0.343,1102,1343,0.821,673,1866,2539,1467,896.0,335,329,368,998,1117,6347,-415.0,1,1,11,5,8,8,8,17,9,8,20,8,8,19,8,8,8,8,17,9,7,17,16,8,8,23
UTA,Utah Jazz,"Fontecchio, Simone",Off,52,26,26,0.5,1361.2166666666667,1180,2516,0.469,347,1000,0.347,537,654,0.821,381,953,1334,755,459.0,174,174,173,563,561,3244,-104.0,15,15,7,1,19,19,19,7,20,19,18,19,19,18,19,19,19,19,6,20,18,5,6,19,19,7
UTA,Utah Jazz,"George, Keyonte",Off,82,31,51,0.378,1938.4233333333334,1766,3711,0.476,551,1495,0.369,727,860,0.845,523,1314,1837,1156,587.0,293,215,262,796,751,4810,-27.0,1,1,11,5,14,14,14,2,11,14,1,14,14,2,11,15,14,11,9,11,16,12,13,14,14,3
UTA,Utah Jazz,"Hendricks, Taylor",Off,82,31,51,0.378,3104.568333333333,2709,5786,0.468,831,2351,0.353,1250,1510,0.828,798,2126,2924,1772,987.0,420,367,416,1194,1297,7499,-251.0,1,1,11,5,6,6,6,9,6,6,14,6,6,14,6,6,6,6,19,6,6,19,19,6,6,13
UTA,Utah Jazz,"Horton-Tucker, Talen",Off,82,31,51,0.378,2952.3016666666667,2590,5496,0.471,779,2217,0.351,1144,1374,0.833,736,2040,2776,1698,970.0,386,328,402,1113,1184,7103,-294.0,1,1,11,5,7,7,7,5,7,7,16,7,7,10,7,7,7,7,18,7,8,18,18,7,7,19
UTA,Utah Jazz,"Juzang, Johnny",Off,82,31,51,0.378,3589.1966666666667,3126,6686,0.468,961,2711,0.354,1414,1700,0.832,908,2472,3380,2046,1175.0,497,413,487,1392,1438,8627,-393.0,1,1,11,5,2,2,2,14,3,2,13,2,2,11,2,2,2,2,23,2,2,23,23,2,2,22
UTA,Utah Jazz,"Kessler, Walker",Off,82,31,51,0.378,2467.8933333333334,2179,4667,0.467,686,1924,0.357,950,1132,0.839,635,1665,2300,1423,782.0,343,244,343,999,980,5994,-252.0,1,1,11,5,9,9,9,15,8,9,9,9,9,6,9,9,9,9,16,8,12,16,17,9,9,14
UTA,Utah Jazz,"Knox II, Kevin",Off,1,0,1,0.0,48.0,41,94,0.436,12,35,0.343,21,31,0.677,19,33,52,28,15.0,7,7,7,14,22,115,-14.0,24,24,1,24,24,24,24,24,24,24,21,24,24,24,24,24,24,24,1,24,24,1,1,24,24,2
