TEAM_ABBREVIATION,TEAM_NAME,VS_PLAYER_NAME,COURT_STATUS,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK
WAS,Washington Wizards,"Avdija, Deni",Off,82,15,67,0.183,1689.3566666666666,1474,3229,0.456,423,1261,0.335,543,710,0.765,358,1057,1415,959,480.0,273,194,216,705,610,3914,-433.0,1,1,16,11,13,14,13,27,15,14,25,15,16,14,12,15,14,13,13,14,11,14,14,16,15,18
WAS,Washington Wizards,"Bagley III, Marvin",Off,44,8,36,0.182,1547.0516666666667,1360,2921,0.466,410,1184,0.346,466,617,0.755,291,1015,1306,900,454.0,243,160,203,681,541,3596,-329.0,16,16,12,23,17,18,17,18,17,16,16,19,18,23,17,17,17,17,11,19,17,12,13,19,18,15
WAS,Washington Wizards,"Baldwin Jr., Patrick",Off,82,15,67,0.183,3452.491666666667,3090,6554,0.471,863,2501,0.345,1114,1445,0.771,660,2259,2919,2007,1006.0,532,359,430,1419,1282,8157,-739.0,1,1,16,11,3,3,3,13,4,3,19,2,2,8,2,3,3,3,25,3,4,26,25,3,3,26
WAS,Washington Wizards,"Bernard, Jules",Off,62,12,50,0.194,2836.725,2493,5359,0.465,730,2114,0.345,898,1183,0.759,543,1907,2450,1636,828.0,439,299,363,1175,1045,6614,-625.0,13,13,15,7,7,7,7,19,7,7,18,7,7,20,7,7,7,7,21,7,7,21,21,7,7,24
WAS,Washington Wizards,"Butler Jr., John",Off,20,3,17,0.15,960.0,888,1823,0.487,243,681,0.357,326,413,0.789,162,612,774,567,271.0,162,97,107,402,369,2345,-163.0,23,24,5,27,23,23,23,1,23,23,3,22,23,3,23,23,23,23,5,23,22,5,5,23,23,4
WAS,Washington Wizards,"Butler, Jared",Off,82,15,67,0.183,3380.3483333333334,3033,6440,0.471,879,2496,0.352,1072,1398,0.767,641,2231,2872,1985,980.0,530,365,410,1405,1252,8017,-714.0,1,1,16,11,4,4,4,14,3,4,10,5,5,11,4,4,4,4,24,4,3,24,24,4,4,25
WAS,Washington Wizards,"Champagnie, Justin",Off,28,6,22,0.214,1119.1616666666666,984,2106,0.467,300,851,0.353,316,419,0.754,199,757,956,641,330.0,173,93,155,442,391,2584,-212.0,22,20,6,5,22,22,22,16,22,22,8,23,22,24,22,22,22,22,6,22,23,7,6,22,22,8
WAS,Washington Wizards,"Coulibaly, Bilal",Off,82,15,67,0.183,2230.75,2049,4315,0.475,589,1672,0.352,680,878,0.774,434,1549,1983,1329,629.0,324,228,296,920,813,5367,-343.0,1,1,16,11,8,8,8,8,8,8,9,10,10,5,8,8,8,8,20,9,9,20,20,8,8,16
WAS,Washington Wizards,"Davis, Johnny",Off,82,15,67,0.183,3332.52,2988,6306,0.474,859,2456,0.35,1085,1415,0.767,633,2212,2845,1961,972.0,524,357,398,1363,1248,7920,-612.0,1,1,16,11,5,5,5,9,5,5,11,4,4,12,5,5,5,5,23,5,5,22,23,5,5,21
WAS,Washington Wizards,"Diallo, Hamidou",Off,4,1,3,0.25,187.25,166,356,0.466,47,128,0.367,69,88,0.784,38,132,170,115,45.0,33,28,27,86,72,448,0.0,27,27,1,3,27,27,27,17,27,27,1,27,27,4,27,27,27,27,1,26,26,1,1,27,27,1
WAS,Washington Wizards,"Gafford, Daniel",Off,50,9,41,0.18,1208.215,1026,2232,0.46,310,905,0.343,446,588,0.759,232,778,1010,659,374.0,204,99,149,511,507,2808,-279.0,15,14,13,24,21,21,21,25,21,21,22,20,20,21,20,21,21,21,8,20,21,6,8,20,21,12
