,GROUP_SET,TEAM_ABBREVIATION,TEAM_NAME,VS_PLAYER_NAME,COURT_STATUS,GP,MIN,PLUS_MINUS,OFF_RATING,DEF_RATING,NET_RATING
0,On/Off Court,BOS,Boston Celtics,"Banton, Dalano",On,24,171.0,5.6,110.6,104.4,6.2
1,On/Off Court,BOS,Boston Celtics,"Brissett, Oshae",On,55,630.0,8.7,117.2,106.4,10.8
2,On/Off Court,BOS,Boston Celtics,"Brown, Jaylen",On,70,2343.0,8.5,120.2,111.6,8.7
3,On/Off Court,BOS,Boston Celtics,"Davison, JD",On,8,39.0,28.3,112.8,83.1,29.6
4,On/Off Court,BOS,Boston Celtics,"Hauser, Sam",On,79,1741.0,13.6,121.3,107.1,14.2
5,On/Off Court,BOS,Boston Celtics,"Holiday, Jrue",On,69,2263.0,9.1,120.6,110.9,9.7
6,On/Off Court,BOS,Boston Celtics,"Horford, Al",On,65,1740.0,11.6,120.9,109.5,11.4
7,On/Off Court,BOS,Boston Celtics,"Kornet, Luke",On,63,983.0,10.6,121.8,109.7,12.1
8,On/Off Court,BOS,Boston Celtics,"Mykhailiuk, Svi",On,41,413.0,17.3,121.9,103.4,18.5
9,On/Off Court,BOS,Boston Celtics,"Peterson, Drew",On,3,23.0,16.9,132.0,116.0,16.0
10,On/Off Court,BOS,Boston Celtics,"Porzingis, Kristaps",On,57,1690.0,11.8,120.8,109.6,11.2
11,On/Off Court,BOS,Boston Celtics,"Pritchard, Payton",On,82,1826.0,11.8,122.8,109.2,13.6
12,On/Off Court,BOS,Boston Celtics,"Queta, Neemias",On,28,333.0,19.4,128.7,108.3,20.4
13,On/Off Court,BOS,Boston Celtics,"Springer, Jaden",On,17,130.0,14.1,120.8,104.4,16.3
14,On/Off Court,BOS,Boston Celtics,"Stevens, Lamar",On,19,122.0,3.9,105.0,101.5,3.4
15,On/Off Court,BOS,Boston Celtics,"Tatum, Jayson",On,74,2645.0,11.0,121.7,110.5,11.2
16,On/Off Court,BOS,Boston Celtics,"Tillman, Xavier",On,20,274.0,7.3,117.9,110.1,7.9
17,On/Off Court,BOS,Boston Celtics,"Walsh, Jordan",On,9,83.0,27.0,120.1,90.2,29.9
18,On/Off Court,BOS,Boston Celtics,"White, Derrick",On,73,2381.0,12.5,122.4,109.9,12.5
