,GROUP_SET,TEAM_ABBREVIATION,TEAM_NAME,VS_PLAYER_NAME,COURT_STATUS,GP,MIN,PLUS_MINUS,OFF_RATING,DEF_RATING,NET_RATING
0,On/Off Court,CHA,Charlotte Hornets,"Bailey, Amari",On,10,65.0,3.7,111.4,106.0,5.4
1,On/Off Court,CHA,Charlotte Hornets,"Ball, LaMelo",On,22,711.0,-9.4,111.8,120.2,-8.4
2,On/Off Court,CHA,Charlotte Hornets,"Bertans, Davis",On,28,583.0,-8.1,104.7,114.5,-9.8
3,On/Off Court,CHA,Charlotte Hornets,"Black, Leaky",On,26,284.0,-4.6,105.1,109.2,-4.0
4,On/Off Court,CHA,Charlotte Hornets,"Bolden, Marques",On,9,118.0,-9.7,103.2,114.8,-11.5
5,On/Off Court,CHA,Charlotte Hornets,"Bouknight, James",On,14,81.0,-6.5,107.8,115.2,-7.3
6,On/Off Court,CHA,Charlotte Hornets,"Bridges, Miles",On,69,2581.0,-11.8,108.0,120.1,-12.1
7,On/Off Court,CHA,Charlotte Hornets,"Curry, Seth",On,8,159.0,-7.6,103.7,113.2,-9.5
8,On/Off Court,CHA,Charlotte Hornets,"Hayward, Gordon",On,25,798.0,-8.0,112.2,120.7,-8.5
9,On/Off Court,CHA,Charlotte Hornets,"Maledon, Theo",On,13,200.0,-13.7,110.6,123.8,-13.2
10,On/Off Court,CHA,Charlotte Hornets,"Mann, Tre",On,28,868.0,-6.7,107.6,114.9,-7.4
11,On/Off Court,CHA,Charlotte Hornets,"Martin, Cody",On,28,753.0,-10.0,106.4,116.9,-10.5
12,On/Off Court,CHA,Charlotte Hornets,"McGowens, Bryce",On,59,882.0,-12.5,103.3,116.3,-13.0
13,On/Off Court,CHA,Charlotte Hornets,"Mensah, Nathan",On,25,307.0,-20.8,94.9,114.5,-19.6
14,On/Off Court,CHA,Charlotte Hornets,"Micic, Vasilije",On,30,815.0,-10.8,108.9,120.7,-11.8
15,On/Off Court,CHA,Charlotte Hornets,"Miller, Brandon",On,74,2383.0,-10.3,108.9,119.1,-10.2
16,On/Off Court,CHA,Charlotte Hornets,"Ntilikina, Frank",On,5,43.0,-1.1,121.3,121.1,0.2
17,On/Off Court,CHA,Charlotte Hornets,"Pokusevski, Aleksej",On,18,345.0,-5.6,104.4,110.3,-5.9
18,On/Off Court,CHA,Charlotte Hornets,"Richards, Nick",On,67,1759.0,-11.7,106.3,118.2,-11.9
19,On/Off Court,CHA,Charlotte Hornets,"Rozier, Terry",On,30,1065.0,-13.2,109.3,122.3,-13.0
20,On/Off Court,CHA,Charlotte Hornets,"Smith Jr., Nick",On,51,729.0,-12.8,102.4,114.9,-12.4
21,On/Off Court,CHA,Charlotte Hornets,"Smith, Ish",On,43,741.0,-18.1,101.7,119.2,-17.5
22,On/Off Court,CHA,Charlotte Hornets,"Thor, JT",On,63,781.0,-3.0,107.5,110.7,-3.2
23,On/Off Court,CHA,Charlotte Hornets,"Washington, P.J.",On,44,1286.0,-10.8,110.0,120.6,-10.7
24,On/Off Court,CHA,Charlotte Hornets,"Williams, Grant",On,29,888.0,-6.9,107.1,115.3,-8.2
25,On/Off Court,CHA,Charlotte Hornets,"Williams, Mark",On,19,508.0,-2.0,115.2,116.4,-1.2
