,GROUP_SET,TEAM_ABBREVIATION,TEAM_NAME,VS_PLAYER_NAME,COURT_STATUS,GP,MIN,PLUS_MINUS,OFF_RATING,DEF_RATING,NET_RATING
0,On/Off Court,CHI,Chicago Bulls,"Bitim, Onuralp",On,23,268.0,-8.1,106.6,115.1,-8.5
1,On/Off Court,CHI,Chicago Bulls,"Carter, Jevon",On,72,1004.0,1.3,110.0,108.6,1.4
2,On/Off Court,CHI,Chicago Bulls,"Caruso, Alex",On,71,2040.0,0.1,110.9,110.6,0.3
3,On/Off Court,CHI,Chicago Bulls,"Craig, Torrey",On,53,1049.0,-8.3,111.2,118.4,-7.3
4,On/Off Court,CHI,Chicago Bulls,"DeRozan, DeMar",On,79,2989.0,-1.0,113.5,114.6,-1.0
5,On/Off Court,CHI,Chicago Bulls,"Dosunmu, Ayo",On,76,2212.0,-3.4,111.6,114.9,-3.3
6,On/Off Court,CHI,Chicago Bulls,"Drell, Henri",On,4,30.0,9.6,120.6,113.4,7.2
7,On/Off Court,CHI,Chicago Bulls,"Drummond, Andre",On,79,1351.0,0.9,114.1,113.3,0.8
8,On/Off Court,CHI,Chicago Bulls,"Funk, Andrew",On,5,13.0,14.3,110.3,93.3,17.0
9,On/Off Court,CHI,Chicago Bulls,"Green, Javonte",On,9,230.0,5.8,117.8,112.8,5.0
10,On/Off Court,CHI,Chicago Bulls,"LaVine, Zach",On,25,872.0,-5.1,109.9,115.3,-5.4
11,On/Off Court,CHI,Chicago Bulls,"Phillips, Julian",On,40,323.0,-0.6,112.1,111.7,0.4
12,On/Off Court,CHI,Chicago Bulls,"Sanogo, Adama",On,9,66.0,24.8,115.3,93.6,21.7
13,On/Off Court,CHI,Chicago Bulls,"Taylor, Terry",On,31,188.0,4.1,107.1,104.4,2.7
14,On/Off Court,CHI,Chicago Bulls,"Terry, Dalen",On,59,681.0,2.5,112.9,110.7,2.2
15,On/Off Court,CHI,Chicago Bulls,"Vucevic, Nikola",On,76,2610.0,-3.3,112.5,115.7,-3.1
16,On/Off Court,CHI,Chicago Bulls,"White, Coby",On,79,2881.0,-0.6,115.0,115.8,-0.7
17,On/Off Court,CHI,Chicago Bulls,"Williams, Patrick",On,43,1174.0,-0.6,114.3,115.5,-1.2
