,GROUP_SET,TEAM_ABBREVIATION,TEAM_NAME,VS_PLAYER_NAME,COURT_STATUS,GP,MIN,PLUS_MINUS,OFF_RATING,DEF_RATING,NET_RATING
0,On/Off Court,CLE,Cleveland Cavaliers,"Allen, Jarrett",On,77,2442.0,4.0,115.5,110.7,4.8
1,On/Off Court,CLE,Cleveland Cavaliers,"Bates, Emoni",On,15,133.0,-30.4,93.3,124.0,-30.7
2,On/Off Court,CLE,Cleveland Cavaliers,"Garland, Darius",On,57,1900.0,2.8,113.5,111.4,2.1
3,On/Off Court,CLE,Cleveland Cavaliers,"Jerome, Ty",On,2,15.0,-45.4,106.7,143.8,-37.1
4,On/Off Court,CLE,Cleveland Cavaliers,"Jones, Damian",On,39,270.0,-16.2,94.0,112.6,-18.7
5,On/Off Court,CLE,Cleveland Cavaliers,"LeVert, Caris",On,68,1958.0,2.9,113.9,111.2,2.8
6,On/Off Court,CLE,Cleveland Cavaliers,"Merrill, Sam",On,61,1069.0,1.3,110.8,111.1,-0.3
7,On/Off Court,CLE,Cleveland Cavaliers,"Mitchell, Donovan",On,55,1943.0,8.0,115.9,108.6,7.3
8,On/Off Court,CLE,Cleveland Cavaliers,"Mobley, Evan",On,50,1532.0,1.0,111.2,110.1,1.2
9,On/Off Court,CLE,Cleveland Cavaliers,"Mobley, Isaiah",On,10,72.0,-20.0,93.8,113.8,-20.0
10,On/Off Court,CLE,Cleveland Cavaliers,"Morris Sr., Marcus",On,12,180.0,-13.6,101.1,116.3,-15.2
11,On/Off Court,CLE,Cleveland Cavaliers,"Nance, Pete",On,8,27.0,-40.4,61.5,103.8,-42.2
12,On/Off Court,CLE,Cleveland Cavaliers,"Niang, Georges",On,82,1831.0,0.8,114.4,113.9,0.6
13,On/Off Court,CLE,Cleveland Cavaliers,"Okoro, Isaac",On,69,1887.0,1.0,113.1,110.7,2.4
14,On/Off Court,CLE,Cleveland Cavaliers,"Porter Jr., Craig",On,51,649.0,-1.8,111.7,113.4,-1.6
15,On/Off Court,CLE,Cleveland Cavaliers,"Strus, Max",On,70,2239.0,5.4,115.3,109.7,5.6
16,On/Off Court,CLE,Cleveland Cavaliers,"Thompson, Tristan",On,49,549.0,-1.1,113.3,113.8,-0.5
17,On/Off Court,CLE,Cleveland Cavaliers,"Wade, Dean",On,54,1108.0,7.7,111.9,103.5,8.3
