,GROUP_SET,TEAM_ABBREVIATION,TEAM_NAME,VS_PLAYER_NAME,COURT_STATUS,GP,MIN,PLUS_MINUS,OFF_RATING,DEF_RATING,NET_RATING
0,On/Off Court,DAL,Dallas Mavericks,"Brown III, Greg",On,6,40.0,-10.9,101.1,110.6,-9.6
1,On/Off Court,DAL,Dallas Mavericks,"Curry, Seth",On,36,457.0,8.9,112.9,105.6,7.3
2,On/Off Court,DAL,Dallas Mavericks,"Dennis, Dexter",On,4,30.0,-14.5,89.0,100.0,-11.0
3,On/Off Court,DAL,Dallas Mavericks,"Doncic, Luka",On,70,2624.0,5.8,119.6,113.8,5.8
4,On/Off Court,DAL,Dallas Mavericks,"Exum, Dante",On,55,1088.0,10.5,120.7,110.5,10.3
5,On/Off Court,DAL,Dallas Mavericks,"Fudge, Alex",On,2,26.0,-35.4,94.5,124.6,-30.0
6,On/Off Court,DAL,Dallas Mavericks,"Gafford, Daniel",On,29,623.0,6.6,115.1,108.2,6.8
7,On/Off Court,DAL,Dallas Mavericks,"Green, Josh",On,57,1505.0,-3.2,116.7,118.8,-2.1
8,On/Off Court,DAL,Dallas Mavericks,"Hardaway Jr., Tim",On,79,2120.0,0.3,115.7,115.8,-0.1
9,On/Off Court,DAL,Dallas Mavericks,"Hardy, Jaden",On,73,989.0,-6.1,108.1,114.5,-6.5
10,On/Off Court,DAL,Dallas Mavericks,"Holmes, Richaun",On,23,237.0,-6.9,104.5,112.8,-8.3
11,On/Off Court,DAL,Dallas Mavericks,"Irving, Kyrie",On,58,2030.0,6.6,119.6,112.6,6.9
12,On/Off Court,DAL,Dallas Mavericks,"Jones Jr., Derrick",On,76,1783.0,1.5,114.0,112.3,1.7
13,On/Off Court,DAL,Dallas Mavericks,"Kleber, Maxi",On,43,871.0,6.8,116.5,109.9,6.6
14,On/Off Court,DAL,Dallas Mavericks,"Lawson, A.J.",On,42,311.0,2.8,106.6,105.3,1.2
15,On/Off Court,DAL,Dallas Mavericks,"Lively II, Dereck",On,55,1294.0,5.3,120.6,115.6,5.0
16,On/Off Court,DAL,Dallas Mavericks,"Morris, Markieff",On,26,216.0,-12.6,99.8,115.1,-15.3
17,On/Off Court,DAL,Dallas Mavericks,"Powell, Dwight",On,63,836.0,0.2,114.7,114.4,0.3
18,On/Off Court,DAL,Dallas Mavericks,"Prosper, Olivier-Maxence",On,40,336.0,-12.3,99.6,112.8,-13.2
19,On/Off Court,DAL,Dallas Mavericks,"Washington, P.J.",On,29,935.0,8.0,116.6,108.6,7.9
20,On/Off Court,DAL,Dallas Mavericks,"Williams, Brandon",On,17,113.0,-24.2,91.9,113.6,-21.7
21,On/Off Court,DAL,Dallas Mavericks,"Williams, Grant",On,47,1242.0,-4.5,113.5,117.4,-4.0
