,GROUP_SET,TEAM_ABBREVIATION,TEAM_NAME,VS_PLAYER_NAME,COURT_STATUS,GP,MIN,PLUS_MINUS,OFF_RATING,DEF_RATING,NET_RATING
0,On/Off Court,DEN,Denver Nuggets,"Braun, Christian",On,82,1656.0,-0.4,110.0,109.3,0.7
1,On/Off Court,DEN,Denver Nuggets,"Caldwell-Pope, Kentavious",On,76,2402.0,11.4,122.4,111.0,11.3
2,On/Off Court,DEN,Denver Nuggets,"Gillespie, Collin",On,24,225.0,3.2,111.7,109.2,2.5
3,On/Off Court,DEN,Denver Nuggets,"Gordon, Aaron",On,73,2297.0,8.8,119.8,111.1,8.7
4,On/Off Court,DEN,Denver Nuggets,"Holiday, Justin",On,58,862.0,3.1,112.8,109.1,3.7
5,On/Off Court,DEN,Denver Nuggets,"Huff, Jay",On,20,49.0,-8.8,90.4,98.2,-7.9
6,On/Off Court,DEN,Denver Nuggets,"Jackson, Reggie",On,82,1817.0,2.1,112.0,110.6,1.4
7,On/Off Court,DEN,Denver Nuggets,"Jokic, Nikola",On,79,2737.0,12.0,122.4,110.6,11.8
8,On/Off Court,DEN,Denver Nuggets,"Jordan, DeAndre",On,36,396.0,-10.7,105.2,115.9,-10.7
9,On/Off Court,DEN,Denver Nuggets,"Key, Braxton",On,20,60.0,-8.8,95.5,103.8,-8.3
10,On/Off Court,DEN,Denver Nuggets,"Murray, Jamal",On,59,1861.0,8.0,120.7,112.4,8.2
11,On/Off Court,DEN,Denver Nuggets,"Nnaji, Zeke",On,58,576.0,-14.0,102.9,114.8,-11.9
12,On/Off Court,DEN,Denver Nuggets,"Pickett, Jalen",On,27,122.0,-0.4,102.3,104.8,-2.4
13,On/Off Court,DEN,Denver Nuggets,"Porter Jr., Michael",On,81,2565.0,8.8,120.2,112.1,8.1
14,On/Off Court,DEN,Denver Nuggets,"Strawther, Julian",On,50,545.0,-9.1,105.6,115.4,-9.8
15,On/Off Court,DEN,Denver Nuggets,"Tyson, Hunter",On,18,48.0,8.0,100.9,98.1,2.7
16,On/Off Court,DEN,Denver Nuggets,"Watson, Peyton",On,80,1488.0,-2.2,109.0,109.7,-0.7
