,GROUP_SET,TEAM_ABBREVIATION,TEAM_NAME,VS_PLAYER_NAME,COURT_STATUS,GP,MIN,PLUS_MINUS,OFF_RATING,DEF_RATING,NET_RATING
0,On/Off Court,DET,Detroit Pistons,"Bagley III, Marvin",On,26,478.0,-7.4,111.8,119.4,-7.7
1,On/Off Court,DET,Detroit Pistons,"Boeheim, Buddy",On,10,84.0,12.0,114.2,104.0,10.2
2,On/Off Court,DET,Detroit Pistons,"Bogdanovic, Bojan",On,28,921.0,-13.1,111.9,125.0,-13.1
3,On/Off Court,DET,Detroit Pistons,"Brown Jr., Troy",On,22,417.0,-14.7,101.5,116.2,-14.7
4,On/Off Court,DET,Detroit Pistons,"Burks, Alec",On,43,901.0,-9.9,109.3,119.5,-10.2
5,On/Off Court,DET,Detroit Pistons,"Cazalon, Malcolm",On,1,3.0,92.9,183.3,100.0,83.3
6,On/Off Court,DET,Detroit Pistons,"Cunningham, Cade",On,62,2074.0,-8.1,109.9,117.8,-7.9
7,On/Off Court,DET,Detroit Pistons,"Duren, Jalen",On,61,1777.0,-8.4,109.3,117.0,-7.6
8,On/Off Court,DET,Detroit Pistons,"Evbuomwan, Tosan",On,13,293.0,-16.4,102.8,118.7,-15.9
9,On/Off Court,DET,Detroit Pistons,"Flynn, Malachi",On,24,342.0,-15.2,102.0,118.2,-16.2
10,On/Off Court,DET,Detroit Pistons,"Fontecchio, Simone",On,16,484.0,-3.6,105.3,109.2,-3.9
11,On/Off Court,DET,Detroit Pistons,"Fournier, Evan",On,29,541.0,-11.4,97.9,109.8,-11.9
12,On/Off Court,DET,Detroit Pistons,"Gallinari, Danilo",On,6,90.0,13.9,129.0,118.6,10.4
13,On/Off Court,DET,Detroit Pistons,"Gibson, Taj",On,4,39.0,-6.1,92.8,98.8,-6.0
14,On/Off Court,DET,Detroit Pistons,"Grimes, Quentin",On,6,115.0,-18.3,96.1,112.6,-16.5
15,On/Off Court,DET,Detroit Pistons,"Harris, Joe",On,16,170.0,-13.6,104.9,119.4,-14.5
16,On/Off Court,DET,Detroit Pistons,"Hayes, Killian",On,42,1008.0,-11.6,106.5,117.6,-11.1
17,On/Off Court,DET,Detroit Pistons,"Ivey, Jaden",On,77,2217.0,-7.6,109.9,117.7,-7.7
18,On/Off Court,DET,Detroit Pistons,"Knox II, Kevin",On,31,560.0,-7.3,109.4,117.2,-7.8
19,On/Off Court,DET,Detroit Pistons,"Livers, Isaiah",On,23,469.0,-20.3,106.1,125.4,-19.3
20,On/Off Court,DET,Detroit Pistons,"Metu, Chimezie",On,14,411.0,-8.4,101.3,109.6,-8.3
21,On/Off Court,DET,Detroit Pistons,"Milton, Shake",On,4,63.0,-20.5,95.1,117.3,-22.2
22,On/Off Court,DET,Detroit Pistons,"Morris, Monte",On,6,68.0,-1.4,105.5,107.6,-2.1
23,On/Off Court,DET,Detroit Pistons,"Muscala, Mike",On,13,171.0,12.9,120.7,107.9,12.8
24,On/Off Court,DET,Detroit Pistons,"Nowell, Jaylen",On,4,58.0,-25.8,90.7,116.9,-26.3
25,On/Off Court,DET,Detroit Pistons,"Rhoden, Jared",On,17,245.0,-7.6,105.7,115.0,-9.4
26,On/Off Court,DET,Detroit Pistons,"Sasser, Marcus",On,71,1351.0,-8.9,107.0,115.7,-8.7
27,On/Off Court,DET,Detroit Pistons,"Stewart, Isaiah",On,46,1423.0,-4.5,110.3,114.5,-4.2
28,On/Off Court,DET,Detroit Pistons,"Thompson, Ausar",On,63,1583.0,-7.0,107.7,113.1,-5.3
29,On/Off Court,DET,Detroit Pistons,"Umude, Stanley",On,24,307.0,-11.7,104.1,113.8,-9.7
30,On/Off Court,DET,Detroit Pistons,"Wiseman, James",On,63,1091.0,-14.3,104.8,118.2,-13.4
