,GROUP_SET,TEAM_ABBREVIATION,TEAM_NAME,VS_PLAYER_NAME,COURT_STATUS,GP,MIN,PLUS_MINUS,OFF_RATING,DEF_RATING,NET_RATING
0,On/Off Court,GSW,Golden State Warriors,"Curry, Stephen",On,74,2422.0,3.7,117.3,114.7,2.7
1,On/Off Court,GSW,Golden State Warriors,"Garuba, Usman",On,6,18.0,-29.7,81.4,121.1,-39.7
2,On/Off Court,GSW,Golden State Warriors,"Green, Draymond",On,55,1490.0,5.5,115.6,110.7,4.9
3,On/Off Court,GSW,Golden State Warriors,"Jackson-Davis, Trayce",On,68,1130.0,1.4,114.1,113.0,1.1
4,On/Off Court,GSW,Golden State Warriors,"Joseph, Cory",On,26,296.0,-1.9,114.2,117.2,-3.0
5,On/Off Court,GSW,Golden State Warriors,"Kuminga, Jonathan",On,74,1950.0,3.1,115.1,112.2,2.9
6,On/Off Court,GSW,Golden State Warriors,"Looney, Kevon",On,74,1194.0,1.5,115.4,114.0,1.4
7,On/Off Court,GSW,Golden State Warriors,"Moody, Moses",On,66,1156.0,4.1,113.3,110.2,3.1
8,On/Off Court,GSW,Golden State Warriors,"Paul, Chris",On,58,1531.0,3.4,113.7,111.0,2.8
9,On/Off Court,GSW,Golden State Warriors,"Payton II, Gary",On,44,680.0,5.9,114.7,108.9,5.8
10,On/Off Court,GSW,Golden State Warriors,"Podziemski, Brandin",On,74,1968.0,6.4,117.5,111.6,5.9
11,On/Off Court,GSW,Golden State Warriors,"Quinones, Lester",On,37,394.0,2.1,109.6,109.0,0.6
12,On/Off Court,GSW,Golden State Warriors,"Robinson, Jerome",On,22,81.0,16.1,107.8,95.4,12.4
13,On/Off Court,GSW,Golden State Warriors,"Santos, Gui",On,23,192.0,4.0,113.4,110.1,3.4
14,On/Off Court,GSW,Golden State Warriors,"Saric, Dario",On,64,1098.0,-0.9,113.7,115.3,-1.6
15,On/Off Court,GSW,Golden State Warriors,"Spencer, Pat",On,6,26.0,-11.2,96.4,111.1,-14.7
16,On/Off Court,GSW,Golden State Warriors,"Thompson, Klay",On,77,2284.0,0.1,115.8,116.1,-0.3
17,On/Off Court,GSW,Golden State Warriors,"Wiggins, Andrew",On,71,1920.0,-1.4,114.9,116.3,-1.3
