,GROUP_SET,TEAM_ABBREVIATION,TEAM_NAME,VS_PLAYER_NAME,COURT_STATUS,GP,MIN,PLUS_MINUS,OFF_RATING,DEF_RATING,NET_RATING
0,On/Off Court,IND,Indiana Pacers,"Brown, Bruce",On,33,981.0,3.9,124.2,120.5,3.7
1,On/Off Court,IND,Indiana Pacers,"Brown, Kendall",On,15,63.0,-18.4,84.3,103.8,-19.5
2,On/Off Court,IND,Indiana Pacers,"Haliburton, Tyrese",On,69,2224.0,6.3,122.4,116.2,6.2
3,On/Off Court,IND,Indiana Pacers,"Hield, Buddy",On,52,1336.0,3.3,121.5,118.5,3.0
4,On/Off Court,IND,Indiana Pacers,"Jackson, Isaiah",On,60,771.0,1.8,114.5,111.7,2.7
5,On/Off Court,IND,Indiana Pacers,"Jackson, Quenton",On,3,11.0,0.0,79.2,79.2,0.0
6,On/Off Court,IND,Indiana Pacers,"Johnson, James",On,9,47.0,5.1,112.6,108.8,3.8
7,On/Off Court,IND,Indiana Pacers,"Mathurin, Bennedict",On,59,1538.0,-2.9,115.0,117.9,-2.9
8,On/Off Court,IND,Indiana Pacers,"McConnell, T.J.",On,71,1291.0,3.5,118.8,115.2,3.7
9,On/Off Court,IND,Indiana Pacers,"McDermott, Doug",On,18,204.0,3.1,120.8,120.3,0.5
10,On/Off Court,IND,Indiana Pacers,"Nembhard, Andrew",On,68,1697.0,1.8,116.1,114.0,2.2
11,On/Off Court,IND,Indiana Pacers,"Nesmith, Aaron",On,72,1995.0,3.9,119.3,115.0,4.3
12,On/Off Court,IND,Indiana Pacers,"Nwora, Jordan",On,18,183.0,-4.2,113.1,117.6,-4.5
13,On/Off Court,IND,Indiana Pacers,"Sheppard, Ben",On,57,814.0,4.1,118.8,114.2,4.7
14,On/Off Court,IND,Indiana Pacers,"Siakam, Pascal",On,41,1303.0,3.8,119.4,115.4,4.1
15,On/Off Court,IND,Indiana Pacers,"Smith, Jalen",On,61,1047.0,-0.6,119.5,118.6,1.0
16,On/Off Court,IND,Indiana Pacers,"Theis, Daniel",On,1,8.0,0.0,105.3,105.3,0.0
17,On/Off Court,IND,Indiana Pacers,"Toppin, Obi",On,82,1731.0,3.9,120.2,116.6,3.6
18,On/Off Court,IND,Indiana Pacers,"Tshiebwe, Oscar",On,8,42.0,16.0,114.9,98.9,15.9
19,On/Off Court,IND,Indiana Pacers,"Turner, Myles",On,77,2076.0,5.1,120.6,115.5,5.1
20,On/Off Court,IND,Indiana Pacers,"Walker, Jarace",On,33,340.0,2.7,117.3,114.6,2.7
21,On/Off Court,IND,Indiana Pacers,"Wong, Isaiah",On,1,4.0,-56.0,75.0,122.2,-47.2
