,GROUP_SET,TEAM_ABBREVIATION,TEAM_NAME,VS_PLAYER_NAME,COURT_STATUS,GP,MIN,PLUS_MINUS,OFF_RATING,DEF_RATING,NET_RATING
0,On/Off Court,LAL,Los Angeles Lakers,"Castleton, Colin",On,16,59.0,-35.7,82.4,117.6,-35.2
1,On/Off Court,LAL,Los Angeles Lakers,"Christie, Max",On,67,944.0,-0.9,109.2,110.3,-1.1
2,On/Off Court,LAL,Los Angeles Lakers,"Davis, Anthony",On,76,2700.0,2.7,116.5,114.0,2.6
3,On/Off Court,LAL,Los Angeles Lakers,"Dinwiddie, Spencer",On,28,678.0,6.7,120.9,113.9,6.9
4,On/Off Court,LAL,Los Angeles Lakers,"Fudge, Alex",On,4,14.0,-66.4,60.6,137.9,-77.3
5,On/Off Court,LAL,Los Angeles Lakers,"Giles III, Harry",On,7,19.0,-84.8,46.3,126.8,-80.5
6,On/Off Court,LAL,Los Angeles Lakers,"Hachimura, Rui",On,68,1825.0,3.2,116.1,113.5,2.5
7,On/Off Court,LAL,Los Angeles Lakers,"Hayes, Jaxson",On,70,877.0,-5.9,109.6,114.4,-4.7
8,On/Off Court,LAL,Los Angeles Lakers,"Hodge, D'Moi",On,7,41.0,-40.7,86.4,130.6,-44.2
9,On/Off Court,LAL,Los Angeles Lakers,"Hood-Schifino, Jalen",On,21,109.0,-23.8,88.9,111.9,-23.0
10,On/Off Court,LAL,Los Angeles Lakers,"James, LeBron",On,71,2504.0,4.2,117.4,113.6,3.8
11,On/Off Court,LAL,Los Angeles Lakers,"Lewis, Maxwell",On,34,103.0,-34.1,73.1,105.8,-32.6
12,On/Off Court,LAL,Los Angeles Lakers,"Mays, Skylar",On,17,77.0,-5.6,105.0,106.6,-1.6
13,On/Off Court,LAL,Los Angeles Lakers,"Prince, Taurean",On,78,2108.0,-2.7,113.9,116.5,-2.6
14,On/Off Court,LAL,Los Angeles Lakers,"Reaves, Austin",On,82,2629.0,-0.7,114.6,115.6,-1.0
15,On/Off Court,LAL,Los Angeles Lakers,"Reddish, Cam",On,48,984.0,-2.4,109.7,112.5,-2.8
16,On/Off Court,LAL,Los Angeles Lakers,"Russell, D'Angelo",On,76,2484.0,3.6,116.5,113.9,2.6
17,On/Off Court,LAL,Los Angeles Lakers,"Vanderbilt, Jarred",On,29,581.0,3.6,113.6,109.4,4.2
18,On/Off Court,LAL,Los Angeles Lakers,"Vincent, Gabe",On,11,218.0,6.8,109.8,103.0,6.8
19,On/Off Court,LAL,Los Angeles Lakers,"Windler, Dylan",On,8,28.0,-1.7,118.6,116.4,2.3
20,On/Off Court,LAL,Los Angeles Lakers,"Wood, Christian",On,50,872.0,0.2,109.9,109.9,0.0
