,GROUP_SET,TEAM_ABBREVIATION,TEAM_NAME,VS_PLAYER_NAME,COURT_STATUS,GP,MIN,PLUS_MINUS,OFF_RATING,DEF_RATING,NET_RATING
0,On/Off Court,MEM,Memphis Grizzlies,"Aldama, Santi",On,61,1618.0,-8.2,106.2,114.6,-8.3
1,On/Off Court,MEM,Memphis Grizzlies,"Allen, Timmy",On,5,125.0,-24.9,92.6,114.4,-21.8
2,On/Off Court,MEM,Memphis Grizzlies,"Bane, Desmond",On,42,1443.0,-6.7,108.2,115.4,-7.2
3,On/Off Court,MEM,Memphis Grizzlies,"Biyombo, Bismack",On,30,718.0,-4.1,111.3,115.3,-4.0
4,On/Off Court,MEM,Memphis Grizzlies,"Clarke, Brandon",On,6,134.0,-2.9,100.7,104.6,-3.9
5,On/Off Court,MEM,Memphis Grizzlies,"Evbuomwan, Tosan",On,4,74.0,-18.2,106.9,121.2,-14.3
6,On/Off Court,MEM,Memphis Grizzlies,"Gabriel, Wenyen",On,5,81.0,-9.5,89.0,96.4,-7.4
7,On/Off Court,MEM,Memphis Grizzlies,"Gilyard, Jacob",On,37,654.0,-11.5,106.3,118.4,-12.1
8,On/Off Court,MEM,Memphis Grizzlies,"Goodwin, Jordan",On,17,497.0,-6.9,104.4,110.2,-5.8
9,On/Off Court,MEM,Memphis Grizzlies,"Harrison, Shaquille",On,3,6.0,-88.5,46.2,121.4,-75.3
10,On/Off Court,MEM,Memphis Grizzlies,"Hurt, Matt",On,8,113.0,-5.1,98.7,104.8,-6.0
11,On/Off Court,MEM,Memphis Grizzlies,"Jackson Jr., Jaren",On,66,2124.0,-7.7,106.6,113.9,-7.3
12,On/Off Court,MEM,Memphis Grizzlies,"Jackson, GG",On,48,1233.0,-7.6,104.3,111.4,-7.1
13,On/Off Court,MEM,Memphis Grizzlies,"Jarreau, DeJon",On,9,150.0,-7.7,102.9,107.5,-4.6
14,On/Off Court,MEM,Memphis Grizzlies,"Jemison, Trey",On,23,572.0,-9.5,106.6,114.2,-7.6
15,On/Off Court,MEM,Memphis Grizzlies,"Kennard, Luke",On,39,999.0,-9.0,106.4,115.2,-8.8
16,On/Off Court,MEM,Memphis Grizzlies,"Konchar, John",On,55,1174.0,-6.2,106.3,112.2,-5.9
17,On/Off Court,MEM,Memphis Grizzlies,"LaRavia, Jake",On,35,806.0,-6.8,105.2,111.9,-6.7
18,On/Off Court,MEM,Memphis Grizzlies,"Lofton Jr., Kenneth",On,15,99.0,2.4,105.1,102.8,2.3
19,On/Off Court,MEM,Memphis Grizzlies,"Morant, Ja",On,9,318.0,1.7,111.0,111.1,-0.2
20,On/Off Court,MEM,Memphis Grizzlies,"Nowell, Jaylen",On,9,156.0,-0.6,108.2,108.8,-0.6
21,On/Off Court,MEM,Memphis Grizzlies,"Pereira, Maozinha",On,7,122.0,3.6,99.2,96.5,2.7
22,On/Off Court,MEM,Memphis Grizzlies,"Pippen Jr., Scotty",On,21,527.0,-6.6,104.6,112.2,-7.5
23,On/Off Court,MEM,Memphis Grizzlies,"Roddy, David",On,48,1114.0,-9.1,104.9,113.9,-9.0
24,On/Off Court,MEM,Memphis Grizzlies,"Rose, Derrick",On,24,399.0,-4.0,103.9,107.7,-3.8
25,On/Off Court,MEM,Memphis Grizzlies,"Simpson, Zavier",On,7,161.0,-8.6,98.2,106.8,-8.6
26,On/Off Court,MEM,Memphis Grizzlies,"Smart, Marcus",On,20,605.0,-1.6,108.5,109.2,-0.8
27,On/Off Court,MEM,Memphis Grizzlies,"Stevens, Lamar",On,19,437.0,-0.1,105.4,104.7,0.7
28,On/Off Court,MEM,Memphis Grizzlies,"Tillman, Xavier",On,34,700.0,-7.0,102.3,109.2,-6.9
29,On/Off Court,MEM,Memphis Grizzlies,"Watanabe, Yuta",On,5,82.0,-17.5,96.4,114.5,-18.1
30,On/Off Court,MEM,Memphis Grizzlies,"White, Jack",On,4,64.0,-21.1,89.1,111.1,-22.1
31,On/Off Court,MEM,Memphis Grizzlies,"Williams Jr., Vince",On,52,1437.0,-3.0,108.4,111.4,-3.0
32,On/Off Court,MEM,Memphis Grizzlies,"Williams, Ziaire",On,51,1038.0,-11.4,102.5,112.4,-9.9
