,GROUP_SET,TEAM_ABBREVIATION,TEAM_NAME,VS_PLAYER_NAME,COURT_STATUS,GP,MIN,PLUS_MINUS,OFF_RATING,DEF_RATING,NET_RATING
0,On/Off Court,MIA,Miami Heat,"Adebayo, Bam",On,71,2416.0,1.0,110.1,109.3,0.8
1,On/Off Court,MIA,Miami Heat,"Bryant, Thomas",On,38,441.0,1.2,112.8,110.7,2.1
2,On/Off Court,MIA,Miami Heat,"Butler, Jimmy",On,60,2042.0,5.1,116.0,110.5,5.5
3,On/Off Court,MIA,Miami Heat,"Cain, Jamal",On,26,259.0,-5.0,105.4,108.8,-3.4
4,On/Off Court,MIA,Miami Heat,"Hampton, R.J.",On,8,76.0,13.3,118.4,107.8,10.6
5,On/Off Court,MIA,Miami Heat,"Herro, Tyler",On,42,1407.0,1.1,112.1,111.1,1.0
6,On/Off Court,MIA,Miami Heat,"Highsmith, Haywood",On,66,1366.0,0.2,110.1,109.0,1.1
7,On/Off Court,MIA,Miami Heat,"Jaquez Jr., Jaime",On,75,2113.0,2.5,113.1,110.4,2.8
8,On/Off Court,MIA,Miami Heat,"Jovic, Nikola",On,46,896.0,8.0,115.8,107.9,7.8
9,On/Off Court,MIA,Miami Heat,"Love, Kevin",On,55,924.0,5.7,114.7,108.2,6.5
10,On/Off Court,MIA,Miami Heat,"Lowry, Kyle",On,37,1037.0,0.6,112.5,112.3,0.1
11,On/Off Court,MIA,Miami Heat,"Martin, Caleb",On,64,1757.0,1.8,113.0,111.1,1.9
12,On/Off Court,MIA,Miami Heat,"Mills, Patty",On,13,213.0,10.1,112.4,103.2,9.1
13,On/Off Court,MIA,Miami Heat,"Richardson, Josh",On,43,1103.0,-4.7,108.7,113.7,-5.0
14,On/Off Court,MIA,Miami Heat,"Robinson, Duncan",On,68,1905.0,1.0,111.5,111.0,0.5
15,On/Off Court,MIA,Miami Heat,"Robinson, Orlando",On,36,304.0,1.9,113.1,109.6,3.5
16,On/Off Court,MIA,Miami Heat,"Rozier, Terry",On,31,975.0,0.0,111.1,111.4,-0.3
17,On/Off Court,MIA,Miami Heat,"Smith, Dru",On,9,131.0,-15.8,97.4,112.5,-15.0
18,On/Off Court,MIA,Miami Heat,"Swider, Cole",On,18,87.0,-11.1,98.9,110.0,-11.1
19,On/Off Court,MIA,Miami Heat,"Williams, Alondes",On,7,16.0,-61.6,57.9,110.5,-52.6
20,On/Off Court,MIA,Miami Heat,"Wright, Delon",On,14,286.0,10.4,117.1,106.2,10.9
