,GROUP_SET,TEAM_ABBREVIATION,TEAM_NAME,VS_PLAYER_NAME,COURT_STATUS,GP,MIN,PLUS_MINUS,OFF_RATING,DEF_RATING,NET_RATING
0,On/Off Court,MIL,Milwaukee Bucks,"Antetokounmpo, Giannis",On,73,2567.0,6.3,119.8,113.2,6.6
1,On/Off Court,MIL,Milwaukee Bucks,"Antetokounmpo, Thanasis",On,34,155.0,-12.4,99.4,112.2,-12.8
2,On/Off Court,MIL,Milwaukee Bucks,"Beasley, Malik",On,79,2337.0,6.0,118.3,112.6,5.8
3,On/Off Court,MIL,Milwaukee Bucks,"Beauchamp, MarJon",On,48,608.0,-0.9,113.5,114.5,-1.0
4,On/Off Court,MIL,Milwaukee Bucks,"Beverley, Patrick",On,26,543.0,-4.1,110.7,114.3,-3.6
5,On/Off Court,MIL,Milwaukee Bucks,"Bolden, Marques",On,2,3.0,129.6,162.5,71.4,91.1
6,On/Off Court,MIL,Milwaukee Bucks,"Connaughton, Pat",On,76,1676.0,-0.4,115.1,115.9,-0.8
7,On/Off Court,MIL,Milwaukee Bucks,"Crowder, Jae",On,50,1156.0,-2.9,112.3,114.9,-2.6
8,On/Off Court,MIL,Milwaukee Bucks,"Gallinari, Danilo",On,17,155.0,-14.9,98.7,112.5,-13.8
9,On/Off Court,MIL,Milwaukee Bucks,"Green, AJ",On,56,614.0,3.9,114.0,110.5,3.5
10,On/Off Court,MIL,Milwaukee Bucks,"Jackson Jr., Andre",On,57,572.0,-7.5,112.3,119.6,-7.3
11,On/Off Court,MIL,Milwaukee Bucks,"Lillard, Damian",On,73,2578.0,7.2,119.4,112.4,6.9
12,On/Off Court,MIL,Milwaukee Bucks,"Livingston, Chris",On,21,91.0,-14.3,102.5,116.8,-14.3
13,On/Off Court,MIL,Milwaukee Bucks,"Lopez, Brook",On,79,2411.0,5.5,117.1,111.9,5.2
14,On/Off Court,MIL,Milwaukee Bucks,"Lopez, Robin",On,16,65.0,-17.1,95.8,115.9,-20.1
15,On/Off Court,MIL,Milwaukee Bucks,"Middleton, Khris",On,55,1487.0,4.0,118.0,114.6,3.4
16,On/Off Court,MIL,Milwaukee Bucks,"Payne, Cameron",On,47,702.0,-1.0,114.8,116.0,-1.2
17,On/Off Court,MIL,Milwaukee Bucks,"Portis, Bobby",On,82,2008.0,-0.1,115.9,116.0,-0.1
18,On/Off Court,MIL,Milwaukee Bucks,"Rollins, Ryan",On,3,12.0,20.1,107.7,92.0,15.7
19,On/Off Court,MIL,Milwaukee Bucks,"Washington Jr., TyTy",On,11,56.0,-11.2,82.4,96.7,-14.3
20,On/Off Court,MIL,Milwaukee Bucks,"Wigginton, Lindell",On,3,8.0,-62.9,64.7,131.3,-66.5
