,GROUP_SET,TEAM_ABBREVIATION,TEAM_NAME,VS_PLAYER_NAME,COURT_STATUS,GP,MIN,PLUS_MINUS,OFF_RATING,DEF_RATING,NET_RATING
0,On/Off Court,MIN,Minnesota Timberwolves,"Alexander-Walker, Nickeil",On,82,1921.0,7.8,113.1,105.5,7.6
1,On/Off Court,MIN,Minnesota Timberwolves,"Anderson, Kyle",On,79,1782.0,4.5,110.1,105.1,5.1
2,On/Off Court,MIN,Minnesota Timberwolves,"Brown Jr., Troy",On,37,410.0,0.1,111.5,112.1,-0.7
3,On/Off Court,MIN,Minnesota Timberwolves,"Conley, Mike",On,76,2193.0,6.0,113.7,108.0,5.7
4,On/Off Court,MIN,Minnesota Timberwolves,"Edwards, Anthony",On,79,2770.0,7.5,115.8,108.5,7.3
5,On/Off Court,MIN,Minnesota Timberwolves,"Garza, Luka",On,25,122.0,2.8,107.9,108.5,-0.6
6,On/Off Court,MIN,Minnesota Timberwolves,"Gobert, Rudy",On,76,2593.0,7.6,114.6,106.6,8.0
7,On/Off Court,MIN,Minnesota Timberwolves,"Jackson, Justin",On,2,1.0,0.0,0.0,0.0,0.0
8,On/Off Court,MIN,Minnesota Timberwolves,"McDaniels, Jaden",On,72,2105.0,3.6,114.2,110.4,3.8
9,On/Off Court,MIN,Minnesota Timberwolves,"McLaughlin, Jordan",On,56,626.0,11.9,111.1,100.1,11.0
10,On/Off Court,MIN,Minnesota Timberwolves,"Miller, Leonard",On,17,52.0,7.3,104.9,101.7,3.2
11,On/Off Court,MIN,Minnesota Timberwolves,"Milton, Shake",On,38,491.0,-2.7,105.5,109.0,-3.6
12,On/Off Court,MIN,Minnesota Timberwolves,"Minott, Josh",On,32,91.0,10.5,105.5,99.5,6.0
13,On/Off Court,MIN,Minnesota Timberwolves,"Moore Jr., Wendell",On,25,75.0,-3.8,101.7,106.2,-4.5
14,On/Off Court,MIN,Minnesota Timberwolves,"Morris, Monte",On,27,408.0,10.4,114.9,103.6,11.4
15,On/Off Court,MIN,Minnesota Timberwolves,"Nix, Daishen",On,15,50.0,27.0,119.3,99.1,20.2
16,On/Off Court,MIN,Minnesota Timberwolves,"Reid, Naz",On,81,1964.0,6.1,111.1,105.5,5.7
17,On/Off Court,MIN,Minnesota Timberwolves,"Towns, Karl-Anthony",On,62,2026.0,7.6,116.3,109.1,7.2
18,On/Off Court,MIN,Minnesota Timberwolves,"Warren, T.J.",On,11,125.0,19.6,114.6,97.4,17.2
