,GROUP_SET,TEAM_ABBREVIATION,TEAM_NAME,VS_PLAYER_NAME,COURT_STATUS,GP,MIN,PLUS_MINUS,OFF_RATING,DEF_RATING,NET_RATING
0,On/Off Court,NOP,New Orleans Pelicans,"Alvarado, Jose",On,56,1028.0,11.2,117.3,105.2,12.0
1,On/Off Court,NOP,New Orleans Pelicans,"Brockington, Izaiah",On,1,3.0,42.6,150.0,100.0,50.0
2,On/Off Court,NOP,New Orleans Pelicans,"Crutcher, Jalen",On,1,3.0,18.1,120.0,100.0,20.0
3,On/Off Court,NOP,New Orleans Pelicans,"Daniels, Dyson",On,61,1359.0,2.5,115.0,111.7,3.3
4,On/Off Court,NOP,New Orleans Pelicans,"Gates, Kaiser",On,1,7.0,-12.9,81.3,88.2,-7.0
5,On/Off Court,NOP,New Orleans Pelicans,"Hawkins, Jordan",On,67,1161.0,0.5,113.4,114.3,-0.9
6,On/Off Court,NOP,New Orleans Pelicans,"Ingram, Brandon",On,64,2103.0,4.0,116.6,112.6,4.0
7,On/Off Court,NOP,New Orleans Pelicans,"Jones, Herbert",On,76,2321.0,4.8,116.4,111.0,5.5
8,On/Off Court,NOP,New Orleans Pelicans,"Lewis Jr., Kira",On,15,144.0,-6.4,98.1,102.5,-4.5
9,On/Off Court,NOP,New Orleans Pelicans,"Liddell, E.J.",On,8,23.0,-8.3,98.1,109.8,-11.7
10,On/Off Court,NOP,New Orleans Pelicans,"Marshall, Naji",On,66,1257.0,7.8,115.4,106.8,8.7
11,On/Off Court,NOP,New Orleans Pelicans,"McCollum, CJ",On,66,2159.0,4.3,115.9,112.2,3.7
12,On/Off Court,NOP,New Orleans Pelicans,"Murphy III, Trey",On,57,1690.0,7.5,115.2,108.2,7.0
13,On/Off Court,NOP,New Orleans Pelicans,"Nance Jr., Larry",On,61,1216.0,2.8,111.7,108.4,3.3
14,On/Off Court,NOP,New Orleans Pelicans,"Robinson-Earl, Jeremiah",On,39,334.0,-3.2,106.2,108.1,-1.9
15,On/Off Court,NOP,New Orleans Pelicans,"Ryan, Matt",On,28,390.0,1.6,107.9,106.5,1.4
16,On/Off Court,NOP,New Orleans Pelicans,"Seabron, Dereon",On,6,55.0,24.4,118.8,92.5,26.3
17,On/Off Court,NOP,New Orleans Pelicans,"Valanciunas, Jonas",On,82,1925.0,3.9,117.3,113.4,3.9
18,On/Off Court,NOP,New Orleans Pelicans,"Williamson, Zion",On,70,2207.0,3.1,114.5,111.6,2.9
19,On/Off Court,NOP,New Orleans Pelicans,"Zeller, Cody",On,43,320.0,6.9,114.3,108.0,6.3
