,GROUP_SET,TEAM_ABBREVIATION,TEAM_NAME,VS_PLAYER_NAME,COURT_STATUS,GP,MIN,PLUS_MINUS,OFF_RATING,DEF_RATING,NET_RATING
0,On/Off Court,NYK,New York Knicks,"Achiuwa, Precious",On,49,1187.0,0.2,112.3,111.1,1.2
1,On/Off Court,NYK,New York Knicks,"Anunoby, OG",On,23,802.0,21.1,122.6,100.9,21.7
2,On/Off Court,NYK,New York Knicks,"Arcidiacono, Ryan",On,20,45.0,2.1,82.1,80.0,2.1
3,On/Off Court,NYK,New York Knicks,"Barrett, RJ",On,26,767.0,-1.1,114.7,115.1,-0.4
4,On/Off Court,NYK,New York Knicks,"Bogdanovic, Bojan",On,29,557.0,-8.2,106.2,114.8,-8.6
5,On/Off Court,NYK,New York Knicks,"Brown Jr., Charlie",On,8,37.0,-7.7,104.1,105.1,-1.0
6,On/Off Court,NYK,New York Knicks,"Brunson, Jalen",On,77,2726.0,9.0,121.2,112.6,8.6
7,On/Off Court,NYK,New York Knicks,"Burks, Alec",On,23,311.0,-10.8,102.8,115.2,-12.4
8,On/Off Court,NYK,New York Knicks,"DiVincenzo, Donte",On,81,2360.0,3.3,117.9,114.2,3.7
9,On/Off Court,NYK,New York Knicks,"Diakite, Mamadi",On,3,8.0,-11.3,72.2,78.9,-6.7
10,On/Off Court,NYK,New York Knicks,"Flynn, Malachi",On,14,61.0,-3.2,92.2,99.2,-6.9
11,On/Off Court,NYK,New York Knicks,"Fournier, Evan",On,3,39.0,-13.7,96.3,111.3,-15.0
12,On/Off Court,NYK,New York Knicks,"Gibson, Taj",On,16,165.0,-7.0,104.1,109.1,-5.1
13,On/Off Court,NYK,New York Knicks,"Grimes, Quentin",On,45,910.0,0.3,109.6,108.6,1.0
14,On/Off Court,NYK,New York Knicks,"Hart, Josh",On,81,2707.0,6.1,117.2,110.6,6.6
15,On/Off Court,NYK,New York Knicks,"Hartenstein, Isaiah",On,75,1896.0,10.3,120.3,110.3,10.0
16,On/Off Court,NYK,New York Knicks,"Jeffries, DaQuan",On,17,46.0,-10.4,87.6,95.0,-7.4
17,On/Off Court,NYK,New York Knicks,"McBride, Miles",On,68,1328.0,-0.6,110.6,110.6,0.0
18,On/Off Court,NYK,New York Knicks,"Milton, Shake",On,6,27.0,15.8,112.3,96.5,15.8
19,On/Off Court,NYK,New York Knicks,"Quickley, Immanuel",On,30,720.0,8.1,117.4,109.2,8.2
20,On/Off Court,NYK,New York Knicks,"Randle, Julius",On,46,1630.0,6.4,119.7,113.8,6.0
21,On/Off Court,NYK,New York Knicks,"Robinson, Mitchell",On,31,768.0,0.8,117.3,116.2,1.1
22,On/Off Court,NYK,New York Knicks,"Sims, Jericho",On,45,585.0,-0.8,109.0,109.7,-0.7
23,On/Off Court,NYK,New York Knicks,"Skapintsev, Dmytro",On,2,2.0,0.0,75.0,60.0,15.0
24,On/Off Court,NYK,New York Knicks,"Toppin, Jacob",On,9,38.0,-20.1,98.7,118.4,-19.8
25,On/Off Court,NYK,New York Knicks,"Windler, Dylan",On,3,7.0,51.7,81.3,29.4,51.8
