,GROUP_SET,TEAM_ABBREVIATION,TEAM_NAME,VS_PLAYER_NAME,COURT_STATUS,GP,MIN,PLUS_MINUS,OFF_RATING,DEF_RATING,NET_RATING
0,On/Off Court,OKC,Oklahoma City Thunder,"Bertans, Davis",On,15,91.0,12.6,120.4,112.6,7.8
1,On/Off Court,OKC,Oklahoma City Thunder,"Biyombo, Bismack",On,10,73.0,-2.0,100.6,103.1,-2.5
2,On/Off Court,OKC,Oklahoma City Thunder,"Dieng, Ousmane",On,33,365.0,0.1,110.1,109.0,1.1
3,On/Off Court,OKC,Oklahoma City Thunder,"Dort, Luguentz",On,79,2246.0,7.4,119.9,112.1,7.8
4,On/Off Court,OKC,Oklahoma City Thunder,"Flagler, Adam",On,2,14.0,0.0,109.7,109.7,0.0
5,On/Off Court,OKC,Oklahoma City Thunder,"Giddey, Josh",On,80,2012.0,9.0,119.6,111.5,8.2
6,On/Off Court,OKC,Oklahoma City Thunder,"Gilgeous-Alexander, Shai",On,75,2553.0,11.5,121.0,109.7,11.3
7,On/Off Court,OKC,Oklahoma City Thunder,"Hayward, Gordon",On,26,447.0,-0.1,111.7,113.2,-1.5
8,On/Off Court,OKC,Oklahoma City Thunder,"Holmgren, Chet",On,82,2413.0,8.4,118.2,109.2,9.0
9,On/Off Court,OKC,Oklahoma City Thunder,"Joe, Isaiah",On,78,1445.0,11.7,116.6,107.5,9.1
10,On/Off Court,OKC,Oklahoma City Thunder,"Johnson, Keyontae",On,9,66.0,-5.1,100.0,105.8,-5.8
11,On/Off Court,OKC,Oklahoma City Thunder,"Mann, Tre",On,13,119.0,-2.0,104.5,108.3,-3.8
12,On/Off Court,OKC,Oklahoma City Thunder,"Micic, Vasilije",On,30,361.0,14.6,118.2,101.6,16.6
13,On/Off Court,OKC,Oklahoma City Thunder,"Muscala, Mike",On,16,91.0,-1.1,97.5,101.5,-4.0
14,On/Off Court,OKC,Oklahoma City Thunder,"Pokusevski, Aleksej",On,10,60.0,-27.0,98.4,130.1,-31.6
15,On/Off Court,OKC,Oklahoma City Thunder,"Sarr, Olivier",On,15,98.0,0.5,106.8,105.8,1.0
16,On/Off Court,OKC,Oklahoma City Thunder,"Wallace, Cason",On,82,1692.0,3.6,113.9,110.0,3.9
17,On/Off Court,OKC,Oklahoma City Thunder,"Waters III, Lindy",On,38,280.0,-6.0,103.7,111.4,-7.7
18,On/Off Court,OKC,Oklahoma City Thunder,"Wiggins, Aaron",On,78,1228.0,3.7,115.6,110.0,5.7
19,On/Off Court,OKC,Oklahoma City Thunder,"Williams, Jalen",On,71,2224.0,8.3,117.7,108.9,8.8
20,On/Off Court,OKC,Oklahoma City Thunder,"Williams, Jaylin",On,69,897.0,6.6,114.7,107.9,6.8
21,On/Off Court,OKC,Oklahoma City Thunder,"Williams, Kenrich",On,69,1029.0,7.1,115.2,106.7,8.4
