,GROUP_SET,TEAM_ABBREVIATION,TEAM_NAME,VS_PLAYER_NAME,COURT_STATUS,GP,MIN,PLUS_MINUS,OFF_RATING,DEF_RATING,NET_RATING
0,On/Off Court,ORL,Orlando Magic,"Anthony, Cole",On,81,1817.0,2.9,112.6,110.0,2.6
1,On/Off Court,ORL,Orlando Magic,"Banchero, Paolo",On,80,2799.0,0.0,111.9,111.9,0.0
2,On/Off Court,ORL,Orlando Magic,"Bitadze, Goga",On,62,957.0,1.3,112.1,110.3,1.8
3,On/Off Court,ORL,Orlando Magic,"Black, Anthony",On,69,1164.0,-1.4,108.0,108.9,-1.0
4,On/Off Court,ORL,Orlando Magic,"Carter Jr., Wendell",On,55,1406.0,1.7,110.8,109.6,1.1
5,On/Off Court,ORL,Orlando Magic,"Fultz, Markelle",On,43,910.0,0.7,109.6,109.0,0.6
6,On/Off Court,ORL,Orlando Magic,"Harris, Gary",On,54,1297.0,3.4,113.6,110.3,3.3
7,On/Off Court,ORL,Orlando Magic,"Harris, Kevon",On,2,6.0,0.0,142.9,133.3,9.5
8,On/Off Court,ORL,Orlando Magic,"Houstan, Caleb",On,59,815.0,-1.8,109.4,111.2,-1.8
9,On/Off Court,ORL,Orlando Magic,"Howard, Jett",On,18,67.0,2.9,95.2,91.9,3.3
10,On/Off Court,ORL,Orlando Magic,"Ingles, Joe",On,68,1169.0,6.8,116.1,110.3,5.8
11,On/Off Court,ORL,Orlando Magic,"Isaac, Jonathan",On,58,915.0,9.6,113.0,102.1,10.9
12,On/Off Court,ORL,Orlando Magic,"Okeke, Chuma",On,47,432.0,-7.8,99.5,106.8,-7.3
13,On/Off Court,ORL,Orlando Magic,"Queen, Trevelin",On,14,165.0,-2.6,107.8,107.6,0.2
14,On/Off Court,ORL,Orlando Magic,"Schofield, Admiral",On,23,84.0,-7.4,90.4,95.6,-5.2
15,On/Off Court,ORL,Orlando Magic,"Suggs, Jalen",On,75,2025.0,1.1,111.8,110.8,1.0
16,On/Off Court,ORL,Orlando Magic,"Wagner, Franz",On,72,2337.0,4.2,112.5,108.2,4.3
17,On/Off Court,ORL,Orlando Magic,"Wagner, Moritz",On,80,1415.0,3.2,113.9,110.8,3.1
