,GROUP_SET,TEAM_ABBREVIATION,TEAM_NAME,VS_PLAYER_NAME,COURT_STATUS,GP,MIN,PLUS_MINUS,OFF_RATING,DEF_RATING,NET_RATING
0,On/Off Court,PHI,Philadelphia 76ers,"Bamba, Mo",On,57,740.0,-3.0,107.5,110.5,-3.0
1,On/Off Court,PHI,Philadelphia 76ers,"Batum, Nicolas",On,57,1475.0,5.8,118.0,112.2,5.9
2,On/Off Court,PHI,Philadelphia 76ers,"Bazley, Darius",On,3,10.0,-4.9,121.1,126.3,-5.3
3,On/Off Court,PHI,Philadelphia 76ers,"Beverley, Patrick",On,47,919.0,-0.8,110.6,111.0,-0.4
4,On/Off Court,PHI,Philadelphia 76ers,"Council IV, Ricky",On,32,289.0,2.0,112.5,109.8,2.7
5,On/Off Court,PHI,Philadelphia 76ers,"Covington, Robert",On,26,419.0,6.8,114.3,105.7,8.7
6,On/Off Court,PHI,Philadelphia 76ers,"Dowtin Jr., Jeff",On,12,142.0,7.1,111.0,104.1,6.8
7,On/Off Court,PHI,Philadelphia 76ers,"Embiid, Joel",On,39,1309.0,9.8,119.8,109.5,10.3
8,On/Off Court,PHI,Philadelphia 76ers,"Green, Danny",On,2,18.0,0.0,114.6,120.5,-5.9
9,On/Off Court,PHI,Philadelphia 76ers,"Harris, Tobias",On,70,2368.0,4.5,117.0,112.4,4.6
10,On/Off Court,PHI,Philadelphia 76ers,"Hield, Buddy",On,32,824.0,-1.6,108.8,110.9,-2.1
11,On/Off Court,PHI,Philadelphia 76ers,"House Jr., Danuel",On,34,509.0,1.9,109.9,107.7,2.3
12,On/Off Court,PHI,Philadelphia 76ers,"Korkmaz, Furkan",On,35,300.0,7.2,116.5,110.2,6.4
13,On/Off Court,PHI,Philadelphia 76ers,"Lofton Jr., Kenneth",On,2,9.0,-76.2,85.0,140.9,-55.9
14,On/Off Court,PHI,Philadelphia 76ers,"Lowry, Kyle",On,23,653.0,-0.8,109.5,110.5,-0.9
15,On/Off Court,PHI,Philadelphia 76ers,"Martin, KJ",On,58,715.0,-0.2,111.4,111.0,0.4
16,On/Off Court,PHI,Philadelphia 76ers,"Maxey, Tyrese",On,70,2626.0,5.5,118.3,113.2,5.2
17,On/Off Court,PHI,Philadelphia 76ers,"Melton, De'Anthony",On,38,1023.0,10.2,122.0,112.0,10.0
18,On/Off Court,PHI,Philadelphia 76ers,"Morris Sr., Marcus",On,37,637.0,-0.7,113.4,114.1,-0.8
19,On/Off Court,PHI,Philadelphia 76ers,"Oubre Jr., Kelly",On,68,2055.0,-0.6,114.1,114.0,0.1
20,On/Off Court,PHI,Philadelphia 76ers,"Payne, Cameron",On,31,602.0,0.2,109.4,109.7,-0.3
21,On/Off Court,PHI,Philadelphia 76ers,"Petrusev, Filip",On,1,3.0,53.7,114.3,83.3,31.0
22,On/Off Court,PHI,Philadelphia 76ers,"Reed, Paul",On,82,1590.0,2.9,116.3,112.0,4.2
23,On/Off Court,PHI,Philadelphia 76ers,"Smart, Javonte",On,1,1.0,-216.0,0.0,150.0,-150.0
24,On/Off Court,PHI,Philadelphia 76ers,"Smith, Terquavion",On,16,84.0,-4.0,112.5,118.4,-5.9
25,On/Off Court,PHI,Philadelphia 76ers,"Springer, Jaden",On,32,377.0,-8.4,109.6,115.8,-6.2
26,On/Off Court,PHI,Philadelphia 76ers,"Tucker, P.J.",On,3,66.0,20.3,115.8,95.0,20.8
27,On/Off Court,PHI,Philadelphia 76ers,"Wilson, D.J.",On,2,15.0,6.2,120.0,117.2,2.8
