,GROUP_SET,TEAM_ABBREVIATION,TEAM_NAME,VS_PLAYER_NAME,COURT_STATUS,GP,MIN,PLUS_MINUS,OFF_RATING,DEF_RATING,NET_RATING
0,On/Off Court,PHX,Phoenix Suns,"Allen, Grayson",On,75,2513.0,5.0,119.0,113.9,5.1
1,On/Off Court,PHX,Phoenix Suns,"Azubuike, Udoka",On,16,113.0,-20.4,105.4,126.5,-21.1
2,On/Off Court,PHX,Phoenix Suns,"Bates-Diop, Keita",On,39,597.0,-3.4,110.5,113.6,-3.0
3,On/Off Court,PHX,Phoenix Suns,"Beal, Bradley",On,53,1767.0,2.9,116.2,113.2,3.0
4,On/Off Court,PHX,Phoenix Suns,"Bol, Bol",On,43,469.0,1.3,108.9,108.8,0.1
5,On/Off Court,PHX,Phoenix Suns,"Booker, Devin",On,68,2447.0,6.2,119.3,113.5,5.8
6,On/Off Court,PHX,Phoenix Suns,"Durant, Kevin",On,75,2791.0,5.0,118.1,113.3,4.8
7,On/Off Court,PHX,Phoenix Suns,"Eubanks, Drew",On,75,1169.0,-4.4,108.3,112.3,-4.1
8,On/Off Court,PHX,Phoenix Suns,"Goodwin, Jordan",On,40,559.0,-1.9,106.7,109.2,-2.6
9,On/Off Court,PHX,Phoenix Suns,"Gordon, Eric",On,68,1893.0,3.3,115.6,112.2,3.5
10,On/Off Court,PHX,Phoenix Suns,"Lee, Saben",On,24,185.0,3.9,105.6,101.5,4.1
11,On/Off Court,PHX,Phoenix Suns,"Little, Nassir",On,45,458.0,-9.2,103.2,112.7,-9.5
12,On/Off Court,PHX,Phoenix Suns,"Maledon, Theo",On,4,13.0,-29.3,66.7,90.3,-23.7
13,On/Off Court,PHX,Phoenix Suns,"Metu, Chimezie",On,37,448.0,-4.0,109.2,114.2,-5.0
14,On/Off Court,PHX,Phoenix Suns,"Nurkic, Jusuf",On,76,2078.0,9.3,120.5,111.3,9.2
15,On/Off Court,PHX,Phoenix Suns,"O'Neale, Royce",On,30,752.0,8.9,115.7,106.3,9.4
16,On/Off Court,PHX,Phoenix Suns,"Okogie, Josh",On,60,960.0,0.3,112.8,111.5,1.3
17,On/Off Court,PHX,Phoenix Suns,"Roddy, David",On,17,63.0,-9.9,94.4,108.8,-14.3
18,On/Off Court,PHX,Phoenix Suns,"Thomas, Isaiah",On,6,19.0,-34.7,90.5,133.3,-42.9
19,On/Off Court,PHX,Phoenix Suns,"Wainright, Ish",On,4,17.0,-11.6,85.0,108.6,-23.6
20,On/Off Court,PHX,Phoenix Suns,"Watanabe, Yuta",On,29,382.0,-4.5,109.7,114.8,-5.1
21,On/Off Court,PHX,Phoenix Suns,"Young, Thaddeus",On,10,89.0,-5.9,101.0,106.8,-5.7
