,GROUP_SET,TEAM_ABBREVIATION,TEAM_NAME,VS_PLAYER_NAME,COURT_STATUS,GP,MIN,PLUS_MINUS,OFF_RATING,DEF_RATING,NET_RATING
0,On/Off Court,POR,Portland Trail Blazers,"Ayton, Deandre",On,55,1783.0,-8.6,106.6,115.3,-8.7
1,On/Off Court,POR,Portland Trail Blazers,"Badji, Ibou",On,22,226.0,-19.1,95.5,112.3,-16.8
2,On/Off Court,POR,Portland Trail Blazers,"Banton, Dalano",On,30,876.0,-13.3,103.2,116.7,-13.5
3,On/Off Court,POR,Portland Trail Blazers,"Bouyea, Jamaree",On,6,57.0,-18.5,80.3,100.0,-19.7
4,On/Off Court,POR,Portland Trail Blazers,"Brogdon, Malcolm",On,39,1121.0,-3.5,110.7,114.5,-3.7
5,On/Off Court,POR,Portland Trail Blazers,"Brown, Moses",On,22,200.0,-14.2,104.5,118.9,-14.4
6,On/Off Court,POR,Portland Trail Blazers,"Camara, Toumani",On,70,1739.0,-5.2,106.9,111.5,-4.6
7,On/Off Court,POR,Portland Trail Blazers,"Grant, Jerami",On,54,1830.0,-9.2,107.8,117.5,-9.6
8,On/Off Court,POR,Portland Trail Blazers,"Hagans, Ashton",On,19,316.0,-0.6,105.3,106.5,-1.1
9,On/Off Court,POR,Portland Trail Blazers,"Henderson, Scoot",On,62,1765.0,-13.5,106.5,119.6,-13.0
10,On/Off Court,POR,Portland Trail Blazers,"Mays, Skylar",On,21,356.0,-12.7,103.4,115.9,-12.5
11,On/Off Court,POR,Portland Trail Blazers,"Minaya, Justin",On,34,381.0,-10.2,99.9,108.4,-8.6
12,On/Off Court,POR,Portland Trail Blazers,"Moore, Taze",On,4,40.0,-26.2,95.7,122.2,-26.6
13,On/Off Court,POR,Portland Trail Blazers,"Murray, Kris",On,62,1348.0,-5.8,106.1,112.1,-6.0
14,On/Off Court,POR,Portland Trail Blazers,"Reath, Duop",On,68,1214.0,-7.4,109.6,116.8,-7.1
15,On/Off Court,POR,Portland Trail Blazers,"Rupert, Rayan",On,39,633.0,-9.4,104.3,114.0,-9.8
16,On/Off Court,POR,Portland Trail Blazers,"Sharpe, Shaedon",On,32,1059.0,-11.1,105.8,116.0,-10.3
17,On/Off Court,POR,Portland Trail Blazers,"Simons, Anfernee",On,46,1582.0,-10.0,109.9,120.5,-10.6
18,On/Off Court,POR,Portland Trail Blazers,"Thybulle, Matisse",On,65,1487.0,-7.5,107.7,115.1,-7.4
19,On/Off Court,POR,Portland Trail Blazers,"Wainright, Ish",On,7,46.0,0.0,76.0,76.7,-0.7
20,On/Off Court,POR,Portland Trail Blazers,"Walker, Jabari",On,72,1701.0,-9.5,107.1,116.5,-9.5
21,On/Off Court,POR,Portland Trail Blazers,"Williams III, Robert",On,6,119.0,-12.1,101.6,114.9,-13.3
