,GROUP_SET,TEAM_ABBREVIATION,TEAM_NAME,VS_PLAYER_NAME,COURT_STATUS,GP,MIN,PLUS_MINUS,OFF_RATING,DEF_RATING,NET_RATING
0,On/Off Court,SAC,Sacramento Kings,"Barnes, Harrison",On,82,2381.0,-1.6,114.1,115.7,-1.7
1,On/Off Court,SAC,Sacramento Kings,"Duarte, Chris",On,59,720.0,-4.5,110.3,113.4,-3.1
2,On/Off Court,SAC,Sacramento Kings,"Edwards, Kessler",On,54,275.0,-7.9,98.3,104.6,-6.3
3,On/Off Court,SAC,Sacramento Kings,"Ellis, Keon",On,57,978.0,4.6,114.4,109.0,5.5
4,On/Off Court,SAC,Sacramento Kings,"Ford, Jordan",On,6,22.0,30.8,128.9,100.0,28.9
5,On/Off Court,SAC,Sacramento Kings,"Fox, De'Aaron",On,74,2659.0,4.2,116.6,112.3,4.3
6,On/Off Court,SAC,Sacramento Kings,"Huerter, Kevin",On,64,1562.0,2.3,117.5,115.0,2.5
7,On/Off Court,SAC,Sacramento Kings,"Jones, Colby",On,30,192.0,2.3,104.8,103.3,1.5
8,On/Off Court,SAC,Sacramento Kings,"Jones, Mason",On,5,28.0,-12.1,87.7,96.6,-8.9
9,On/Off Court,SAC,Sacramento Kings,"Len, Alex",On,48,444.0,15.3,116.3,100.8,15.4
10,On/Off Court,SAC,Sacramento Kings,"Lyles, Trey",On,58,1158.0,7.4,117.9,110.2,7.7
11,On/Off Court,SAC,Sacramento Kings,"McGee, JaVale",On,46,339.0,1.0,108.5,110.4,-1.9
12,On/Off Court,SAC,Sacramento Kings,"Mitchell, Davion",On,72,1101.0,-2.0,109.5,112.1,-2.6
13,On/Off Court,SAC,Sacramento Kings,"Monk, Malik",On,72,1872.0,0.3,115.1,115.0,0.1
14,On/Off Court,SAC,Sacramento Kings,"Murray, Keegan",On,77,2589.0,2.6,116.1,113.4,2.7
15,On/Off Court,SAC,Sacramento Kings,"Petrusev, Filip",On,2,7.0,21.7,107.7,78.6,29.1
16,On/Off Court,SAC,Sacramento Kings,"Sabonis, Domantas",On,82,2928.0,1.1,116.0,115.2,0.8
17,On/Off Court,SAC,Sacramento Kings,"Slawson, Jalen",On,12,37.0,-7.8,105.3,114.9,-9.5
18,On/Off Court,SAC,Sacramento Kings,"Toscano-Anderson, Juan",On,11,53.0,-8.2,99.1,99.2,-0.1
19,On/Off Court,SAC,Sacramento Kings,"Vezenkov, Sasha",On,42,511.0,0.2,113.9,112.6,1.3
