,GROUP_SET,TEAM_ABBREVIATION,TEAM_NAME,VS_PLAYER_NAME,COURT_STATUS,GP,MIN,PLUS_MINUS,OFF_RATING,DEF_RATING,NET_RATING
0,On/Off Court,SAS,San Antonio Spurs,"Barlow, Dominick",On,33,420.0,-3.7,113.3,117.8,-4.5
1,On/Off Court,SAS,San Antonio Spurs,"Bassey, Charles",On,19,205.0,-10.8,105.1,116.7,-11.6
2,On/Off Court,SAS,San Antonio Spurs,"Bouyea, Jamaree",On,3,38.0,8.9,115.6,103.8,11.8
3,On/Off Court,SAS,San Antonio Spurs,"Branham, Malaki",On,75,1594.0,-11.2,105.9,117.0,-11.1
4,On/Off Court,SAS,San Antonio Spurs,"Champagnie, Julian",On,74,1468.0,-4.6,109.1,113.5,-4.5
5,On/Off Court,SAS,San Antonio Spurs,"Cissoko, Sidy",On,12,141.0,8.5,105.8,97.1,8.7
6,On/Off Court,SAS,San Antonio Spurs,"Collins, Zach",On,69,1526.0,-12.4,105.0,116.3,-11.4
7,On/Off Court,SAS,San Antonio Spurs,"Diakite, Mamadi",On,3,16.0,15.0,100.0,84.8,15.2
8,On/Off Court,SAS,San Antonio Spurs,"Duke Jr., David",On,4,51.0,5.6,115.3,110.9,4.4
9,On/Off Court,SAS,San Antonio Spurs,"Graham, Devonte'",On,23,313.0,3.5,108.9,105.6,3.3
10,On/Off Court,SAS,San Antonio Spurs,"Gray, RaiQuan",On,3,39.0,17.2,129.3,113.6,15.7
11,On/Off Court,SAS,San Antonio Spurs,"Johnson, Keldon",On,69,2038.0,-8.2,108.5,116.1,-7.7
12,On/Off Court,SAS,San Antonio Spurs,"Jones, Tre",On,77,2138.0,-0.5,110.9,111.8,-0.9
13,On/Off Court,SAS,San Antonio Spurs,"Mamukelashvili, Sandro",On,46,451.0,4.8,105.4,101.3,4.1
14,On/Off Court,SAS,San Antonio Spurs,"McDermott, Doug",On,46,700.0,-10.7,108.9,121.1,-12.2
15,On/Off Court,SAS,San Antonio Spurs,"Osman, Cedi",On,72,1269.0,-13.4,106.0,119.2,-13.2
16,On/Off Court,SAS,San Antonio Spurs,"Sochan, Jeremy",On,74,2193.0,-7.5,108.1,115.0,-7.0
17,On/Off Court,SAS,San Antonio Spurs,"Vassell, Devin",On,68,2248.0,-6.2,108.5,114.6,-6.0
18,On/Off Court,SAS,San Antonio Spurs,"Wembanyama, Victor",On,71,2106.0,-3.3,107.9,111.2,-3.2
19,On/Off Court,SAS,San Antonio Spurs,"Wesley, Blake",On,61,876.0,-7.9,104.6,112.4,-7.8
