,GROUP_SET,TEAM_ABBREVIATION,TEAM_NAME,VS_PLAYER_NAME,COURT_STATUS,GP,MIN,PLUS_MINUS,OFF_RATING,DEF_RATING,NET_RATING
0,On/Off Court,TOR,Toronto Raptors,"Achiuwa, Precious",On,25,437.0,-5.8,108.7,115.3,-6.6
1,On/Off Court,TOR,Toronto Raptors,"Agbaji, Ochai",On,27,638.0,-9.7,108.9,117.9,-9.0
2,On/Off Court,TOR,Toronto Raptors,"Anunoby, OG",On,27,900.0,2.0,114.4,112.6,1.8
3,On/Off Court,TOR,Toronto Raptors,"Barnes, Scottie",On,60,2094.0,-3.3,112.6,115.8,-3.2
4,On/Off Court,TOR,Toronto Raptors,"Barrett, RJ",On,32,1072.0,-6.1,112.9,118.2,-5.3
5,On/Off Court,TOR,Toronto Raptors,"Boucher, Chris",On,50,705.0,1.9,116.0,113.6,2.4
6,On/Off Court,TOR,Toronto Raptors,"Brown, Bruce",On,34,885.0,-16.9,105.7,122.4,-16.8
7,On/Off Court,TOR,Toronto Raptors,"Carton, D.J.",On,4,36.0,-41.9,81.5,122.8,-41.3
8,On/Off Court,TOR,Toronto Raptors,"Dick, Gradey",On,60,1268.0,-14.3,105.1,119.1,-13.9
9,On/Off Court,TOR,Toronto Raptors,"Flynn, Malachi",On,31,474.0,-6.8,108.5,114.0,-5.5
10,On/Off Court,TOR,Toronto Raptors,"Freeman-Liberty, Javon",On,22,403.0,-18.9,102.6,120.7,-18.2
11,On/Off Court,TOR,Toronto Raptors,"Gueye, Mouhamadou",On,11,120.0,-32.0,80.0,110.9,-30.9
12,On/Off Court,TOR,Toronto Raptors,"Harper Jr., Ron",On,1,4.0,-118.4,100.0,188.9,-88.9
13,On/Off Court,TOR,Toronto Raptors,"Lewis Jr., Kira",On,1,2.0,-123.9,0.0,133.3,-133.3
14,On/Off Court,TOR,Toronto Raptors,"McDaniels, Jalen",On,50,538.0,-14.5,100.9,115.0,-14.1
15,On/Off Court,TOR,Toronto Raptors,"Nowell, Markquis",On,1,4.0,54.6,128.6,62.5,66.1
16,On/Off Court,TOR,Toronto Raptors,"Nwora, Jordan",On,34,529.0,-16.6,99.6,116.5,-16.9
17,On/Off Court,TOR,Toronto Raptors,"Olynyk, Kelly",On,28,739.0,-13.2,108.9,122.1,-13.2
18,On/Off Court,TOR,Toronto Raptors,"Poeltl, Jakob",On,50,1319.0,-0.6,113.6,114.2,-0.6
19,On/Off Court,TOR,Toronto Raptors,"Porter Jr., Otto",On,15,174.0,6.1,112.2,107.5,4.7
20,On/Off Court,TOR,Toronto Raptors,"Porter, Jontay",On,26,360.0,-9.6,105.8,115.0,-9.2
21,On/Off Court,TOR,Toronto Raptors,"Quickley, Immanuel",On,38,1265.0,-5.9,110.9,117.0,-6.1
22,On/Off Court,TOR,Toronto Raptors,"Ramsey, Jahmi'us",On,7,121.0,-11.1,100.4,110.8,-10.4
23,On/Off Court,TOR,Toronto Raptors,"Schroder, Dennis",On,51,1559.0,-0.9,114.9,115.9,-1.0
24,On/Off Court,TOR,Toronto Raptors,"Siakam, Pascal",On,39,1354.0,0.3,115.8,115.3,0.4
25,On/Off Court,TOR,Toronto Raptors,"Simmons, Kobi",On,4,67.0,-22.1,94.2,116.5,-22.3
26,On/Off Court,TOR,Toronto Raptors,"Temple, Garrett",On,27,289.0,-13.1,100.3,113.4,-13.1
27,On/Off Court,TOR,Toronto Raptors,"Trent Jr., Gary",On,71,1994.0,-4.7,113.7,118.2,-4.6
28,On/Off Court,TOR,Toronto Raptors,"Williams, Malik",On,7,107.0,-25.2,93.2,118.1,-24.9
29,On/Off Court,TOR,Toronto Raptors,"Young, Thaddeus",On,23,350.0,-4.0,118.5,121.8,-3.4
