,GROUP_SET,TEAM_ABBREVIATION,TEAM_NAME,VS_PLAYER_NAME,COURT_STATUS,GP,MIN,PLUS_MINUS,OFF_RATING,DEF_RATING,NET_RATING
0,On/Off Court,UTA,Utah Jazz,"Agbaji, Ochai",On,51,1003.0,-5.8,110.8,116.7,-5.9
1,On/Off Court,UTA,Utah Jazz,"Bazley, Darius",On,6,142.0,-10.8,113.5,125.2,-11.7
2,On/Off Court,UTA,Utah Jazz,"Clarkson, Jordan",On,55,1682.0,-5.4,113.9,119.7,-5.7
3,On/Off Court,UTA,Utah Jazz,"Collins, John",On,68,1901.0,-7.8,114.2,121.7,-7.5
4,On/Off Court,UTA,Utah Jazz,"Dunn, Kris",On,66,1249.0,0.5,117.6,117.2,0.4
5,On/Off Court,UTA,Utah Jazz,"Fontecchio, Simone",On,50,1160.0,0.4,116.2,116.7,-0.5
6,On/Off Court,UTA,Utah Jazz,"George, Keyonte",On,75,2023.0,-8.9,109.6,118.9,-9.3
7,On/Off Court,UTA,Utah Jazz,"Hendricks, Taylor",On,40,856.0,-8.4,110.2,118.2,-8.1
8,On/Off Court,UTA,Utah Jazz,"Horton-Tucker, Talen",On,51,1009.0,-5.1,112.5,117.9,-5.4
9,On/Off Court,UTA,Utah Jazz,"Juzang, Johnny",On,20,372.0,-1.0,114.3,116.1,-1.8
10,On/Off Court,UTA,Utah Jazz,"Kessler, Walker",On,64,1493.0,-4.8,111.4,116.0,-4.5
11,On/Off Court,UTA,Utah Jazz,"Lewis Jr., Kira",On,12,119.0,-17.7,102.8,121.5,-18.8
12,On/Off Court,UTA,Utah Jazz,"Lofton Jr., Kenneth",On,4,91.0,-1.1,116.9,117.4,-0.4
13,On/Off Court,UTA,Utah Jazz,"Markkanen, Lauri",On,55,1820.0,0.6,117.6,116.9,0.6
14,On/Off Court,UTA,Utah Jazz,"Olynyk, Kelly",On,50,1019.0,-2.8,113.7,116.8,-3.1
15,On/Off Court,UTA,Utah Jazz,"Potter, Micah",On,16,186.0,-7.2,105.9,114.4,-8.4
16,On/Off Court,UTA,Utah Jazz,"Preston, Jason",On,7,71.0,15.5,120.4,105.3,15.1
17,On/Off Court,UTA,Utah Jazz,"Samanic, Luka",On,43,404.0,-6.1,106.5,112.0,-5.5
18,On/Off Court,UTA,Utah Jazz,"Sensabaugh, Brice",On,32,584.0,-14.2,109.3,123.5,-14.2
19,On/Off Court,UTA,Utah Jazz,"Sexton, Collin",On,78,2075.0,-3.3,117.0,120.4,-3.4
20,On/Off Court,UTA,Utah Jazz,"Yurtseven, Omer",On,48,545.0,-11.7,104.4,117.2,-12.8
