,GROUP_SET,TEAM_ABBREVIATION,TEAM_NAME,VS_PLAYER_NAME,COURT_STATUS,GP,MIN,PLUS_MINUS,OFF_RATING,DEF_RATING,NET_RATING
0,On/Off Court,BOS,Boston Celtics,"Banton, Dalano",Off,51,2302.0,9.8,120.8,110.8,10.1
1,On/Off Court,BOS,Boston Celtics,"Brissett, Oshae",Off,82,3336.0,11.7,122.4,110.6,11.8
2,On/Off Court,BOS,Boston Celtics,"Brown, Jaylen",Off,82,1623.0,15.3,123.1,106.4,16.7
3,On/Off Court,BOS,Boston Celtics,"Davison, JD",Off,82,3927.0,11.1,122.3,110.8,11.5
4,On/Off Court,BOS,Boston Celtics,"Hauser, Sam",Off,82,2225.0,9.4,120.7,111.1,9.6
5,On/Off Court,BOS,Boston Celtics,"Holiday, Jrue",Off,82,1703.0,14.2,121.8,107.3,14.6
6,On/Off Court,BOS,Boston Celtics,"Horford, Al",Off,82,2226.0,11.0,121.0,109.3,11.7
7,On/Off Court,BOS,Boston Celtics,"Knight, Nathan",Off,21,1018.0,8.4,117.5,109.0,8.5
8,On/Off Court,BOS,Boston Celtics,"Kornet, Luke",Off,82,2983.0,11.5,121.1,109.7,11.5
9,On/Off Court,BOS,Boston Celtics,"Mykhailiuk, Svi",Off,82,3553.0,10.6,122.0,111.1,11.0
10,On/Off Court,BOS,Boston Celtics,"Peterson, Drew",Off,60,2877.0,12.3,123.8,110.9,12.9
11,On/Off Court,BOS,Boston Celtics,"Porzingis, Kristaps",Off,82,2276.0,10.8,121.5,109.7,11.8
12,On/Off Court,BOS,Boston Celtics,"Pritchard, Payton",Off,82,2140.0,10.8,119.9,109.2,10.6
13,On/Off Court,BOS,Boston Celtics,"Queta, Neemias",Off,82,3633.0,10.5,121.3,110.3,11.0
14,On/Off Court,BOS,Boston Celtics,"Springer, Jaden",Off,31,1363.0,14.2,125.7,110.9,14.8
15,On/Off Court,BOS,Boston Celtics,"Stevens, Lamar",Off,51,2351.0,9.8,120.9,110.9,10.0
16,On/Off Court,BOS,Boston Celtics,"Tatum, Jayson",Off,82,1321.0,11.7,120.0,107.6,12.4
17,On/Off Court,BOS,Boston Celtics,"Tillman, Xavier",Off,31,1219.0,15.7,125.8,109.8,16.0
18,On/Off Court,BOS,Boston Celtics,"Walsh, Jordan",Off,82,3883.0,10.9,122.2,110.9,11.4
19,On/Off Court,BOS,Boston Celtics,"White, Derrick",Off,82,1585.0,9.4,119.8,108.8,11.0
